                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) weak external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __exit (from libSystem)
                 (undefined) external _accept (from libSystem)
                 (undefined) external _access (from libSystem)
000000021e44ff7c (__TEXT,__text) external _apr__SHA256_Data
000000021e44feb4 (__TEXT,__text) external _apr__SHA256_End
000000021e44fd9c (__TEXT,__text) external _apr__SHA256_Final
000000021e44fa24 (__TEXT,__text) external _apr__SHA256_Init
000000021e44fa54 (__TEXT,__text) external _apr__SHA256_Transform
000000021e44fca4 (__TEXT,__text) external _apr__SHA256_Update
000000021e4473ec (__TEXT,__text) external _apr_allocator_alloc
000000021e447278 (__TEXT,__text) external _apr_allocator_create
000000021e4472d8 (__TEXT,__text) external _apr_allocator_destroy
000000021e4475a4 (__TEXT,__text) external _apr_allocator_free
000000021e447364 (__TEXT,__text) external _apr_allocator_max_free_set
000000021e44734c (__TEXT,__text) external _apr_allocator_mutex_get
000000021e447344 (__TEXT,__text) external _apr_allocator_mutex_set
000000021e44735c (__TEXT,__text) external _apr_allocator_owner_get
000000021e447354 (__TEXT,__text) external _apr_allocator_owner_set
000000021e449adc (__TEXT,__text) external _apr_app_initialize
000000021e440a94 (__TEXT,__text) external _apr_array_append
000000021e4408bc (__TEXT,__text) external _apr_array_cat
000000021e4407d4 (__TEXT,__text) external _apr_array_clear
000000021e44099c (__TEXT,__text) external _apr_array_copy
000000021e440a4c (__TEXT,__text) external _apr_array_copy_hdr
000000021e440754 (__TEXT,__text) external _apr_array_make
000000021e4407dc (__TEXT,__text) external _apr_array_pop
000000021e440af8 (__TEXT,__text) external _apr_array_pstrcat
000000021e440808 (__TEXT,__text) external _apr_array_push
000000021e43ea04 (__TEXT,__text) external _apr_atoi64
000000021e4422d8 (__TEXT,__text) external _apr_atomic_add32
000000021e442308 (__TEXT,__text) external _apr_atomic_cas32
000000021e442320 (__TEXT,__text) external _apr_atomic_casptr
000000021e4422f8 (__TEXT,__text) external _apr_atomic_dec32
000000021e4422ec (__TEXT,__text) external _apr_atomic_inc32
000000021e4422c0 (__TEXT,__text) external _apr_atomic_init
000000021e4422c8 (__TEXT,__text) external _apr_atomic_read32
000000021e4422d0 (__TEXT,__text) external _apr_atomic_set32
000000021e4422e0 (__TEXT,__text) external _apr_atomic_sub32
000000021e442314 (__TEXT,__text) external _apr_atomic_xchg32
000000021e44232c (__TEXT,__text) external _apr_atomic_xchgptr
000000021e43bdfc (__TEXT,__text) external _apr_collapse_spaces
000000021e43bab4 (__TEXT,__text) external _apr_cpystrn
000000021e45000c (__TEXT,__text) external _apr_crypto_sha256_new
000000021e452434 (__TEXT,__text) external _apr_ctime
000000021e453b38 (__TEXT,__const) external _apr_day_snames
000000021e4428b0 (__TEXT,__text) external _apr_dir_close
000000021e442aec (__TEXT,__text) external _apr_dir_make
000000021e442b2c (__TEXT,__text) external _apr_dir_make_recursive
000000021e4427e4 (__TEXT,__text) external _apr_dir_open
000000021e4428f0 (__TEXT,__text) external _apr_dir_read
000000021e442c2c (__TEXT,__text) external _apr_dir_remove
000000021e442acc (__TEXT,__text) external _apr_dir_rewind
000000021e4424fc (__TEXT,__text) external _apr_dso_error
000000021e4423a0 (__TEXT,__text) external _apr_dso_load
000000021e4424ac (__TEXT,__text) external _apr_dso_sym
000000021e442490 (__TEXT,__text) external _apr_dso_unload
000000021e4489a4 (__TEXT,__text) external _apr_env_delete
000000021e448940 (__TEXT,__text) external _apr_env_get
000000021e448980 (__TEXT,__text) external _apr_env_set
000000021e43b3ac (__TEXT,__text) external _apr_escape_echo
000000021e43ac6c (__TEXT,__text) external _apr_escape_entity
000000021e43b680 (__TEXT,__text) external _apr_escape_hex
000000021e43a8b0 (__TEXT,__text) external _apr_escape_path
000000021e43a728 (__TEXT,__text) external _apr_escape_path_segment
000000021e43a12c (__TEXT,__text) external _apr_escape_shell
000000021e43aabc (__TEXT,__text) external _apr_escape_urlencoded
000000021e4427ac (__TEXT,__text) external _apr_file_append
000000021e443a20 (__TEXT,__text) external _apr_file_attrs_set
000000021e442540 (__TEXT,__text) external _apr_file_buffer_set
000000021e4425dc (__TEXT,__text) external _apr_file_buffer_size_get
000000021e444494 (__TEXT,__text) external _apr_file_close
000000021e4425e4 (__TEXT,__text) external _apr_file_copy
000000021e442d50 (__TEXT,__text) external _apr_file_data_get
000000021e442d58 (__TEXT,__text) external _apr_file_data_set
000000021e4456d0 (__TEXT,__text) external _apr_file_datasync
000000021e442d70 (__TEXT,__text) external _apr_file_dup
000000021e442f68 (__TEXT,__text) external _apr_file_dup2
000000021e4445e8 (__TEXT,__text) external _apr_file_eof
000000021e442ce0 (__TEXT,__text) external _apr_file_flags_get
000000021e445604 (__TEXT,__text) external _apr_file_flush
000000021e445394 (__TEXT,__text) external _apr_file_flush_locked
000000021e445584 (__TEXT,__text) external _apr_file_getc
000000021e445744 (__TEXT,__text) external _apr_file_gets
000000021e443924 (__TEXT,__text) external _apr_file_info_get
000000021e4437cc (__TEXT,__text) external _apr_file_info_get_locked
000000021e444820 (__TEXT,__text) external _apr_file_inherit_set
000000021e4448d4 (__TEXT,__text) external _apr_file_inherit_unset
000000021e444990 (__TEXT,__text) external _apr_file_link
000000021e443c84 (__TEXT,__text) external _apr_file_lock
000000021e44404c (__TEXT,__text) external _apr_file_mktemp
000000021e443b90 (__TEXT,__text) external _apr_file_mtime_set
000000021e442cd0 (__TEXT,__text) external _apr_file_name_get
000000021e444e70 (__TEXT,__text) external _apr_file_namedpipe_create
000000021e444224 (__TEXT,__text) external _apr_file_open
000000021e444600 (__TEXT,__text) external _apr_file_open_flags_stderr
000000021e444668 (__TEXT,__text) external _apr_file_open_flags_stdin
000000021e444634 (__TEXT,__text) external _apr_file_open_flags_stdout
000000021e444698 (__TEXT,__text) external _apr_file_open_stderr
000000021e4447a0 (__TEXT,__text) external _apr_file_open_stdin
000000021e44471c (__TEXT,__text) external _apr_file_open_stdout
000000021e4439d4 (__TEXT,__text) external _apr_file_perms_set
000000021e444c44 (__TEXT,__text) external _apr_file_pipe_create
000000021e444df4 (__TEXT,__text) external _apr_file_pipe_create_ex
000000021e444a9c (__TEXT,__text) external _apr_file_pipe_timeout_get
000000021e4449c0 (__TEXT,__text) external _apr_file_pipe_timeout_set
000000021e444988 (__TEXT,__text) external _apr_file_pool_get
000000021e44590c (__TEXT,__text) external _apr_file_printf
000000021e445538 (__TEXT,__text) external _apr_file_putc
000000021e4455bc (__TEXT,__text) external _apr_file_puts
000000021e444ebc (__TEXT,__text) external _apr_file_read
000000021e443dbc (__TEXT,__text) external _apr_file_read_full
000000021e4444b0 (__TEXT,__text) external _apr_file_remove
000000021e4444d4 (__TEXT,__text) external _apr_file_rename
000000021e445a08 (__TEXT,__text) external _apr_file_seek
000000021e442f94 (__TEXT,__text) external _apr_file_setaside
000000021e44565c (__TEXT,__text) external _apr_file_sync
000000021e445bec (__TEXT,__text) external _apr_file_trunc
000000021e445574 (__TEXT,__text) external _apr_file_ungetc
000000021e443d38 (__TEXT,__text) external _apr_file_unlock
000000021e445194 (__TEXT,__text) external _apr_file_write
000000021e443e38 (__TEXT,__text) external _apr_file_write_full
000000021e445454 (__TEXT,__text) external _apr_file_writev
000000021e443eb4 (__TEXT,__text) external _apr_file_writev_full
000000021e4435b0 (__TEXT,__text) external _apr_filepath_encoding
000000021e4430d4 (__TEXT,__text) external _apr_filepath_get
000000021e4435a4 (__TEXT,__text) external _apr_filepath_list_merge
000000021e443688 (__TEXT,__text) external _apr_filepath_list_merge_impl
000000021e443598 (__TEXT,__text) external _apr_filepath_list_split
000000021e4435c0 (__TEXT,__text) external _apr_filepath_list_split_impl
000000021e443210 (__TEXT,__text) external _apr_filepath_merge
000000021e43bdcc (__TEXT,__text) external _apr_filepath_name_get
000000021e4431a4 (__TEXT,__text) external _apr_filepath_root
000000021e443180 (__TEXT,__text) external _apr_filepath_set
000000021e43be78 (__TEXT,__text) external _apr_fnmatch
000000021e43c69c (__TEXT,__text) external _apr_fnmatch_test
000000021e449a0c (__TEXT,__text) external _apr_generate_random_bytes
000000021e44d394 (__TEXT,__text) external _apr_gethostname
000000021e44b684 (__TEXT,__text) external _apr_getnameinfo
000000021e448ec8 (__TEXT,__text) external _apr_getopt
000000021e448de8 (__TEXT,__text) external _apr_getopt_init
000000021e449100 (__TEXT,__text) external _apr_getopt_long
000000021e44b7c4 (__TEXT,__text) external _apr_getservbyname
000000021e452750 (__TEXT,__text) external _apr_gid_get
000000021e452684 (__TEXT,__text) external _apr_gid_name_get
000000021e445fbc (__TEXT,__text) external _apr_global_mutex_child_init
000000021e445e88 (__TEXT,__text) external _apr_global_mutex_create
000000021e4460cc (__TEXT,__text) external _apr_global_mutex_destroy
000000021e445fc8 (__TEXT,__text) external _apr_global_mutex_lock
000000021e4460e8 (__TEXT,__text) external _apr_global_mutex_lockfile
000000021e4460f0 (__TEXT,__text) external _apr_global_mutex_name
000000021e4460f8 (__TEXT,__text) external _apr_global_mutex_pool_get
000000021e44601c (__TEXT,__text) external _apr_global_mutex_trylock
000000021e446070 (__TEXT,__text) external _apr_global_mutex_unlock
000000021e43f504 (__TEXT,__text) external _apr_hash_clear
000000021e43f1e8 (__TEXT,__text) external _apr_hash_copy
000000021e43f4fc (__TEXT,__text) external _apr_hash_count
000000021e43f7f8 (__TEXT,__text) external _apr_hash_do
000000021e43f0dc (__TEXT,__text) external _apr_hash_first
000000021e43f2d4 (__TEXT,__text) external _apr_hash_get
000000021e43efbc (__TEXT,__text) external _apr_hash_make
000000021e43f068 (__TEXT,__text) external _apr_hash_make_custom
000000021e43f570 (__TEXT,__text) external _apr_hash_merge
000000021e43f090 (__TEXT,__text) external _apr_hash_next
000000021e43f564 (__TEXT,__text) external _apr_hash_overlay
000000021e43f8a0 (__TEXT,__text) external _apr_hash_pool_get
000000021e43f428 (__TEXT,__text) external _apr_hash_set
000000021e43f12c (__TEXT,__text) external _apr_hash_this
000000021e43f160 (__TEXT,__text) external _apr_hash_this_key
000000021e43f16c (__TEXT,__text) external _apr_hash_this_key_len
000000021e43f178 (__TEXT,__text) external _apr_hash_this_val
000000021e43f184 (__TEXT,__text) external _apr_hashfunc_default
000000021e449e28 (__TEXT,__text) external _apr_inet_ntop
000000021e44a1cc (__TEXT,__text) external _apr_inet_pton
000000021e449ae0 (__TEXT,__text) external _apr_initialize
000000021e44b9b0 (__TEXT,__text) external _apr_ipsubnet_create
000000021e44bcf0 (__TEXT,__text) external _apr_ipsubnet_test
000000021e440738 (__TEXT,__text) external _apr_is_empty_array
000000021e440c08 (__TEXT,__text) external _apr_is_empty_table
000000021e43ea48 (__TEXT,__text) external _apr_itoa
000000021e43eac0 (__TEXT,__text) external _apr_ltoa
000000021e43c710 (__TEXT,__text) external _apr_match_glob
000000021e44a6a4 (__TEXT,__text) external _apr_mcast_hops
000000021e44a774 (__TEXT,__text) external _apr_mcast_interface
000000021e44a578 (__TEXT,__text) external _apr_mcast_join
000000021e44a68c (__TEXT,__text) external _apr_mcast_leave
000000021e44a764 (__TEXT,__text) external _apr_mcast_loopback
000000021e449be8 (__TEXT,__text) external _apr_mmap_create
000000021e449e0c (__TEXT,__text) external _apr_mmap_delete
000000021e449d70 (__TEXT,__text) external _apr_mmap_dup
000000021e449bb8 (__TEXT,__text) external _apr_mmap_offset
000000021e453b08 (__TEXT,__const) external _apr_month_snames
000000021e43eb38 (__TEXT,__text) external _apr_off_t_toa
000000021e4488d4 (__TEXT,__text) external _apr_os_default_encoding
000000021e442c50 (__TEXT,__text) external _apr_os_dir_get
000000021e442c70 (__TEXT,__text) external _apr_os_dir_put
000000021e442390 (__TEXT,__text) external _apr_os_dso_handle_get
000000021e442338 (__TEXT,__text) external _apr_os_dso_handle_put
000000021e452154 (__TEXT,__text) external _apr_os_exp_time_get
000000021e4521a4 (__TEXT,__text) external _apr_os_exp_time_put
000000021e4444f8 (__TEXT,__text) external _apr_os_file_get
000000021e444508 (__TEXT,__text) external _apr_os_file_put
000000021e4460b4 (__TEXT,__text) external _apr_os_global_mutex_get
000000021e452114 (__TEXT,__text) external _apr_os_imp_time_get
000000021e452180 (__TEXT,__text) external _apr_os_imp_time_put
000000021e4488e0 (__TEXT,__text) external _apr_os_locale_encoding
000000021e444ba4 (__TEXT,__text) external _apr_os_pipe_put
000000021e444ac4 (__TEXT,__text) external _apr_os_pipe_put_ex
000000021e4462cc (__TEXT,__text) external _apr_os_proc_mutex_get
000000021e4462ec (__TEXT,__text) external _apr_os_proc_mutex_put
000000021e450690 (__TEXT,__text) external _apr_os_shm_get
000000021e45069c (__TEXT,__text) external _apr_os_shm_put
000000021e44ca04 (__TEXT,__text) external _apr_os_sock_get
000000021e44ca14 (__TEXT,__text) external _apr_os_sock_make
000000021e44cb34 (__TEXT,__text) external _apr_os_sock_put
000000021e451bcc (__TEXT,__text) external _apr_os_thread_current
000000021e451bd0 (__TEXT,__text) external _apr_os_thread_equal
000000021e451c60 (__TEXT,__text) external _apr_os_thread_get
000000021e451c70 (__TEXT,__text) external _apr_os_thread_put
000000021e451df0 (__TEXT,__text) external _apr_os_threadkey_get
000000021e451e00 (__TEXT,__text) external _apr_os_threadkey_put
000000021e4499a0 (__TEXT,__text) external _apr_os_uuid_get
000000021e447aa4 (__TEXT,__text) external _apr_palloc
000000021e4488b8 (__TEXT,__text) external _apr_palloc_debug
000000021e44b390 (__TEXT,__text) external _apr_parse_addr_port
000000021e43ba3c (__TEXT,__text) external _apr_password_get
000000021e447bcc (__TEXT,__text) external _apr_pcalloc
000000021e4488bc (__TEXT,__text) external _apr_pcalloc_debug
000000021e43b600 (__TEXT,__text) external _apr_pescape_echo
000000021e43af28 (__TEXT,__text) external _apr_pescape_entity
000000021e43b71c (__TEXT,__text) external _apr_pescape_hex
000000021e43aa3c (__TEXT,__text) external _apr_pescape_path
000000021e43a844 (__TEXT,__text) external _apr_pescape_path_segment
000000021e43a220 (__TEXT,__text) external _apr_pescape_shell
000000021e43ac00 (__TEXT,__text) external _apr_pescape_urlencoded
000000021e43e670 (__TEXT,__text) external _apr_pmemdup
000000021e44de70 (__TEXT,__text) external _apr_poll
000000021e44e9e4 (__TEXT,__text) external _apr_poll_method_defname
000000021e44e67c (__TEXT,__text) external _apr_pollcb_add
000000021e44e674 (__TEXT,__text) external _apr_pollcb_create
000000021e44e548 (__TEXT,__text) external _apr_pollcb_create_ex
000000021e44e694 (__TEXT,__text) external _apr_pollcb_poll
000000022f4da478 (__DATA,__data) external _apr_pollcb_provider_kqueue
000000022f4da488 (__DATA,__data) external _apr_pollcb_provider_poll
000000021e44e688 (__TEXT,__text) external _apr_pollcb_remove
000000021e44ea68 (__TEXT,__text) external _apr_pollset_add
000000021e44ea08 (__TEXT,__text) external _apr_pollset_create
000000021e44e71c (__TEXT,__text) external _apr_pollset_create_ex
000000021e44ea10 (__TEXT,__text) external _apr_pollset_destroy
000000021e44e6a0 (__TEXT,__text) external _apr_pollset_drain_wakeup_pipe
000000021e44e9d8 (__TEXT,__text) external _apr_pollset_method_name
000000021e44ea80 (__TEXT,__text) external _apr_pollset_poll
000000022f4da470 (__DATA,__data) external _apr_pollset_provider_kqueue
000000022f4da480 (__DATA,__data) external _apr_pollset_provider_poll
000000022f4da490 (__DATA,__data) external _apr_pollset_provider_select
000000021e44ea74 (__TEXT,__text) external _apr_pollset_remove
000000021e44ea48 (__TEXT,__text) external _apr_pollset_wakeup
000000021e448444 (__TEXT,__text) external _apr_pool_abort_get
000000021e44843c (__TEXT,__text) external _apr_pool_abort_set
000000021e448454 (__TEXT,__text) external _apr_pool_allocator_get
000000021e44877c (__TEXT,__text) external _apr_pool_child_cleanup_set
000000021e4487fc (__TEXT,__text) external _apr_pool_cleanup_for_exec
000000021e4486dc (__TEXT,__text) external _apr_pool_cleanup_kill
000000021e448864 (__TEXT,__text) external _apr_pool_cleanup_null
000000021e448540 (__TEXT,__text) external _apr_pool_cleanup_register
000000021e4487b4 (__TEXT,__text) external _apr_pool_cleanup_run
000000021e447c08 (__TEXT,__text) external _apr_pool_clear
000000021e4488c0 (__TEXT,__text) external _apr_pool_clear_debug
