                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
00007fff2d6b4220 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
00007fff2d6b0f81 (__TEXT,__text) external _FSp_profile_init
00007fff2d6b0f8e (__TEXT,__text) external _FSp_profile_init_path
00007fff2d6b422b (__TEXT,__text) external _FSp_put_svc_key
00007fff2d6b4236 (__TEXT,__text) external _FSp_read_service_key
00007fff8156db00 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00007fff8156db18 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00007fff8156dad8 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00007fff8156dac0 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00007fff8156da90 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00007fff8156daa8 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00007fff8156da78 (__DATA,__data) external _GSS_C_NT_USER_NAME
00007fff8156dba0 (__DATA,__data) external _GSS_KRB5_MECHANISM
00007fff8156db70 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00007fff8156db38 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00007fff8156db80 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00007fff8156db60 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
00007fff2d6b4388 (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
00007fff2d6b437d (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
00007fff2d6b42fc (__TEXT,__text) external _KClientAddCredentialsDeprecated
00007fff2d6b426d (__TEXT,__text) external _KClientAddRealmMapDeprecated
00007fff2d6b4299 (__TEXT,__text) external _KClientAddServerMapDeprecated
00007fff2d6b4577 (__TEXT,__text) external _KClientAddServiceKey
00007fff2d6b4241 (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
00007fff2d6b45da (__TEXT,__text) external _KClientDecrypt
00007fff2d6b440c (__TEXT,__text) external _KClientDecryptCompat
00007fff2d6b4307 (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
00007fff2d6b4278 (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
00007fff2d6b42a4 (__TEXT,__text) external _KClientDeleteServerMapDeprecated
00007fff2d6b42e6 (__TEXT,__text) external _KClientDeleteSessionDeprecated
00007fff2d6b4627 (__TEXT,__text) external _KClientDisposePrincipal
00007fff2d6b44bc (__TEXT,__text) external _KClientDisposeSession
00007fff2d6b43a9 (__TEXT,__text) external _KClientDisposeSessionCompat
00007fff2d6b45cf (__TEXT,__text) external _KClientEncrypt
00007fff2d6b4401 (__TEXT,__text) external _KClientEncryptCompat
00007fff2d6b458d (__TEXT,__text) external _KClientGetAuthenticatorForService
00007fff2d6b45fb (__TEXT,__text) external _KClientGetCCacheReference
00007fff2d6b44c7 (__TEXT,__text) external _KClientGetClientPrincipal
00007fff2d6b42f1 (__TEXT,__text) external _KClientGetCredentialsDeprecated
00007fff2d6b45b9 (__TEXT,__text) external _KClientGetEncryptedServiceReply
00007fff2d6b4333 (__TEXT,__text) external _KClientGetErrorTextDeprecated
00007fff2d6b452a (__TEXT,__text) external _KClientGetExpirationTime
