00000001803ff760 (__TEXT,__text) external _OSAtomicAdd32
00000001803ff76c (__TEXT,__text) external _OSAtomicAdd32Barrier
00000001803ff7b8 (__TEXT,__text) external _OSAtomicAdd64
00000001803ff7c4 (__TEXT,__text) external _OSAtomicAdd64Barrier
00000001803ff810 (__TEXT,__text) external _OSAtomicAnd32
00000001803ff820 (__TEXT,__text) external _OSAtomicAnd32Barrier
00000001803ff830 (__TEXT,__text) external _OSAtomicAnd32Orig
00000001803ff83c (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
00000001803ff898 (__TEXT,__text) external _OSAtomicCompareAndSwap32
00000001803ff8ac (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
00000001803ff938 (__TEXT,__text) external _OSAtomicCompareAndSwap64
00000001803ff94c (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
00000001803ff8e8 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
00000001803ff8fc (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
00000001803ff910 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
00000001803ff924 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
00000001803ff8c0 (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
00000001803ff8d4 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
00000001803ff798 (__TEXT,__text) external _OSAtomicDecrement32
00000001803ff7a8 (__TEXT,__text) external _OSAtomicDecrement32Barrier
00000001803ff7f0 (__TEXT,__text) external _OSAtomicDecrement64
00000001803ff800 (__TEXT,__text) external _OSAtomicDecrement64Barrier
00000001803ffae4 (__TEXT,__text) external _OSAtomicDequeue
00000001803ffa70 (__TEXT,__text) external _OSAtomicEnqueue
00000001803fe584 (__TEXT,__text) external _OSAtomicFifoDequeue
00000001803fe544 (__TEXT,__text) external _OSAtomicFifoEnqueue
00000001803ff778 (__TEXT,__text) external _OSAtomicIncrement32
00000001803ff788 (__TEXT,__text) external _OSAtomicIncrement32Barrier
00000001803ff7d0 (__TEXT,__text) external _OSAtomicIncrement64
00000001803ff7e0 (__TEXT,__text) external _OSAtomicIncrement64Barrier
00000001803ff848 (__TEXT,__text) external _OSAtomicOr32
00000001803ff854 (__TEXT,__text) external _OSAtomicOr32Barrier
00000001803ff860 (__TEXT,__text) external _OSAtomicOr32Orig
00000001803ff868 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
