                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018a541a90 (__TEXT,__text) non-external _au_assemble
000000018a543338 (__TEXT,__text) external _au_bsm_to_domain
000000018a54dc44 (__TEXT,__text) external _au_bsm_to_errno
000000018a54dd18 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
000000018a54980c (__TEXT,__text) external _au_bsm_to_socket_type
000000018a541d2c (__TEXT,__text) external _au_close
000000018a541df4 (__TEXT,__text) external _au_close_buffer
000000018a541ed4 (__TEXT,__text) external _au_close_token
000000018a5419b0 (__TEXT,__text) external _au_close_with_errors
00000001d6773b54 (__DATA,__bss) non-external _au_cond
000000018a543300 (__TEXT,__text) external _au_domain_to_bsm
000000018a54dc08 (__TEXT,__text) external _au_errno_to_bsm
000000018a54dce0 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
000000018a53fe7c (__TEXT,__text) external _au_fetch_tok
000000018a541790 (__TEXT,__text) external _au_free_token
000000018a5496c4 (__TEXT,__text) external _au_get_state
000000018a549604 (__TEXT,__text) external _au_notify_initialize
000000018a54969c (__TEXT,__text) external _au_notify_terminate
000000018a5417d8 (__TEXT,__text) external _au_open
00000001d1f6f580 (__DATA_CONST,__const) non-external _au_polstr
000000018a5423a8 (__TEXT,__text) external _au_poltostr
000000018a5493dc (__TEXT,__text) external _au_preselect
000000018a543de0 (__TEXT,__text) external _au_print_flags_tok
000000018a54846c (__TEXT,__text) external _au_print_tok
000000018a548484 (__TEXT,__text) external _au_print_tok_xml
000000018a543c84 (__TEXT,__text) external _au_print_xml_footer
000000018a543c28 (__TEXT,__text) external _au_print_xml_header
000000018a5484a0 (__TEXT,__text) external _au_read_rec
000000018a54dbbc (__TEXT,__text) external _au_sdev_close
000000018a54dc00 (__TEXT,__text) external _au_sdev_fd
000000018a53fa30 (__TEXT,__text) external _au_sdev_open
000000018a53fb04 (__TEXT,__text) external _au_sdev_read_aia
00000001d1f6f670 (__DATA_CONST,__const) non-external _au_sflagsstr
000000018a542568 (__TEXT,__text) external _au_sflagstostr
000000018a5497d4 (__TEXT,__text) external _au_socket_type_to_bsm
000000018a542c3c (__TEXT,__text) non-external _au_spacetobytes
000000018a54dc90 (__TEXT,__text) external _au_strerror
000000018a542480 (__TEXT,__text) external _au_strtopol
000000018a542640 (__TEXT,__text) external _au_strtosflags
000000018a541c70 (__TEXT,__text) non-external _au_teardown
000000018a5499f4 (__TEXT,__text) external _au_to_arg
000000018a549814 (__TEXT,__text) external _au_to_arg32
000000018a5498f4 (__TEXT,__text) external _au_to_arg64
000000018a54b80c (__TEXT,__text) external _au_to_certificate_hash
000000018a5499f8 (__TEXT,__text) external _au_to_data
000000018a54b6e4 (__TEXT,__text) external _au_to_exec_args
000000018a54b804 (__TEXT,__text) external _au_to_exec_env
000000018a549adc (__TEXT,__text) external _au_to_exit
000000018a54a010 (__TEXT,__text) external _au_to_file
000000018a549b84 (__TEXT,__text) external _au_to_groups
000000018a54bfb8 (__TEXT,__text) external _au_to_header
000000018a54bea8 (__TEXT,__text) external _au_to_header32
000000018a54bdf4 (__TEXT,__text) external _au_to_header32_ex
000000018a54bb48 (__TEXT,__text) external _au_to_header32_ex_tm
000000018a54ba38 (__TEXT,__text) external _au_to_header32_tm
000000018a54bf30 (__TEXT,__text) external _au_to_header64
000000018a54bcc0 (__TEXT,__text) external _au_to_header64_tm
000000018a54bfbc (__TEXT,__text) external _au_to_header_ex
000000018a54b8c8 (__TEXT,__text) external _au_to_identity
000000018a549c44 (__TEXT,__text) external _au_to_in_addr
000000018a549cb0 (__TEXT,__text) external _au_to_in_addr_ex
000000018a549d24 (__TEXT,__text) external _au_to_ip
000000018a549d98 (__TEXT,__text) external _au_to_ipc
000000018a549e28 (__TEXT,__text) external _au_to_ipc_perm
000000018a549efc (__TEXT,__text) external _au_to_iport
000000018a54c048 (__TEXT,__text) external _au_to_kevent
000000018a54b814 (__TEXT,__text) external _au_to_krb5_principal
000000018a54b63c (__TEXT,__text) external _au_to_me
000000018a549b90 (__TEXT,__text) external _au_to_newgroups
000000018a549f6c (__TEXT,__text) external _au_to_opaque
000000018a54a1c8 (__TEXT,__text) external _au_to_path
000000018a54a594 (__TEXT,__text) external _au_to_process
000000018a54a274 (__TEXT,__text) external _au_to_process32
000000018a54a598 (__TEXT,__text) external _au_to_process32_ex
000000018a54a3e8 (__TEXT,__text) external _au_to_process64
000000018a54a79c (__TEXT,__text) external _au_to_process64_ex
000000018a54a9d8 (__TEXT,__text) external _au_to_process_ex
000000018a54ab1c (__TEXT,__text) external _au_to_return
000000018a54a9dc (__TEXT,__text) external _au_to_return32
000000018a54aa6c (__TEXT,__text) external _au_to_return64
000000018a54ab20 (__TEXT,__text) external _au_to_seq
000000018a54aec8 (__TEXT,__text) external _au_to_sock_inet
000000018a54ae44 (__TEXT,__text) external _au_to_sock_inet128
000000018a54adc8 (__TEXT,__text) external _au_to_sock_inet32
000000018a54ad18 (__TEXT,__text) external _au_to_sock_unix
000000018a54aba0 (__TEXT,__text) external _au_to_socket_ex
000000018a54b6ec (__TEXT,__text) non-external _au_to_strings
000000018a54b1ec (__TEXT,__text) external _au_to_subject
000000018a54aecc (__TEXT,__text) external _au_to_subject32
000000018a54b1f0 (__TEXT,__text) external _au_to_subject32_ex
000000018a54b040 (__TEXT,__text) external _au_to_subject64
000000018a54b3f8 (__TEXT,__text) external _au_to_subject64_ex
000000018a54b638 (__TEXT,__text) external _au_to_subject_ex
000000018a54a11c (__TEXT,__text) external _au_to_text
000000018a54bfc0 (__TEXT,__text) external _au_to_trailer
000000018a54b81c (__TEXT,__text) external _au_to_zonename
000000018a54c3cc (__TEXT,__text) external _au_user_mask
000000018a541918 (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00000001d6773468 (__DATA,__bss) non-external _audit_free_q
000000018a54db14 (__TEXT,__text) external _audit_get_car
000000018a54d7c0 (__TEXT,__text) external _audit_get_class
