00000001d41d4d78 (__TEXT,__text) non-external -[BridgedAccountPageViewControllerFactory createAccountPageViewControllerFor:]
00000001d41d4c98 (__TEXT,__text) non-external -[BridgedCampaignClickRecorder campaignClickErrorWithDescription:]
00000001d41d4584 (__TEXT,__text) non-external -[BridgedCampaignClickRecorder recordCampaignClickWithReportUrl:campaignUrl:]
00000001d41d4454 (__TEXT,__text) non-external -[NPFamilyEligibilityProvider init]
00000001d41d44a8 (__TEXT,__text) non-external -[NPFamilyEligibilityProvider requestFamilyEligibility]
00000001d41d4da8 (__TEXT,__text) non-external -[NPFamilySharingSetupPresenter presentFamilySharingSetupWith:]
                 (undefined) external _AMSError (from AppleMediaServices)
                 (undefined) external _AMSMarketingItemActionTypeBuy (from AppleMediaServices)
                 (undefined) external _AMSMarketingItemActionTypeCarrierLink (from AppleMediaServices)
                 (undefined) external _AMSMarketingItemActionTypeLink (from AppleMediaServices)
                 (undefined) external _ASDServerErrorDomain (from AppStoreDaemon)
                 (undefined) external _ASDSubscriptionEntitlementsNewsDidChangeNotification (from AppStoreDaemon)
                 (undefined) external _ASWebAuthenticationSessionErrorDomain (from AuthenticationServices)
                 (undefined) external _AVLayerVideoGravityResizeAspectFill (from AVFoundation)
00000001e43fdc60 (__DATA,__data) external _BridgedCampaignClickErrorCode
00000001e07fa438 (__DATA_CONST,__const) external _BridgedCampaignClickErrorDomain
                 (undefined) external _CGAffineTransformMakeScale (from CoreGraphics)
                 (undefined) external _CGAffineTransformMakeTranslation (from CoreGraphics)
                 (undefined) external _CGAffineTransformRotate (from CoreGraphics)
                 (undefined) external _CGRectEqualToRect (from CoreGraphics)
                 (undefined) external _CGRectGetHeight (from CoreGraphics)
                 (undefined) external _CGRectGetMaxY (from CoreGraphics)
                 (undefined) external _CGRectGetMidX (from CoreGraphics)
                 (undefined) external _CGRectGetMidY (from CoreGraphics)
                 (undefined) external _CGRectGetMinX (from CoreGraphics)
                 (undefined) external _CGRectGetMinY (from CoreGraphics)
                 (undefined) external _CGRectGetWidth (from CoreGraphics)
                 (undefined) external _CGRectIntegral (from CoreGraphics)
                 (undefined) external _CGRectIntersectsRect (from CoreGraphics)
                 (undefined) external _FCALaCarteSubscriptionMeteredCountMaximumLimit (from NewsCore)
                 (undefined) external _FCAlreadyPurchasedErrorCode (from NewsCore)
                 (undefined) external _FCBundleSubscriptionMeteredCountMaximumLimit (from NewsCore)
                 (undefined) external _FCBundleSubscriptionTagID (from NewsCore)
                 (undefined) external _FCDefaultsSuiteName (from NewsCore)
                 (undefined) external _FCDiagnosticsLog (from NewsCore)
                 (undefined) external _FCEntitlementsTimedOutErrorCode (from NewsCore)
                 (undefined) external _FCForYouFeedIdentifier (from NewsCore)
                 (undefined) external _FCOngoingPurchaseErrorCode (from NewsCore)
                 (undefined) external _FCOperationPurposePaywall (from NewsCore)
                 (undefined) external _FCPaymentRestrictedErrorCode (from NewsCore)
                 (undefined) external _FCPaywallConfigsOfferTypeOverride (from NewsCore)
                 (undefined) external _FCPurchaseAddedNotificationName (from NewsCore)
                 (undefined) external _FCPurchaseErrorDomain (from NewsCore)
                 (undefined) external _FCSimulateEntitlementsCacheExpired (from NewsCore)
                 (undefined) external _FCSubscriptionLinkTargetTypeOverride (from NewsCore)
                 (undefined) external _FCSubscriptionMeteredCountDuration (from NewsCore)
                 (undefined) external _FCTokenVerificationDuration (from NewsCore)
                 (undefined) external _FCTokenVerificationGracePeriod (from NewsCore)
                 (undefined) external _FCWebAuthenticationLocalServerIPAddress (from NewsCore)
                 (undefined) external _FCWidgetModeGroupIDPathComponent (from NewsCore)
                 (undefined) external _NFInternalBuild (from NewsFoundation)
                 (undefined) external _NFStoreDemoMode (from NewsFoundation)
                 (undefined) external _NSFontAttributeName (from AppKit)
                 (undefined) external _NSForegroundColorAttributeName (from AppKit)
                 (undefined) external _NSKernAttributeName (from AppKit)
                 (undefined) external _NSLinkAttributeName (from AppKit)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSParagraphStyleAttributeName (from AppKit)
                 (undefined) external _NSSearchPathForDirectoriesInDomains (from Foundation)
                 (undefined) external _NSURLSessionTaskPriorityHigh (from Foundation)
                 (undefined) external _NSUserActivityTypeBrowsingWeb (from Foundation)
                 (undefined) external _NewsCoreUserDefaults (from NewsCore)
00000001d435a000 (__TEXT,__const) external _NewsSubscriptionVersionNumber
00000001d4359fd0 (__TEXT,__const) external _NewsSubscriptionVersionString
                 (undefined) external _OBJC_CLASS_$_ACAccountStore (from Accounts)
                 (undefined) external _OBJC_CLASS_$_AKAccountManager (from AuthKit)
                 (undefined) external _OBJC_CLASS_$_AMSAuthenticateOptions (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSBag (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSBagKeySet (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSBuyParams (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSCampaignAttributionTask (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSCarrierLinkResult (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSMarketingItem (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSMarketingItemAction (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSMarketingItemTask (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSMutableBagKeySet (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSProcessInfo (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSPurchase (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSPurchaseQueue (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSPurchaseQueueConfiguration (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSPurchaseResult (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSUIAlertDialogTask (from AppleMediaServicesUI)
                 (undefined) external _OBJC_CLASS_$_AMSUIAuthenticateTask (from AppleMediaServicesUI)
                 (undefined) external _OBJC_CLASS_$_AMSUIDynamicViewController (from AppleMediaServicesUI)
                 (undefined) external _OBJC_CLASS_$_AMSUIEngagementTask (from AppleMediaServicesUI)
                 (undefined) external _OBJC_CLASS_$_AMSUIMarketingItemViewController (from AppleMediaServicesUI)
                 (undefined) external _OBJC_CLASS_$_AMSUIMessageGroup (from AppleMediaServicesUI)
                 (undefined) external _OBJC_CLASS_$_AMSUIWebViewController (from AppleMediaServicesUI)
                 (undefined) external _OBJC_CLASS_$_AMSURLParser (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSURLRequestEncoder (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSURLResult (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSURLSession (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_ASDSubscriptionEntitlement (from AppStoreDaemon)
                 (undefined) external _OBJC_CLASS_$_ASWebAuthenticationSession (from AuthenticationServices)
                 (undefined) external _OBJC_CLASS_$_AVPlayer (from AVFoundation)
00000001e4fc1908 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_BridgedAccountPageViewControllerFactory
00000001e4fc1868 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_BridgedCampaignClickRecorder
                 (undefined) external _OBJC_CLASS_$_FAFamilyMember (from FamilyCircle)
                 (undefined) external _OBJC_CLASS_$_FAFetchFamilyCircleRequest (from FamilyCircle)
                 (undefined) external _OBJC_CLASS_$_FCAMSBag (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCAppleAccount (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCAssetHandle (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCAssetManager (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCAsyncSerialQueue (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCBaseURLConfiguration (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCBundleSubscription (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCChannelPaywallConfig (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCChannelUpsellConfig (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCCloudContext (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCCompletedPaymentTransaction (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCConfigHyperlinkTextLink (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCEndpointConnection (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCEntitlementService (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCFeldsparIDProvider (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCHideMyEmailSignupConfig (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCMagazineGenre (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCPaywallConfiguration (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCPostPurchaseOnboardingConfiguration (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCPurchase (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCPurchaseController (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCPurchaseLookUpEntry (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCPurchaseOfferableConfiguration (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCReadingHistory (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCResource (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCRestorePaidSubscriptionItem (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCSIWAPurchaseConfig (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCSubscriptionButtonConfiguration (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCSubscriptionController (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCSubscriptionEntitlement (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCTag (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCTagController (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCTagSettings (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCTaskScheduler (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCUserInfo (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_IAMApplicationDidBecomeActiveEvent (from InAppMessagesCore)
                 (undefined) external _OBJC_CLASS_$_IAMMessageCoordinator (from InAppMessages)
                 (undefined) external _OBJC_CLASS_$_IAMMessageGroup (from InAppMessages)
                 (undefined) external _OBJC_CLASS_$_NFPromise (from NewsFoundation)
                 (undefined) external _OBJC_CLASS_$_NFStateMachine (from NewsFoundation)
                 (undefined) external _OBJC_CLASS_$_NFStateMachineEvent (from NewsFoundation)
                 (undefined) external _OBJC_CLASS_$_NFStateMachineState (from NewsFoundation)
00000001e4fc1d80 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NPAssembly
00000001e4fc1890 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NPFamilyEligibilityProvider
00000001e588dbe8 (__AUTH,__objc_data) external _OBJC_CLASS_$_NPFamilySharingSetupPresenter
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSAttributedString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHTTPCookie (from Foundation)
