                 (undefined) external _CCHmac (from libSystem)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetCStringPtr (from CoreFoundation)
000000019309547c (__TEXT,__text) external _NEAuditTokenForPID
0000000193095698 (__TEXT,__text) external _NECopyAuditPortForAuditToken
000000019309563c (__TEXT,__text) external _NECopyBootstrapPortForPID
000000019309527c (__TEXT,__text) external _NECopySigningIdentifierForPID
00000001930952b8 (__TEXT,__text) external _NECopySigningIdentifierForXPCMessage
00000001930955e4 (__TEXT,__text) external _NEGIDForAuditToken
                 (undefined) external _NEHelperCacheCopySigningIdentifierMapping (from libSystem)
000000019307bde4 (__TEXT,__text) external _NEHelperTrackerAddIP
000000019307b3b4 (__TEXT,__text) external _NEHelperTrackerAddIPForAllFlows
00000001d8fa9a46 (__DATA,__bss) non-external _NEHelperTrackerAddIPForAllFlows.buffer
000000019307bddc (__TEXT,__text) external _NEHelperTrackerAddIPWithDisposition
000000019307a150 (__TEXT,__text) external _NEHelperTrackerAppInfoGetPID
0000000193079fa8 (__TEXT,__text) external _NEHelperTrackerAppInfoIsBrowser
0000000193079f08 (__TEXT,__text) external _NEHelperTrackerAppInfoSetAuditToken
0000000193079f8c (__TEXT,__text) external _NEHelperTrackerAppInfoSetIsBrowser
0000000193079f74 (__TEXT,__text) external _NEHelperTrackerAppInfoSetPID
0000000193079ef0 (__TEXT,__text) external _NEHelperTrackerAppInfoSetSigningIdentifier
0000000193079f30 (__TEXT,__text) external _NEHelperTrackerAppInfoSetUUID
000000019307aea4 (__TEXT,__text) external _NEHelperTrackerAppendTLV
000000019307b198 (__TEXT,__text) external _NEHelperTrackerCalculateParameterLen
000000019307ae34 (__TEXT,__text) non-external _NEHelperTrackerCheckMetadataForApp
000000019307ae14 (__TEXT,__text) non-external _NEHelperTrackerCheckMetadataForWeb
000000019307ae54 (__TEXT,__text) external _NEHelperTrackerClearCache
000000019307a1c0 (__TEXT,__text) external _NEHelperTrackerContextGetDomain
000000019307a1cc (__TEXT,__text) external _NEHelperTrackerContextGetDomainOwner
00000001d8fa9b44 (__DATA,__bss) non-external _NEHelperTrackerDomainIsApproved.buffer
000000019307be04 (__TEXT,__text) external _NEHelperTrackerDumpIPEntries
000000019307b23c (__TEXT,__text) external _NEHelperTrackerFillParameters
0000000193079ee4 (__TEXT,__text) external _NEHelperTrackerFreeAppInfo
0000000193079eb0 (__TEXT,__text) external _NEHelperTrackerGetAppInfo
0000000193079fb8 (__TEXT,__text) external _NEHelperTrackerGetAppUUID
000000019307a1d8 (__TEXT,__text) external _NEHelperTrackerGetDisposition
00000001d8fa97d0 (__DATA,__bss) non-external _NEHelperTrackerGetDisposition.buffer
00000001d8fa9948 (__DATA,__bss) non-external _NEHelperTrackerGetDisposition.puny_coded_domain_buf
000000019307aef4 (__TEXT,__text) external _NEHelperTrackerParseTLV
000000019307a878 (__TEXT,__text) non-external _NEHelperTrackerProcessMatch
00000001930950f8 (__TEXT,__text) external _NEPIDByName
0000000193079d38 (__TEXT,__text) external _NEPunyCodeString
0000000193095610 (__TEXT,__text) external _NEUIDForAuditToken
                 (undefined) external _SANDBOX_CHECK_NO_REPORT (from libSystem)
                 (undefined) external _SecRandomCopyBytes (from Security)
                 (undefined) external _SecTaskCopySigningIdentifier (from Security)
                 (undefined) external _SecTaskCreateWithAuditToken (from Security)
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __CFXPCCreateCFObjectFromXPCObject (from CoreFoundation)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
000000019307cedc (__TEXT,__text) non-external ___Block_byref_object_copy_
