00007ff84003e008 (__DATA,__bss) non-external _GlobalMajor
00007ff84003e00c (__DATA,__bss) non-external _GlobalMinor
00007ff84003e010 (__DATA,__bss) non-external _GlobalSubminor
00007ff84003e000 (__DATA,__bss) non-external _OSOnceCounter
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff800186aa0 (__TEXT,__text) external ___absvdi2
00007ff800186ad3 (__TEXT,__text) external ___absvsi2
00007ff800186afc (__TEXT,__text) external ___absvti2
00007ff800186b3c (__TEXT,__text) external ___addvdi3
00007ff800186b82 (__TEXT,__text) external ___addvsi3
00007ff800186bc4 (__TEXT,__text) external ___addvti3
00007ff800186c21 (__TEXT,__text) external ___ashldi3
00007ff800186c4d (__TEXT,__text) external ___ashlti3
00007ff800186c75 (__TEXT,__text) external ___ashrdi3
00007ff800186ca6 (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff800186f4c (__TEXT,__text) external ___atomic_compare_exchange
00007ff8001874a4 (__TEXT,__text) external ___atomic_compare_exchange_1
00007ff8001874f0 (__TEXT,__text) external ___atomic_compare_exchange_2
00007ff80018753c (__TEXT,__text) external ___atomic_compare_exchange_4
00007ff800187588 (__TEXT,__text) external ___atomic_compare_exchange_8
00007ff800187190 (__TEXT,__text) external ___atomic_exchange
00007ff8001873d6 (__TEXT,__text) external ___atomic_exchange_1
00007ff80018740c (__TEXT,__text) external ___atomic_exchange_2
00007ff800187440 (__TEXT,__text) external ___atomic_exchange_4
00007ff800187470 (__TEXT,__text) external ___atomic_exchange_8
00007ff8001875d4 (__TEXT,__text) external ___atomic_fetch_add_1
00007ff80018760c (__TEXT,__text) external ___atomic_fetch_add_2
00007ff800187640 (__TEXT,__text) external ___atomic_fetch_add_4
00007ff800187674 (__TEXT,__text) external ___atomic_fetch_add_8
00007ff800187784 (__TEXT,__text) external ___atomic_fetch_and_1
00007ff8001877fc (__TEXT,__text) external ___atomic_fetch_and_2
00007ff80018787c (__TEXT,__text) external ___atomic_fetch_and_4
00007ff8001878ec (__TEXT,__text) external ___atomic_fetch_and_8
00007ff800187970 (__TEXT,__text) external ___atomic_fetch_or_1
00007ff8001879e8 (__TEXT,__text) external ___atomic_fetch_or_2
00007ff800187a68 (__TEXT,__text) external ___atomic_fetch_or_4
00007ff800187ad8 (__TEXT,__text) external ___atomic_fetch_or_8
00007ff8001876a8 (__TEXT,__text) external ___atomic_fetch_sub_1
00007ff8001876e0 (__TEXT,__text) external ___atomic_fetch_sub_2
00007ff800187718 (__TEXT,__text) external ___atomic_fetch_sub_4
00007ff80018774c (__TEXT,__text) external ___atomic_fetch_sub_8
00007ff800187b5c (__TEXT,__text) external ___atomic_fetch_xor_1
00007ff800187bd4 (__TEXT,__text) external ___atomic_fetch_xor_2
00007ff800187c54 (__TEXT,__text) external ___atomic_fetch_xor_4
00007ff800187cc4 (__TEXT,__text) external ___atomic_fetch_xor_8
00007ff800186cd4 (__TEXT,__text) external ___atomic_is_lock_free
