00007ff943750320 (__DATA,__bss) non-external _AGCPrinter
00007ff9097a92f1 (__TEXT,__text) external _AIRNTClone
00007ff9097a923f (__TEXT,__text) external _AIRNTDispose
00007ff9097a9920 (__TEXT,__text) external _AIRNTDisposeCompilationContext
00007ff9097aa1ea (__TEXT,__text) external _AIRNTEmitAssembly
00007ff9097ad6b2 (__TEXT,__text) external _AIRNTEmitBuiltinExecutableImage
00007ff9097aa308 (__TEXT,__text) external _AIRNTEmitDylibImage
00007ff9097ace2d (__TEXT,__text) external _AIRNTEmitExecutableImage
00007ff9097aa279 (__TEXT,__text) external _AIRNTEmitObject
00007ff9097ae926 (__TEXT,__text) external _AIRNTEmitPipelineImage
00007ff9097b1ca2 (__TEXT,__text) external _AIRNTEmitPipelineImages
00007ff9097a9983 (__TEXT,__text) external _AIRNTGetDefaultArch
00007ff9097a8562 (__TEXT,__text) external _AIRNTGetLLVMVersion
00007ff9097b4b9c (__TEXT,__text) external _AIRNTGetLegalizationPasses
00007ff9097a9995 (__TEXT,__text) external _AIRNTGetSupportedArchs
00007ff9097aa038 (__TEXT,__text) external _AIRNTGetSupportedBitcodeVersion
00007ff9097a9b87 (__TEXT,__text) external _AIRNTGetSupportedImpls
00007ff9097a9976 (__TEXT,__text) external _AIRNTGetVendorName
00007ff9097a9964 (__TEXT,__text) external _AIRNTGetVersion
00007ff9097a856a (__TEXT,__text) external _AIRNTInit
00007ff9097a9385 (__TEXT,__text) external _AIRNTInitCompilationContext
00007ff9097aa043 (__TEXT,__text) external _AIRNTParseCommandLineOptions
00007ff9097a9c4b (__TEXT,__text) external _AIRNTSupportsArch
00007ff9097aa1da (__TEXT,__text) external _AIRNTSupportsEmitBuiltinExecutableImage
00007ff9097aa1d2 (__TEXT,__text) external _AIRNTSupportsEmitExecutableImage
00007ff9097a9d75 (__TEXT,__text) external _AIRNTSupportsTarget
00007ff9097aa1e2 (__TEXT,__text) external _AIRNTSupportsThreads
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFBundleCopyResourceURL (from CoreFoundation)
                 (undefined) external _CFBundleGetBundleWithIdentifier (from CoreFoundation)
                 (undefined) external _CFPreferencesGetAppIntegerValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithBytes (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFURLCopyFileSystemPath (from CoreFoundation)
00007ff9096163d6 (__TEXT,__text) external _GLCompilerBuildRequest
00007ff9096163c8 (__TEXT,__text) external _GLCompilerCreate
00007ff9096163d0 (__TEXT,__text) external _GLCompilerDelete
00007ff9096163de (__TEXT,__text) external _GLCompilerLogBuildRequest
