00007ff8400f6990 (__DATA,__data) external _NDR_record
00007ff801072d94 (__TEXT,__text) non-external __Xexception_raise
00007ff801072e3c (__TEXT,__text) non-external __Xexception_raise_state
00007ff801072f46 (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff80105f820 (__TEXT,__text) external _____sigwait_nocancel
00007ff801089838 (__TEXT,__const) external ____kernelVersionNumber
00007ff801089800 (__TEXT,__const) external ____kernelVersionString
00007ff80105f838 (__TEXT,__text) external ___abort_with_payload
00007ff80105f850 (__TEXT,__text) external ___accept
00007ff80105f868 (__TEXT,__text) external ___accept_nocancel
00007ff80105f880 (__TEXT,__text) external ___access_extended
00007ff80105f898 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff80105f8b0 (__TEXT,__text) external ___bind
00007ff80105f8c8 (__TEXT,__text) external ___bsdthread_create
00007ff80105f8e0 (__TEXT,__text) external ___bsdthread_ctl
00007ff80105f8f8 (__TEXT,__text) external ___bsdthread_register
00007ff80105f910 (__TEXT,__text) external ___bsdthread_terminate
00007ff8010720f2 (__TEXT,__text) external ___carbon_delete
00007ff80105f928 (__TEXT,__text) external ___channel_get_info
00007ff80105f940 (__TEXT,__text) external ___channel_get_opt
00007ff80105f958 (__TEXT,__text) external ___channel_open
00007ff80105f970 (__TEXT,__text) external ___channel_set_opt
00007ff80105f988 (__TEXT,__text) external ___channel_sync
00007ff80105f9a0 (__TEXT,__text) external ___chmod
00007ff80105f9b8 (__TEXT,__text) external ___chmod_extended
00007ff80105f9d0 (__TEXT,__text) external ___close_nocancel
00007ff80105f9e8 (__TEXT,__text) external ___coalition
00007ff80105fa00 (__TEXT,__text) external ___coalition_info
00007ff80105fa18 (__TEXT,__text) external ___coalition_ledger
00007ff80106504f (__TEXT,__text) external ___commpage_gettimeofday
00007ff801065056 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff80105fa30 (__TEXT,__text) external ___connect
00007ff80105fa48 (__TEXT,__text) external ___connect_nocancel
00007ff80105fa60 (__TEXT,__text) external ___copyfile
00007ff80105fa78 (__TEXT,__text) external ___crossarch_trap
00007ff80105fa90 (__TEXT,__text) external ___csrctl
00007ff80106a730 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff80105faa8 (__TEXT,__text) external ___debug_syscall_reject
00007ff80105fac0 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff80105fad8 (__TEXT,__text) external ___delete
00007ff80105faf0 (__TEXT,__text) external ___disable_threadsignal
00007ff801065756 (__TEXT,__text) external ___error
00007ff80105fb08 (__TEXT,__text) external ___execve
00007ff80105fb20 (__TEXT,__text) external ___exit
00007ff80105fb38 (__TEXT,__text) external ___fchmod
00007ff80105fb50 (__TEXT,__text) external ___fchmod_extended
00007ff80105fb68 (__TEXT,__text) external ___fcntl
00007ff80105fb80 (__TEXT,__text) external ___fcntl_nocancel
00007ff80105fb98 (__TEXT,__text) external ___fork
00007ff80105fbd0 (__TEXT,__text) external ___fs_snapshot
00007ff80105fbe8 (__TEXT,__text) external ___fstat64_extended
00007ff80105fc00 (__TEXT,__text) external ___fstat_extended
00007ff80105fc18 (__TEXT,__text) external ___fsync_nocancel
00007ff80106fcc8 (__TEXT,__text) external ___get_remove_counter
00007ff80105fc30 (__TEXT,__text) external ___getattrlist
00007ff80105fc48 (__TEXT,__text) external ___getdirentries64
00007ff80105fc60 (__TEXT,__text) external ___gethostuuid
00007ff80105fc78 (__TEXT,__text) external ___getlogin
00007ff80105fc90 (__TEXT,__text) external ___getpeername
00007ff80105fca8 (__TEXT,__text) external ___getpid
00007ff80105fcdc (__TEXT,__text) external ___getrlimit
00007ff80105fcf4 (__TEXT,__text) external ___getsgroups
00007ff80105fd0c (__TEXT,__text) external ___getsockname
00007ff80105fd24 (__TEXT,__text) external ___gettid
00007ff80105fd51 (__TEXT,__text) external ___gettimeofday
00007ff80105fd3c (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff80105fd7c (__TEXT,__text) external ___getwgroups
00007ff80105fd94 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff80105fdac (__TEXT,__text) external ___guarded_open_np
00007ff80105fdc4 (__TEXT,__text) external ___identitysvc
00007ff80106fcd3 (__TEXT,__text) external ___inc_remove_counter
00007ff80105fddc (__TEXT,__text) external ___initgroups
00007ff80105fdf4 (__TEXT,__text) external ___ioctl
00007ff80105fe0c (__TEXT,__text) external ___iopolicysys
00007ff80105fe24 (__TEXT,__text) external ___kdebug_trace
00007ff80105fe3c (__TEXT,__text) external ___kdebug_trace64
00007ff80105fe54 (__TEXT,__text) external ___kdebug_trace_string
00007ff80105fe6c (__TEXT,__text) external ___kdebug_typefilter
00007ff8010898a8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff801089870 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff80105fe84 (__TEXT,__text) external ___kill
00007ff80105fe9c (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff80105feb4 (__TEXT,__text) external ___lchown
00007ff8010624ae (__TEXT,__text) external ___libkernel_init
00007ff8010624e1 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff8010624e0 (__TEXT,__text) external ___libkernel_init_late
00007ff80106233b (__TEXT,__text) external ___libkernel_platform_init
00007ff801062362 (__TEXT,__text) external ___libkernel_voucher_init
00007ff80105fecc (__TEXT,__text) external ___listen
00007ff80105fee4 (__TEXT,__text) external ___log_data
00007ff80105fefc (__TEXT,__text) external ___lseek
00007ff80105ff14 (__TEXT,__text) external ___lstat64_extended
00007ff80105ff2c (__TEXT,__text) external ___lstat_extended
00007ff80105ff44 (__TEXT,__text) external ___mac_execve
00007ff80105ff5c (__TEXT,__text) external ___mac_get_fd
00007ff80105ff74 (__TEXT,__text) external ___mac_get_file
00007ff80105ff8c (__TEXT,__text) external ___mac_get_link
00007ff80105ffa4 (__TEXT,__text) external ___mac_get_mount
00007ff80105ffbc (__TEXT,__text) external ___mac_get_pid
00007ff80105ffd4 (__TEXT,__text) external ___mac_get_proc
00007ff80105ffec (__TEXT,__text) external ___mac_getfsstat
00007ff801060004 (__TEXT,__text) external ___mac_mount
00007ff80106001c (__TEXT,__text) external ___mac_set_fd
00007ff801060034 (__TEXT,__text) external ___mac_set_file
00007ff80106004c (__TEXT,__text) external ___mac_set_link
00007ff801060064 (__TEXT,__text) external ___mac_set_proc
00007ff80106007c (__TEXT,__text) external ___mac_syscall
00007ff801060094 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff8010600ac (__TEXT,__text) external ___mach_eventlink_signal
00007ff8010600c4 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff8010600dc (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff8010600f4 (__TEXT,__text) external ___map_with_linking_np
00007ff80106010c (__TEXT,__text) external ___memorystatus_available_memory
00007ff801060124 (__TEXT,__text) external ___microstackshot
00007ff80106013c (__TEXT,__text) external ___mkdir_extended
00007ff801060154 (__TEXT,__text) external ___mkfifo_extended
00007ff80106016c (__TEXT,__text) external ___mmap
00007ff801060184 (__TEXT,__text) external ___mprotect
00007ff80106019c (__TEXT,__text) external ___msgctl
00007ff8010601b4 (__TEXT,__text) external ___msgrcv_nocancel
00007ff8010601cc (__TEXT,__text) external ___msgsnd_nocancel
00007ff8010601e4 (__TEXT,__text) external ___msgsys
00007ff8010601fc (__TEXT,__text) external ___msync
00007ff801060214 (__TEXT,__text) external ___msync_nocancel
00007ff80106022c (__TEXT,__text) external ___munmap
00007ff801060244 (__TEXT,__text) external ___nexus_create
00007ff80106025c (__TEXT,__text) external ___nexus_deregister
00007ff801060274 (__TEXT,__text) external ___nexus_destroy
00007ff80106028c (__TEXT,__text) external ___nexus_get_opt
00007ff8010602a4 (__TEXT,__text) external ___nexus_open
00007ff8010602bc (__TEXT,__text) external ___nexus_register
00007ff8010602d4 (__TEXT,__text) external ___nexus_set_opt
00007ff8010602ec (__TEXT,__text) external ___open
00007ff801060304 (__TEXT,__text) external ___open_dprotected_np
00007ff80106031c (__TEXT,__text) external ___open_extended
00007ff801060334 (__TEXT,__text) external ___open_nocancel
00007ff80106034c (__TEXT,__text) external ___openat
00007ff801060364 (__TEXT,__text) external ___openat_dprotected_np
00007ff80106037c (__TEXT,__text) external ___openat_nocancel
00007ff8400f6b08 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00007ff80106f383 (__TEXT,__text) non-external ___os_nexus_config_flow
00007ff80106f225 (__TEXT,__text) external ___os_nexus_flow_add
00007ff80106f298 (__TEXT,__text) external ___os_nexus_flow_del
00007ff80106f3f1 (__TEXT,__text) external ___os_nexus_get_llink_info
00007ff80106f04b (__TEXT,__text) external ___os_nexus_ifattach
00007ff80106f15c (__TEXT,__text) external ___os_nexus_ifdetach
00007ff801060394 (__TEXT,__text) external ___oslog_coproc
00007ff8010603ac (__TEXT,__text) external ___oslog_coproc_reg
00007ff8010603c4 (__TEXT,__text) external ___persona
00007ff8010603dc (__TEXT,__text) external ___pipe
00007ff8010603f8 (__TEXT,__text) external ___poll_nocancel
00007ff801060410 (__TEXT,__text) external ___posix_spawn
00007ff801060428 (__TEXT,__text) external ___pread_nocancel
00007ff801060440 (__TEXT,__text) external ___preadv_nocancel
00007ff801060458 (__TEXT,__text) external ___proc_info
00007ff801060470 (__TEXT,__text) external ___proc_info_extended_id
00007ff801060488 (__TEXT,__text) external ___process_policy
00007ff8010604a0 (__TEXT,__text) external ___pselect
