                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018c21be40 (__TEXT,__text) non-external _au_assemble
000000018c21d63c (__TEXT,__text) external _au_bsm_to_domain
000000018c229c2c (__TEXT,__text) external _au_bsm_to_errno
000000018c229d00 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
000000018c2258f0 (__TEXT,__text) external _au_bsm_to_socket_type
000000018c21c0d4 (__TEXT,__text) external _au_close
000000018c21c1a4 (__TEXT,__text) external _au_close_buffer
000000018c21c288 (__TEXT,__text) external _au_close_token
000000018c21bd58 (__TEXT,__text) external _au_close_with_errors
00000001d5c3dadc (__DATA,__bss) non-external _au_cond
000000018c21d604 (__TEXT,__text) external _au_domain_to_bsm
000000018c229bf0 (__TEXT,__text) external _au_errno_to_bsm
000000018c229cc8 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
000000018c21b8e0 (__TEXT,__text) external _au_fetch_tok
000000018c21bb30 (__TEXT,__text) external _au_free_token
000000018c2257a8 (__TEXT,__text) external _au_get_state
000000018c2256c4 (__TEXT,__text) external _au_notify_initialize
000000018c225780 (__TEXT,__text) external _au_notify_terminate
000000018c21bb78 (__TEXT,__text) external _au_open
00000001d39bc508 (__DATA_CONST,__const) non-external _au_polstr
000000018c21c740 (__TEXT,__text) external _au_poltostr
000000018c2254a4 (__TEXT,__text) external _au_preselect
000000018c21feb4 (__TEXT,__text) external _au_print_flags_tok
000000018c224544 (__TEXT,__text) external _au_print_tok
000000018c22455c (__TEXT,__text) external _au_print_tok_xml
000000018c21df6c (__TEXT,__text) external _au_print_xml_footer
000000018c21df10 (__TEXT,__text) external _au_print_xml_header
000000018c224578 (__TEXT,__text) external _au_read_rec
000000018c229ba4 (__TEXT,__text) external _au_sdev_close
000000018c229be8 (__TEXT,__text) external _au_sdev_fd
000000018c21b498 (__TEXT,__text) external _au_sdev_open
000000018c21b56c (__TEXT,__text) external _au_sdev_read_aia
00000001d39bc5f8 (__DATA_CONST,__const) non-external _au_sflagsstr
000000018c21c900 (__TEXT,__text) external _au_sflagstostr
000000018c2258b8 (__TEXT,__text) external _au_socket_type_to_bsm
000000018c21cfd0 (__TEXT,__text) non-external _au_spacetobytes
000000018c229c78 (__TEXT,__text) external _au_strerror
000000018c21c818 (__TEXT,__text) external _au_strtopol
000000018c21c9d8 (__TEXT,__text) external _au_strtosflags
000000018c21c018 (__TEXT,__text) non-external _au_teardown
000000018c225ad8 (__TEXT,__text) external _au_to_arg
000000018c2258f8 (__TEXT,__text) external _au_to_arg32
000000018c2259d8 (__TEXT,__text) external _au_to_arg64
000000018c227910 (__TEXT,__text) external _au_to_certificate_hash
000000018c225adc (__TEXT,__text) external _au_to_data
000000018c2277e8 (__TEXT,__text) external _au_to_exec_args
000000018c227908 (__TEXT,__text) external _au_to_exec_env
000000018c225bbc (__TEXT,__text) external _au_to_exit
000000018c2260f0 (__TEXT,__text) external _au_to_file
000000018c225c64 (__TEXT,__text) external _au_to_groups
000000018c2280cc (__TEXT,__text) external _au_to_header
000000018c227fbc (__TEXT,__text) external _au_to_header32
000000018c227f08 (__TEXT,__text) external _au_to_header32_ex
000000018c227c4c (__TEXT,__text) external _au_to_header32_ex_tm
000000018c227b3c (__TEXT,__text) external _au_to_header32_tm
000000018c228044 (__TEXT,__text) external _au_to_header64
000000018c227dd4 (__TEXT,__text) external _au_to_header64_tm
