000000025a1a26e4 (__TEXT,__text) external _AAAFSCGetMetadata
000000025a1a2aac (__TEXT,__text) external _AAAFSCSetMetadata
000000025a1a1afc (__TEXT,__text) external _AAAFSCStreamOpen
000000025a1a21ec (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
000000025a1a2328 (__TEXT,__text) external _AAAFSCStreamOpenWithState
000000025a12f848 (__TEXT,__text) external _AAArchiveStreamCancel
000000025a12f7f4 (__TEXT,__text) external _AAArchiveStreamClose
000000025a1449a4 (__TEXT,__text) external _AAArchiveStreamProcess
000000025a12f7a4 (__TEXT,__text) external _AAArchiveStreamReadBlob
000000025a12f78c (__TEXT,__text) external _AAArchiveStreamReadHeader
000000025a12f7d8 (__TEXT,__text) external _AAArchiveStreamWriteBlob
000000025a12f7c0 (__TEXT,__text) external _AAArchiveStreamWriteHeader
000000025a130c1c (__TEXT,__text) external _AAArchiveStreamWritePathList
000000025a1343c4 (__TEXT,__text) external _AAAssetBuilderAddFilter
000000025a1342e4 (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
000000025a134230 (__TEXT,__text) external _AAAssetBuilderCreate
000000025a1342d8 (__TEXT,__text) external _AAAssetBuilderDestroy
000000025a197d98 (__TEXT,__text) external _AAAssetBuilderGenerate
000000025a13449c (__TEXT,__text) external _AAAssetBuilderGetParameter
000000025a1343cc (__TEXT,__text) external _AAAssetBuilderSetParameter
000000025a134ac4 (__TEXT,__text) external _AAAssetExtractorCreate
000000025a134fec (__TEXT,__text) external _AAAssetExtractorDestroy
000000025a1359dc (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
000000025a135950 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
000000025a1354a8 (__TEXT,__text) external _AAAssetExtractorWrite
000000025a1aa03c (__TEXT,__text) external _AAAsyncByteStreamCancel
000000025a1aa050 (__TEXT,__text) external _AAAsyncByteStreamClose
000000025a1a9a54 (__TEXT,__text) external _AAAsyncByteStreamGetRange
000000025a1a9ea4 (__TEXT,__text) external _AAAsyncByteStreamProcess
000000025a16454c (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
000000025a145a04 (__TEXT,__text) external _AAByteRangeAdd
000000025a1458f8 (__TEXT,__text) external _AAByteRangeClone
000000025a145830 (__TEXT,__text) external _AAByteRangeCreate
000000025a1458b4 (__TEXT,__text) external _AAByteRangeDestroy
