00007ff802a613fd (__TEXT,__text) external _NSAddImage
00007ff802a613c7 (__TEXT,__text) external _NSAddLibrary
00007ff802a613e2 (__TEXT,__text) external _NSAddLibraryWithSearching
00007ff802a5c5bf (__TEXT,__text) external _NSAddressOfSymbol
00007ff802a611b6 (__TEXT,__text) external _NSCreateObjectFileImageFromFile
00007ff802a5c53c (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
00007ff802a611d4 (__TEXT,__text) external _NSDestroyObjectFileImage
00007ff802a5c57d (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
00007ff802a613b3 (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
00007ff802a6123f (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
00007ff802a612b0 (__TEXT,__text) external _NSIsSymbolNameDefined
00007ff802a612e9 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
00007ff802a612cb (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
00007ff802a61278 (__TEXT,__text) external _NSLibraryNameForModule
00007ff802a6138f (__TEXT,__text) external _NSLinkEditError
00007ff802a5c55d (__TEXT,__text) external _NSLinkModule
00007ff802a61307 (__TEXT,__text) external _NSLookupAndBindSymbol
00007ff802a61322 (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
00007ff802a61340 (__TEXT,__text) external _NSLookupSymbolInImage
00007ff802a5c5a1 (__TEXT,__text) external _NSLookupSymbolInModule
00007ff802a61374 (__TEXT,__text) external _NSModuleForSymbol
00007ff802a6125d (__TEXT,__text) external _NSNameOfModule
00007ff802a61360 (__TEXT,__text) external _NSNameOfSymbol
00007ff802a611ef (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
00007ff802a61203 (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
00007ff802a61217 (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
00007ff802a6122b (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
00007ff802a61293 (__TEXT,__text) external _NSUnLinkModule
00007ff802a5bf92 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
00007ff802a5c014 (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00007ff8436aef30 (__DATA_DIRTY,__common) external _NXArgc
00007ff8436aef38 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00007ff802a5bdce (__TEXT,__text) external __NSGetExecutablePath
00007ff802a5dea5 (__TEXT,__text) non-external (was a private external) __Z16withRemoteBufferjymbPiU13block_pointerFvPvmE
00007ff802a73210 (__TEXT,__text) non-external (was a private external) __Z28macho_best_slice_fd_internaliN6mach_o8PlatformERKNS_19GradedArchitecturesES3_bU13block_pointerFvPK11mach_headerymE
00007ff802a5c5f6 (__TEXT,__text) non-external (was a private external) __Z32dyldFrameworkIntrospectionVtablev
00007ff802a82ad5 (__TEXT,__text) non-external __Z32dyldFrameworkIntrospectionVtablev.cold.1
00007ff802a6117f (__TEXT,__text) non-external (was a private external) __Z43_dyld_make_delayed_module_initializer_callsv
00007ff802a61c1f (__TEXT,__text) non-external (was a private external) __Z6crc32cNSt3__14spanISt4byteLm18446744073709551615EEE
00007ff802a83ea8 (__TEXT,__const) non-external __ZL14sCRC32cSWTable
00007ff843860930 (__DATA,__bss) non-external __ZL18sCrashReporterInfo
00007ff802a73e1f (__TEXT,__text) non-external __ZL22exportSymbolAttrStringRKN6mach_o6SymbolE
00007ff802a7393c (__TEXT,__text) non-external __ZL22iterateExportedSymbolsRKN6mach_o5ImageEU13block_pointerFvPKcS4_PbE
00007ff802a73764 (__TEXT,__text) non-external __ZL22iterateImportedSymbolsRKN6mach_o5ImageEU13block_pointerFvPKcS4_bPbE
00007ff802a73c02 (__TEXT,__text) non-external __ZL7hasFilePKc
00007ff84005a890 (__DATA_CONST,__helper) non-external __ZL8sHelpers
00007ff802a5e205 (__TEXT,__text) non-external __ZL9checkPathPKcyj
00007ff802a5bca4 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics10clearErrorEv
00007ff802a61d7e (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics11appendErrorEPKcz
00007ff802a82d9f (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.1
00007ff802a82dc2 (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.2
00007ff802a82de5 (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.3
00007ff802a82e08 (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.4
00007ff802a61c6a (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKc12va_list_wrap
00007ff802a82d13 (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.1
00007ff802a82d36 (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.2
00007ff802a82d59 (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.3
00007ff802a82d7c (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.4
00007ff802a5c2bc (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcz
00007ff802a61c5e (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1Ev
00007ff802a5bca4 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsD1Ev
00007ff802a5ddae (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer3mapEjym
00007ff802a5dd2c (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer6createEjymb
00007ff802a5dd18 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferC1Ev
00007ff802a5de90 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferD1Ev
00007ff802a65411 (__TEXT,__text) non-external __ZN12_GLOBAL__N_113cacheFilePeekEiPh
00007ff802a61f9a (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache11mappingNameEjy
00007ff802a624ca (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache14isSubCachePathEPKc
00007ff802a72074 (__TEXT,__text) non-external (was a private external) __ZN16SafeRemoteBuffer4dataEv
00007ff802a7200c (__TEXT,__text) non-external (was a private external) __ZN16SafeRemoteBufferC1EjyyPi
00007ff802a72056 (__TEXT,__text) non-external (was a private external) __ZN16SafeRemoteBufferD1Ev
00007ff802a5e5e4 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base12addDyldImageEjyyPKc
