00007ffb14958923 (__TEXT,__text) external _EXDisplayPipeClose
00007ffb14958b64 (__TEXT,__text) external _EXDisplayPipeGetStatus
00007ffb14958a74 (__TEXT,__text) external _EXDisplayPipeHideIndicator
00007ffb14958839 (__TEXT,__text) external _EXDisplayPipeOpen
00007ffb14958cc7 (__TEXT,__text) external _EXDisplayPipeSetALSSEnable
00007ffb14958af6 (__TEXT,__text) external _EXDisplayPipeSetIndicators
00007ffb14958bdf (__TEXT,__text) external _EXDisplayPipeSetLogLevel
00007ffb14958c53 (__TEXT,__text) external _EXDisplayPipeSetLogMask
00007ffb14958970 (__TEXT,__text) external _EXDisplayPipeSetPower
00007ffb149589f2 (__TEXT,__text) external _EXDisplayPipeShowIndicator
00007ffb14958db8 (__TEXT,__const) external _EXDisplayPipeVersionNumber
00007ffb14958d80 (__TEXT,__const) external _EXDisplayPipeVersionString
                 (undefined) external _IOConnectCallMethod (from IOKit)
                 (undefined) external _IOMainPort (from IOKit)
                 (undefined) external _IOServiceClose (from IOKit)
                 (undefined) external _IOServiceGetMatchingService (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
                 (undefined) external _IOServiceOpen (from IOKit)
                 (undefined) external _free (from libSystem)
                 (undefined) external _kIOMainPortDefault (from IOKit)
                 (undefined) external _mach_task_self_ (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _printf (from libSystem)
                 (undefined) external _puts (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
