000000027065a188 (__DATA,__bss) non-external _A
0000000271b10548 (__AUTH,__data) non-external (was a private external) _CMARK_ARENA_MEM_ALLOCATOR
0000000271b10530 (__AUTH,__data) non-external (was a private external) _CMARK_DEFAULT_MEM_ALLOCATOR
0000000270659e10 (__DATA,__data) external _CMARK_NODE_LAST_BLOCK
0000000270659e14 (__DATA,__data) external _CMARK_NODE_LAST_INLINE
000000027065a190 (__DATA,__common) external _CMARK_NODE_STRIKETHROUGH
000000027065a198 (__DATA,__common) external _CMARK_NODE_TABLE
000000027065a1a0 (__DATA,__common) external _CMARK_NODE_TABLE_CELL
000000027065a19c (__DATA,__common) external _CMARK_NODE_TABLE_ROW
000000027065a140 (__DATA,__bss) non-external _CMARK_NODE__TABLE_VISITED
000000025a545b70 (__TEXT,__const) non-external _HREF_SAFE
000000026ba1de48 (__DATA_CONST,__const) non-external _HTML_ESCAPES
000000025a543f43 (__TEXT,__const) non-external _HTML_ESCAPE_TABLE
000000025a545a70 (__TEXT,__const) non-external _SMART_PUNCT_CHARS
000000025a5395f4 (__TEXT,__text) non-external _S_advance_offset
000000025a529dac (__TEXT,__text) non-external _S_blankline
000000025a53a110 (__TEXT,__text) non-external _S_can_contain
000000025a529d90 (__TEXT,__text) non-external _S_cr
000000025a53969c (__TEXT,__text) non-external _S_find_first_nonspace
000000025a52c1c8 (__TEXT,__text) non-external _S_get_enumlevel
000000025a53a050 (__TEXT,__text) non-external _S_node_unlink
000000025a529dc4 (__TEXT,__text) non-external _S_out
000000025a528258 (__TEXT,__text) non-external _S_outc
000000025a537b0c (__TEXT,__text) non-external _S_parser_feed
000000025a545a58 (__TEXT,__const) non-external _S_parser_feed.repl
000000025a53b784 (__TEXT,__text) non-external _S_print_error
000000025a538290 (__TEXT,__text) non-external _S_process_line
000000025a5432c0 (__TEXT,__text) non-external _S_process_line.cold.1
000000025a5432c0 (__TEXT,__text) non-external _S_process_line.cold.2
000000025a5432ec (__TEXT,__text) non-external _S_process_line.cold.3
000000025a543318 (__TEXT,__text) non-external _S_process_line.cold.4
000000025a543344 (__TEXT,__text) non-external _S_process_line.cold.5
000000025a5279a0 (__TEXT,__text) non-external _S_put_footnote_backref
000000025a525a88 (__TEXT,__text) non-external _S_render_node
000000025a528380 (__TEXT,__text) non-external _S_render_node
000000025a52b94c (__TEXT,__text) non-external _S_render_node
000000025a540034 (__TEXT,__text) non-external _S_render_node
000000025a542fc4 (__TEXT,__text) non-external _S_render_node.cold.1
000000025a54307c (__TEXT,__text) non-external _S_render_node.cold.1
000000025a543158 (__TEXT,__text) non-external _S_render_node.cold.1
000000025a543504 (__TEXT,__text) non-external _S_render_node.cold.1
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
