00000001000fa1f4 (__TEXT,__text) external _ConvertUTF16toUTF8
                 (undefined) external __DefaultRuneLocale (from libSystem)
0000000100011f44 (__TEXT,__text) non-external __GLOBAL__sub_I_BitcodeWriter.cpp
00000001000f8dac (__TEXT,__text) non-external __GLOBAL__sub_I_CommandLine.cpp
000000010004c750 (__TEXT,__text) non-external __GLOBAL__sub_I_DependenceAnalysis.cpp
00000001000838e0 (__TEXT,__text) non-external __GLOBAL__sub_I_Dominators.cpp
00000001000cbc58 (__TEXT,__text) non-external __GLOBAL__sub_I_LegacyPassManager.cpp
000000010004c800 (__TEXT,__text) non-external __GLOBAL__sub_I_LoopInfo.cpp
000000010010cf24 (__TEXT,__text) non-external __GLOBAL__sub_I_Process.cpp
000000010004c8ac (__TEXT,__text) non-external __GLOBAL__sub_I_ScalarEvolution.cpp
000000010010def0 (__TEXT,__text) non-external __GLOBAL__sub_I_Signals.cpp
000000010004b9ec (__TEXT,__text) non-external __GLOBAL__sub_I_SimplifyCFG.cpp
0000000100107fa0 (__TEXT,__text) non-external __GLOBAL__sub_I_Timer.cpp
00000001000e3dc8 (__TEXT,__text) non-external __GLOBAL__sub_I_Verifier.cpp
00000001000045c4 (__TEXT,__text) non-external __GLOBAL__sub_I_llvm_link.cpp
000000010014c060 (__DATA,__bss) non-external __MergedGlobals
000000010014c368 (__DATA,__bss) non-external __MergedGlobals
000000010014c378 (__DATA,__bss) non-external __MergedGlobals
000000010014c578 (__DATA,__bss) non-external __MergedGlobals
000000010014c5e8 (__DATA,__bss) non-external __MergedGlobals
000000010014c6b0 (__DATA,__bss) non-external __MergedGlobals
000000010014c720 (__DATA,__bss) non-external __MergedGlobals
000000010014c760 (__DATA,__bss) non-external __MergedGlobals
000000010014ceb8 (__DATA,__bss) non-external __MergedGlobals
000000010014d220 (__DATA,__bss) non-external __MergedGlobals
000000010014d238 (__DATA,__bss) non-external __MergedGlobals
000000010014d288 (__DATA,__bss) non-external __MergedGlobals
000000010014d3d0 (__DATA,__bss) non-external __MergedGlobals
000000010014d490 (__DATA,__bss) non-external __MergedGlobals
000000010014dcb8 (__DATA,__bss) non-external __MergedGlobals
000000010014deb0 (__DATA,__bss) non-external __MergedGlobals
000000010014ded0 (__DATA,__bss) non-external __MergedGlobals
000000010014d260 (__DATA,__bss) non-external __ZGVZN4llvm22EnablePrettyStackTraceEvE17HandlerRegistered
000000010014c008 (__DATA,__data) non-external (was a private external) __ZGVZN4llvm7hashing6detail18get_execution_seedEvE4seed
00000001000660ec (__TEXT,__text) non-external __ZL10IdxComparePN4llvm8ConstantES1_PNS_4TypeE
00000001000fcca8 (__TEXT,__text) non-external __ZL10PrintStackPKN4llvm21PrettyStackTraceEntryERNS_11raw_ostreamE
000000010014d230 (__DATA,__bss) non-external __ZL10StaticList
000000010013bd44 (__TEXT,__const) non-external __ZL10colorcodes
000000010014c510 (__DATA,__bss) non-external __ZL11Delinearize
000000010006234c (__TEXT,__text) non-external __ZL11FoldBitCastPN4llvm8ConstantEPNS_4TypeE
000000010014c010 (__DATA,__data) non-external __ZL11ProgramName
0000000100010630 (__TEXT,__text) non-external __ZL11WriteMDNodePKN4llvm6MDNodeERKNS_15ValueEnumeratorERNS_15BitstreamWriterERNS_15SmallVectorImplIyEE
00000001000050d8 (__TEXT,__text) non-external __ZL11WriteModulePKN4llvm6ModuleERNS_15BitstreamWriterE
00000001001093a8 (__TEXT,__text) non-external __ZL11parseVendorN4llvm9StringRefE
000000010014d268 (__DATA,__bss) non-external __ZL12ActiveTimers
00000001000fcae0 (__TEXT,__text) non-external __ZL12CrashHandlerPv
00000001000108ac (__TEXT,__text) non-external __ZL12WriteUseListPKN4llvm5ValueERKNS_15ValueEnumeratorERNS_15BitstreamWriterE
00000001000f470c (__TEXT,__text) non-external __ZL12printHelpStrN4llvm9StringRefEmm
00000001000bb650 (__TEXT,__text) non-external __ZL13DecodeIITTypeRjN4llvm8ArrayRefIhEERNS0_15SmallVectorImplINS0_9Intrinsic13IITDescriptorEEE
00000001000f3d30 (__TEXT,__text) non-external __ZL13GetOptionInfoRN4llvm15SmallVectorImplIPNS_2cl6OptionEEES5_RNS_9StringMapIS3_NS_15MallocAllocatorEEE
000000010014c748 (__DATA,__bss) non-external __ZL13GlobalContext
000000010004d5bc (__TEXT,__text) non-external __ZL13PrintLLVMNameRN4llvm11raw_ostreamENS_9StringRefE10PrefixType
00000001000f4494 (__TEXT,__text) non-external __ZL13ProvideOptionPN4llvm2cl6OptionENS_9StringRefES3_iPKPKcRi
000000010003dd28 (__TEXT,__text) non-external __ZL13ReadWideAPIntN4llvm8ArrayRefIyEEj
000000010010daf0 (__TEXT,__text) non-external __ZL13SignalHandleri
0000000100022528 (__TEXT,__text) non-external __ZL13UnEscapeLexedRNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEE
0000000100009504 (__TEXT,__text) non-external __ZL13WriteFunctionRKN4llvm8FunctionERNS_15ValueEnumeratorERNS_15BitstreamWriterE
000000010002a948 (__TEXT,__text) non-external __ZL13getTypeStringPN4llvm4TypeE
000000010014d480 (__DATA,__bss) non-external __ZL14DummyTimeValue
00000001000f87b0 (__TEXT,__text) non-external __ZL14OptNameComparePKvS0_
000000010000f1e4 (__TEXT,__text) non-external __ZL14WriteConstantsjjRKN4llvm15ValueEnumeratorERNS_15BitstreamWriterEb
00000001000bbec0 (__TEXT,__text) non-external __ZL15DecodeFixedTypeRN4llvm8ArrayRefINS_9Intrinsic13IITDescriptorEEENS0_IPNS_4TypeEEERNS_11LLVMContextE
000000010014ce20 (__DATA,__bss) non-external __ZL15PassRegistryObj
0000000100076074 (__TEXT,__text) non-external __ZL15fieldIsScopeRefPKN4llvm6MDNodeEj
000000010006196c (__TEXT,__text) non-external __ZL15getFoldedSizeOfPN4llvm4TypeES1_b
00000001000fc13c (__TEXT,__text) non-external __ZL15getOpenFileImpliPKcRN4llvm9OwningPtrINS1_12MemoryBufferEEEyyxbb
0000000100053514 (__TEXT,__text) non-external __ZL16PrintCallingConvjRN4llvm11raw_ostreamE
0000000100011bfc (__TEXT,__text) non-external __ZL16PushValueAndTypePKN4llvm5ValueEjRNS_15SmallVectorImplIjEERNS_15ValueEnumeratorE
000000010001b5b0 (__TEXT,__text) non-external __ZL16copyGVAttributesPN4llvm11GlobalValueEPKS0_
0000000100061b48 (__TEXT,__text) non-external __ZL16getFoldedAlignOfPN4llvm4TypeES1_b
0000000100109cb0 (__TEXT,__text) non-external __ZL16parseEnvironmentN4llvm9StringRefE
000000010014d280 (__DATA,__bss) non-external __ZL17DefaultTimerGroup
000000010000ebcc (__TEXT,__text) non-external __ZL17WriteStringRecordjN4llvm9StringRefEjRNS_15BitstreamWriterE
0000000100061cd0 (__TEXT,__text) non-external __ZL17getFoldedOffsetOfPN4llvm4TypeEPNS_8ConstantES1_b
0000000100050640 (__TEXT,__text) non-external __ZL18PrintEscapedStringN4llvm9StringRefERNS_11raw_ostreamE
000000010010cc54 (__TEXT,__text) non-external __ZL18getElapsedWallTimev
0000000100010a24 (__TEXT,__text) non-external __ZL19bitcodereader_orderPKN4llvm4UserES2_
00000001000ccabc (__TEXT,__text) non-external __ZL19getFunctionForValuePN4llvm5ValueE
0000000100061e90 (__TEXT,__text) non-external __ZL20ExtractConstantBytesPN4llvm8ConstantEjj
0000000100010508 (__TEXT,__text) non-external __ZL20GetEncodedCastOpcodej
0000000100010524 (__TEXT,__text) non-external __ZL20GetOptimizationFlagsPKN4llvm5ValueE
000000010014d248 (__DATA,__bss) non-external __ZL20PrettyStackTraceHead
00000001000604b0 (__TEXT,__text) non-external __ZL20UpgradeSSE41FunctionPN4llvm8FunctionENS_9Intrinsic2IDERS1_
0000000100064df8 (__TEXT,__text) non-external __ZL20evaluateFCmpRelationPN4llvm8ConstantES1_
0000000100064f78 (__TEXT,__text) non-external __ZL20evaluateICmpRelationPN4llvm8ConstantES1_b
0000000100066248 (__TEXT,__text) non-external __ZL20isMaybeZeroSizedTypePN4llvm4TypeE
0000000100138150 (__TEXT,__const) non-external __ZL21IIT_LongEncodingTable
000000010000929c (__TEXT,__text) non-external __ZL21WriteValueSymbolTableRKN4llvm16ValueSymbolTableERKNS_15ValueEnumeratorERNS_15BitstreamWriterE
000000010003e160 (__TEXT,__text) non-external __ZL22GetDecodedBinaryOpcodejPN4llvm4TypeE
00000001000454dc (__TEXT,__text) non-external __ZL22GetDecodedRMWOperationj
0000000100010510 (__TEXT,__text) non-external __ZL22GetEncodedBinaryOpcodej
000000010014ce50 (__DATA,__bss) non-external __ZL24DisableDebugInfoVerifier
00000001000fc4f0 (__TEXT,__text) non-external __ZL24getMemoryBufferForStreamiN4llvm9StringRefERNS_9OwningPtrINS_12MemoryBufferEEE
0000000100067540 (__TEXT,__text) non-external __ZL25removeDeadUsersOfConstantPKN4llvm8ConstantE
00000001000f68f8 (__TEXT,__text) non-external __ZL28CommaSeparateAndAddOccurencePN4llvm2cl6OptionEjNS_9StringRefES3_b
000000010010dae0 (__TEXT,__text) non-external __ZL28PrintStackTraceSignalHandlerPv
000000010014c300 (__DATA,__bss) non-external __ZL29EnablePreserveUseListOrdering
