00007ffa00dfbcb3 (__TEXT,__text) non-external -[OS_axr_data copy]
00007ffa00dfbab7 (__TEXT,__text) non-external -[OS_axr_data dealloc]
00007ffa00dfbb17 (__TEXT,__text) non-external -[OS_axr_data debugDescription]
00007ffa00e9f5e7 (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.1
00007ffa00e9f636 (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.2
00007ffa00e9f685 (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.3
00007ffa00dfbaf2 (__TEXT,__text) non-external -[OS_axr_data description]
00007ffa00dfbce3 (__TEXT,__text) non-external -[OS_axr_data hash]
00007ffa00dfbcbe (__TEXT,__text) non-external -[OS_axr_data isEqual:]
00007ffa00e8ddb8 (__TEXT,__text) non-external -[OS_axr_decoder copy]
00007ffa00e8dd78 (__TEXT,__text) non-external -[OS_axr_decoder dealloc]
00007ffa00e8daf0 (__TEXT,__text) non-external -[OS_axr_decoder debugDescription]
00007ffa00e8dd6b (__TEXT,__text) non-external -[OS_axr_decoder description]
00007ffa00e88265 (__TEXT,__text) non-external -[OS_axr_encoder dealloc]
00007ffa00e88250 (__TEXT,__text) non-external -[OS_axr_encoder debugDescription]
00007ffa00e88258 (__TEXT,__text) non-external -[OS_axr_encoder description]
00007ffa00e86ac6 (__TEXT,__text) non-external -[OS_axr_part dealloc]
00007ffa00e86a03 (__TEXT,__text) non-external -[OS_axr_part debugDescription]
00007ffa00e86ab9 (__TEXT,__text) non-external -[OS_axr_part description]
00007ffa00ec2b48 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00007ffa00ec2b74 (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00007ffa00ec2c4c (__TEXT,__gcc_except_tab) non-external GCC_except_table10
00007ffa00ec2bf8 (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00007ffa00ec2c6c (__TEXT,__gcc_except_tab) non-external GCC_except_table18
00007ffa00ec2c5c (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00007ffa00ec2c98 (__TEXT,__gcc_except_tab) non-external GCC_except_table21
00007ffa00ec2b84 (__TEXT,__gcc_except_tab) non-external GCC_except_table22
00007ffa00ec2b94 (__TEXT,__gcc_except_tab) non-external GCC_except_table25
00007ffa00ec2b64 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00007ffa00ec2bbc (__TEXT,__gcc_except_tab) non-external GCC_except_table35
00007ffa00ec2bd8 (__TEXT,__gcc_except_tab) non-external GCC_except_table36
00007ffa00ec2cc4 (__TEXT,__gcc_except_tab) non-external GCC_except_table45
00007ffa00ec2d30 (__TEXT,__gcc_except_tab) non-external GCC_except_table49
00007ffa00ec2be8 (__TEXT,__gcc_except_tab) non-external GCC_except_table7
00007ffa00ec2c0c (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00007ffa00ec2c24 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00007ffa00e86eb2 (__TEXT,__text) non-external (was a private external) _AXRCreateColorSpace
00007ffa00e9fce0 (__TEXT,__text) non-external _AXRCreateColorSpace.cold.1
00007ffa41bf4058 (__DATA,__bss) non-external _AXRGetLog.log
00007ffa41bf4060 (__DATA,__bss) non-external _AXRGetLog.onceToken
00007ffa00e87eab (__TEXT,__text) non-external (was a private external) _AXRLogDebug
00007ffa00e88006 (__TEXT,__text) non-external (was a private external) _AXRLogError
00007ffa00e87d50 (__TEXT,__text) non-external (was a private external) _AXRLogInfo
00007ffa00e88b66 (__TEXT,__text) non-external (was a private external) _AppleEXRDestinationNotBigEnough
00007ffa00e88b5d (__TEXT,__text) non-external (was a private external) _AppleEXRDestinationNotWritable
00007ffa00e82658 (__TEXT,__text) non-external (was a private external) _ChunkLayout_Print
00007ffa400ab610 (__DATA_CONST,__const) non-external _ChunkLayout_Print.kLayouts
00007ffa00e87d1c (__TEXT,__text) non-external (was a private external) _GetEXRNameForChannelType
00007ffa41bf4148 (__DATA,__common) non-external (was a private external) _GetFlagsOnceToken
00007ffa00e911de (__TEXT,__text) non-external (was a private external) _GetLastByte
00007ffa00e881af (__TEXT,__text) non-external _GetOSLog
00007ffa00e88161 (__TEXT,__text) non-external (was a private external) _InitializeDefaultFlags
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
00007ffa41bf3d28 (__DATA,__objc_data) non-external (was a private external) _OBJC_CLASS_$_OS_axr_data
00007ffa41bf3e18 (__DATA,__objc_data) non-external (was a private external) _OBJC_CLASS_$_OS_axr_decoder
00007ffa41bf3dc8 (__DATA,__objc_data) non-external (was a private external) _OBJC_CLASS_$_OS_axr_encoder
00007ffa41bf3d78 (__DATA,__objc_data) non-external (was a private external) _OBJC_CLASS_$_OS_axr_part
                 (undefined) external _OBJC_CLASS_$_OS_object (from libSystem)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffa41bf3d50 (__DATA,__objc_data) non-external (was a private external) _OBJC_METACLASS_$_OS_axr_data
