                 (undefined) external _DNSServiceCreateConnection (from libsystem_dnssd)
                 (undefined) external _DNSServiceProcessResult (from libsystem_dnssd)
                 (undefined) external _DNSServiceQueryRecordWithAttribute (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefDeallocate (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefSockFD (from libsystem_dnssd)
                 (undefined) external _DarwinDirectoryGetGeneration (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApply (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApplyWithFilter (from libsystem_darwindirectory)
000000018050316c (__TEXT,__text) non-external _LI_get_thread_info
0000000180519030 (__TEXT,__text) external _LI_get_thread_item
000000018050d518 (__TEXT,__text) external _LI_get_thread_list
00000001805025a0 (__TEXT,__text) external _LI_ils_create
0000000180503134 (__TEXT,__text) external _LI_set_thread_item
0000000180507c80 (__TEXT,__text) external _LI_set_thread_list
00000001805155a4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001805155c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180517f50 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001805188ac (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018051a830 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001805155c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001805188ac (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001805188c0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001805205b8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
00000001805205dc (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
00000001805205e8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
0000000180520608 (__TEXT,__text) non-external _OUTLINED_FUNCTION_13
0000000180520614 (__TEXT,__text) non-external _OUTLINED_FUNCTION_14
00000001805155e0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001805188dc (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000180520520 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001805155e0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001805155f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000180520534 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000180520554 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000180520564 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000180520584 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
0000000180520590 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
00000001805205ac (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __DefaultRuneLocale (from libsystem_c)
0000000180504e78 (__TEXT,__text) non-external __LI_data_free
0000000180503304 (__TEXT,__text) non-external __LI_data_init
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
0000000180517424 (__TEXT,__text) non-external ____check_groups_block_invoke
00000001805174d4 (__TEXT,__text) non-external ____check_groups_block_invoke_2
000000018051a39c (__TEXT,__text) non-external ____dd_foreach_record_with_id_block_invoke
000000018052177c (__TEXT,__text) non-external ____dd_foreach_record_with_id_block_invoke
000000018051a470 (__TEXT,__text) non-external ____dd_foreach_record_with_name_block_invoke
00000001805216fc (__TEXT,__text) non-external ____dd_foreach_record_with_name_block_invoke
000000018051a4b0 (__TEXT,__text) non-external ____dd_foreach_record_with_uuid_block_invoke
00000001805217fc (__TEXT,__text) non-external ____dd_foreach_record_with_uuid_block_invoke
000000018051a524 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke
000000018051a580 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.52
000000018051a5dc (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.56
000000018051a638 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.60
000000018051a6e0 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.62
000000018051a788 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.66
0000000180519ffc (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke
000000018051a1ec (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.14
000000018051a244 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.19
000000018051a298 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.23
000000018051a2f0 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.27
000000018051a344 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.31
000000018050da78 (__TEXT,__text) non-external ____ds_list_block_invoke
0000000180511f30 (__TEXT,__text) non-external ____extract_alias_dict_block_invoke
000000018050dda4 (__TEXT,__text) non-external ____extract_fstab_dict_block_invoke
0000000180503b74 (__TEXT,__text) non-external ____extract_group_dict_block_invoke
0000000180511aec (__TEXT,__text) non-external ____extract_netgroup_dict_block_invoke
00000001805122b0 (__TEXT,__text) non-external ____extract_network_dict_block_invoke
0000000180512a14 (__TEXT,__text) non-external ____extract_protocol_dict_block_invoke
0000000180512dd0 (__TEXT,__text) non-external ____extract_rpc_dict_block_invoke
0000000180512644 (__TEXT,__text) non-external ____extract_service_dict_block_invoke
0000000180503da8 (__TEXT,__text) non-external ____extract_string_list_from_xpc_array_block_invoke
0000000180511844 (__TEXT,__text) non-external ____extract_string_list_from_xpc_array_index_block_invoke
0000000180502218 (__TEXT,__text) non-external ____extract_user_dict_block_invoke
000000018050e310 (__TEXT,__text) non-external ____fsi_fs_root_block_invoke
0000000180500b60 (__TEXT,__text) non-external ____mbr_xpc_pipe_block_invoke
0000000180501ca0 (__TEXT,__text) non-external ____od_xpc_pipe_block_invoke
                 (undefined) external ___assert_rtn (from libsystem_c)
00000001e55cd0e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e55cd108 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e55cd188 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e55cd220 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e55cd260 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e55cd280 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e55cd340 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e55cd5a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001ed981080 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001ed9813f0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.10
00000001ed980b28 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.105
00000001ed980b58 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.116
00000001e55cd128 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00000001ed980b88 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.126
00000001ed981420 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.13
00000001ed980bb8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.140
00000001ed981450 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16
00000001ed9810b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.17
00000001ed981480 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.17
00000001ed9814b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.20
00000001ed9810e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.22
00000001ed9814e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.23
00000001e55cd240 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.25
00000001ed981110 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.26
00000001ed981510 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.27
00000001ed981390 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.3
00000001ed981140 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.30
00000001ed981540 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.30
00000001ed981570 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.33
00000001ed981170 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.34
00000001ed9815a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.34
00000001ed980a08 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.36
00000001ed9811a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.36
00000001e55cd1a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.38
