                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
0000000246a55c3c (__TEXT,__text) external __crypt_blowfish_rn
0000000246a57fd0 (__TEXT,__text) external __crypt_gensalt_blowfish_rn
0000000246a55be8 (__TEXT,__text) external __crypt_output_magic
                 (undefined) external _abort (from libSystem)
                 (undefined) external _apr_allocator_alloc (from libapr-1)
                 (undefined) external _apr_allocator_free (from libapr-1)
                 (undefined) external _apr_array_make (from libapr-1)
                 (undefined) external _apr_array_push (from libapr-1)
                 (undefined) external _apr_atoi64 (from libapr-1)
                 (undefined) external _apr_atomic_dec32 (from libapr-1)
                 (undefined) external _apr_atomic_inc32 (from libapr-1)
                 (undefined) external _apr_atomic_read32 (from libapr-1)
                 (undefined) external _apr_atomic_set32 (from libapr-1)
0000000246a5a9f4 (__TEXT,__text) external _apr_base64_decode
0000000246a5aa1c (__TEXT,__text) external _apr_base64_decode_binary
0000000246a5a9b0 (__TEXT,__text) external _apr_base64_decode_len
0000000246a5ab74 (__TEXT,__text) external _apr_base64_encode
0000000246a5ab78 (__TEXT,__text) external _apr_base64_encode_binary
0000000246a5ab4c (__TEXT,__text) external _apr_base64_encode_len
0000000246a54b44 (__TEXT,__text) external _apr_bcrypt_encode
0000000246a50708 (__TEXT,__text) external _apr_brigade_cleanup
0000000246a507dc (__TEXT,__text) external _apr_brigade_create
0000000246a50778 (__TEXT,__text) external _apr_brigade_destroy
0000000246a50b24 (__TEXT,__text) external _apr_brigade_flatten
0000000246a51678 (__TEXT,__text) external _apr_brigade_insert_file
0000000246a50a70 (__TEXT,__text) external _apr_brigade_length
0000000246a50958 (__TEXT,__text) external _apr_brigade_partition
0000000246a50bfc (__TEXT,__text) external _apr_brigade_pflatten
0000000246a51518 (__TEXT,__text) external _apr_brigade_printf
0000000246a51460 (__TEXT,__text) external _apr_brigade_putc
0000000246a5148c (__TEXT,__text) external _apr_brigade_puts
0000000246a514ec (__TEXT,__text) external _apr_brigade_putstrs
0000000246a50950 (__TEXT,__text) external _apr_brigade_split
0000000246a50858 (__TEXT,__text) external _apr_brigade_split_ex
0000000246a50c78 (__TEXT,__text) external _apr_brigade_split_line
0000000246a50fbc (__TEXT,__text) external _apr_brigade_to_iovec
0000000246a51544 (__TEXT,__text) external _apr_brigade_vprintf
0000000246a51068 (__TEXT,__text) external _apr_brigade_vputstrs
0000000246a50e08 (__TEXT,__text) external _apr_brigade_write
0000000246a51164 (__TEXT,__text) external _apr_brigade_writev
0000000246a5184c (__TEXT,__text) external _apr_bucket_alloc
0000000246a51700 (__TEXT,__text) external _apr_bucket_alloc_create
0000000246a51788 (__TEXT,__text) external _apr_bucket_alloc_create_ex
0000000246a517f4 (__TEXT,__text) external _apr_bucket_alloc_destroy
0000000246a516f0 (__TEXT,__text) external _apr_bucket_copy_notimpl
0000000246a516fc (__TEXT,__text) external _apr_bucket_destroy_noop
0000000246a51944 (__TEXT,__text) external _apr_bucket_eos_create
0000000246a51930 (__TEXT,__text) external _apr_bucket_eos_make
0000000246a51a20 (__TEXT,__text) external _apr_bucket_file_create
0000000246a51ac0 (__TEXT,__text) external _apr_bucket_file_enable_mmap
0000000246a519a8 (__TEXT,__text) external _apr_bucket_file_make
0000000246a51e1c (__TEXT,__text) external _apr_bucket_flush_create
0000000246a51e08 (__TEXT,__text) external _apr_bucket_flush_make
0000000246a51900 (__TEXT,__text) external _apr_bucket_free
0000000246a51f40 (__TEXT,__text) external _apr_bucket_heap_create
0000000246a51e80 (__TEXT,__text) external _apr_bucket_heap_make
0000000246a528b8 (__TEXT,__text) external _apr_bucket_immortal_create
0000000246a528a4 (__TEXT,__text) external _apr_bucket_immortal_make
0000000246a520d0 (__TEXT,__text) external _apr_bucket_mmap_create
0000000246a52028 (__TEXT,__text) external _apr_bucket_mmap_make
0000000246a522d0 (__TEXT,__text) external _apr_bucket_pipe_create
0000000246a522b8 (__TEXT,__text) external _apr_bucket_pipe_make
0000000246a525d4 (__TEXT,__text) external _apr_bucket_pool_create
0000000246a524d0 (__TEXT,__text) external _apr_bucket_pool_make
0000000246a516d0 (__TEXT,__text) external _apr_bucket_setaside_noop
0000000246a516d8 (__TEXT,__text) external _apr_bucket_setaside_notimpl
0000000246a52758 (__TEXT,__text) external _apr_bucket_shared_copy
0000000246a5278c (__TEXT,__text) external _apr_bucket_shared_destroy
0000000246a527a0 (__TEXT,__text) external _apr_bucket_shared_make
0000000246a52724 (__TEXT,__text) external _apr_bucket_shared_split
0000000246a527b4 (__TEXT,__text) external _apr_bucket_simple_copy
0000000246a5280c (__TEXT,__text) external _apr_bucket_simple_split
0000000246a529fc (__TEXT,__text) external _apr_bucket_socket_create
0000000246a529e4 (__TEXT,__text) external _apr_bucket_socket_make
0000000246a516e4 (__TEXT,__text) external _apr_bucket_split_notimpl
0000000246a52930 (__TEXT,__text) external _apr_bucket_transient_create
0000000246a5291c (__TEXT,__text) external _apr_bucket_transient_make
000000025dc0d508 (__AUTH_CONST,__const) external _apr_bucket_type_eos
000000025dc0d540 (__AUTH_CONST,__const) external _apr_bucket_type_file
000000025dc0d578 (__AUTH_CONST,__const) external _apr_bucket_type_flush
000000025dc0d5b0 (__AUTH_CONST,__const) external _apr_bucket_type_heap
000000025dc0d690 (__AUTH_CONST,__const) external _apr_bucket_type_immortal
000000025dc0d5e8 (__AUTH_CONST,__const) external _apr_bucket_type_mmap
000000025dc0d620 (__AUTH_CONST,__const) external _apr_bucket_type_pipe
000000025dc0d658 (__AUTH_CONST,__const) external _apr_bucket_type_pool
000000025dc0d700 (__AUTH_CONST,__const) external _apr_bucket_type_socket
000000025dc0d6c8 (__AUTH_CONST,__const) external _apr_bucket_type_transient
                 (undefined) external _apr_cpystrn (from libapr-1)
0000000257f33250 (__DATA,__common) external _apr_current_hooking_module
0000000246a5e17c (__TEXT,__text) external _apr_date_checkmask
0000000246a5e2c8 (__TEXT,__text) external _apr_date_parse_http
0000000246a5e684 (__TEXT,__text) external _apr_date_parse_rfc
0000000246a588e8 (__TEXT,__text) external _apr_dbd_check_conn
0000000246a58908 (__TEXT,__text) external _apr_dbd_close
0000000246a590b8 (__TEXT,__text) external _apr_dbd_datum_get
