00007ffe06204320 (__TEXT,__text) external _AAAFSCGetMetadata
00007ffe0620469d (__TEXT,__text) external _AAAFSCSetMetadata
00007ffe06203748 (__TEXT,__text) external _AAAFSCStreamOpen
00007ffe06203e5e (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
00007ffe06203f66 (__TEXT,__text) external _AAAFSCStreamOpenWithState
00007ffe0618bfcf (__TEXT,__text) external _AAArchiveStreamCancel
00007ffe0618bf98 (__TEXT,__text) external _AAArchiveStreamClose
00007ffe061a1cdb (__TEXT,__text) external _AAArchiveStreamProcess
00007ffe0618bf4a (__TEXT,__text) external _AAArchiveStreamReadBlob
00007ffe0618bf30 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007ffe0618bf7e (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007ffe0618bf64 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007ffe0618d661 (__TEXT,__text) external _AAArchiveStreamWritePathList
00007ffe06191188 (__TEXT,__text) external _AAAssetBuilderAddFilter
00007ffe061910cb (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
00007ffe0619100c (__TEXT,__text) external _AAAssetBuilderCreate
00007ffe061910ba (__TEXT,__text) external _AAAssetBuilderDestroy
00007ffe061f8940 (__TEXT,__text) external _AAAssetBuilderGenerate
00007ffe06191224 (__TEXT,__text) external _AAAssetBuilderGetParameter
00007ffe06191193 (__TEXT,__text) external _AAAssetBuilderSetParameter
00007ffe0619187c (__TEXT,__text) external _AAAssetExtractorCreate
00007ffe06191e4b (__TEXT,__text) external _AAAssetExtractorDestroy
00007ffe061928b5 (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
00007ffe06192840 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
00007ffe0619235c (__TEXT,__text) external _AAAssetExtractorWrite
00007ffe0620bd49 (__TEXT,__text) external _AAAsyncByteStreamCancel
00007ffe0620bd5e (__TEXT,__text) external _AAAsyncByteStreamClose
00007ffe0620b767 (__TEXT,__text) external _AAAsyncByteStreamGetRange
00007ffe0620bbf6 (__TEXT,__text) external _AAAsyncByteStreamProcess
00007ffe061c25ae (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00007ffe061a2bcf (__TEXT,__text) external _AAByteRangeAdd
00007ffe061a2ae7 (__TEXT,__text) external _AAByteRangeClone
00007ffe061a2a4b (__TEXT,__text) external _AAByteRangeCreate
00007ffe061a2ac1 (__TEXT,__text) external _AAByteRangeDestroy
00007ffe061a2d9b (__TEXT,__text) external _AAByteRangeFirst
00007ffe061a2ea9 (__TEXT,__text) external _AAByteRangeNext
00007ffe061a2d31 (__TEXT,__text) external _AAByteRangeOffsetAtSize
00007ffe061a2cbf (__TEXT,__text) external _AAByteRangeSizeAtOffset
00007ffe061a2c4b (__TEXT,__text) external _AAByteRangeSub
00007ffe06202839 (__TEXT,__text) external _AAByteStreamCancel
00007ffe0620284e (__TEXT,__text) external _AAByteStreamClose
00007ffe06202885 (__TEXT,__text) external _AAByteStreamCloseWithState
00007ffe062028ce (__TEXT,__text) external _AAByteStreamFlush
00007ffe06202801 (__TEXT,__text) external _AAByteStreamPRead
00007ffe06202902 (__TEXT,__text) external _AAByteStreamPReadAsync
00007ffe062027c9 (__TEXT,__text) external _AAByteStreamPWrite
00007ffe061db3ec (__TEXT,__text) external _AAByteStreamProcess
00007ffe062027e5 (__TEXT,__text) external _AAByteStreamRead
00007ffe0620281d (__TEXT,__text) external _AAByteStreamSeek
00007ffe062028e8 (__TEXT,__text) external _AAByteStreamTruncate
00007ffe06202718 (__TEXT,__text) external _AAByteStreamWrite
00007ffe061c0b50 (__TEXT,__text) external _AAChunkAsyncStreamOpen
00007ffe061c0282 (__TEXT,__text) external _AAChunkInputStreamOpen
00007ffe061d8596 (__TEXT,__text) external _AAChunkOutputStreamOpen
00007ffe062070d4 (__TEXT,__text) external _AACompressionOutputStreamOpen
00007ffe06207a21 (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
00007ffe061c9f10 (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
00007ffe0618bfe4 (__TEXT,__text) external _AACustomArchiveStreamOpen
00007ffe0618c05d (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
00007ffe0618c053 (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
00007ffe0618c04a (__TEXT,__text) external _AACustomArchiveStreamSetData
00007ffe0618c085 (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
00007ffe0618c07b (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
00007ffe0618c071 (__TEXT,__text) external _AACustomArchiveStreamSetWriteBlobProc
00007ffe0618c067 (__TEXT,__text) external _AACustomArchiveStreamSetWriteHeaderProc
00007ffe062036a2 (__TEXT,__text) external _AACustomByteStreamOpen
00007ffe0620373c (__TEXT,__text) external _AACustomByteStreamSetCancelProc
00007ffe06203700 (__TEXT,__text) external _AACustomByteStreamSetCloseProc
