00007ff81b8b9805 (__TEXT,__text) non-external +[CalAlarm alarm]
00007ff81b8bf04c (__TEXT,__text) non-external +[CalCalendar calendar]
00007ff81b8c4153 (__TEXT,__text) non-external +[CalCalendarItem sortedAlarms:]
00007ff81b8bec39 (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportEventsErrorWithCalendarName:]
00007ff81b8bee2d (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportTasksErrorWithCalendarName:]
00007ff81b8bea39 (__TEXT,__text) non-external +[CalCalendarStore _calendarNotEditableErrorWithCalendarName:isEvent:]
00007ff81b8be7c6 (__TEXT,__text) non-external +[CalCalendarStore _calendarNotFoundWithCalendarName:isEvent:]
00007ff81b8bdddd (__TEXT,__text) non-external +[CalCalendarStore _dateFromPotentialNSCalendarDate:]
00007ff81b8bb210 (__TEXT,__text) non-external +[CalCalendarStore allocWithZone:]
00007ff81b8b8e20 (__TEXT,__text) non-external +[CalCalendarStore defaultCalendarStore]
00007ff81b8be07f (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:UID:calendars:]
00007ff81b8bde50 (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:calendars:]
00007ff81b8bb05c (__TEXT,__text) non-external +[CalCalendarStore requestAccessForEntityType:eventStore:]
00007ff81b8baf7b (__TEXT,__text) non-external +[CalCalendarStore setDefaultCalendarStore:]
00007ff81b8be308 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithCalendars:]
00007ff81b8be423 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithTasksCompletedSince:calendars:]
00007ff81b8be565 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasks:]
00007ff81b8be684 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasksDueBefore:calendars:]
00007ff81b8bdc32 (__TEXT,__text) non-external +[CalCalendarStore toEKCalendarsFromCalCalendars:]
00007ff81b8c014e (__TEXT,__text) non-external +[CalEvent event]
00007ff81b8c094e (__TEXT,__text) non-external +[CalEvent sortedAttendees:]
00007ff81b8c2b93 (__TEXT,__text) non-external +[CalNthWeekDay nthWeekDayWithDayOfTheWeek:weekNumber:]
00007ff81b8c2c48 (__TEXT,__text) non-external +[CalRecurrenceEnd recurrenceEndWithEndDate:]
00007ff81b8c2c95 (__TEXT,__text) non-external +[CalRecurrenceEnd recurrenceEndWithOccurrenceCount:]
00007ff81b8c1fba (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromDate:isDateOnly:isFloating:]
00007ff81b8c1f99 (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromRecurrenceType:]
00007ff81b8c44b9 (__TEXT,__text) non-external +[CalTask task]
00007ff81b8c011b (__TEXT,__text) non-external -[CalAlarm .cxx_destruct]
00007ff81b8ba342 (__TEXT,__text) non-external -[CalAlarm absoluteTrigger]
00007ff81b8ba358 (__TEXT,__text) non-external -[CalAlarm acknowledged]
00007ff81b8ba2b4 (__TEXT,__text) non-external -[CalAlarm action]
00007ff81b8c0058 (__TEXT,__text) non-external -[CalAlarm copyWithZone:]
00007ff81b8ba14c (__TEXT,__text) non-external -[CalAlarm description]
00007ff81b8c00ca (__TEXT,__text) non-external -[CalAlarm ekAlarm]
00007ff81b8ba316 (__TEXT,__text) non-external -[CalAlarm emailAddress]
00007ff81b8bfa8e (__TEXT,__text) non-external -[CalAlarm hash]
00007ff81b8bf792 (__TEXT,__text) non-external -[CalAlarm initWithEKAlarm:]
00007ff81b8b981e (__TEXT,__text) non-external -[CalAlarm init]
00007ff81b8bfaa4 (__TEXT,__text) non-external -[CalAlarm isEqual:]
00007ff81b8c00e5 (__TEXT,__text) non-external -[CalAlarm relatedToString]
00007ff81b8bf8b7 (__TEXT,__text) non-external -[CalAlarm relatedTo]
00007ff81b8ba32c (__TEXT,__text) non-external -[CalAlarm relativeTrigger]
00007ff81b8bf9d8 (__TEXT,__text) non-external -[CalAlarm setAbsoluteTrigger:]
00007ff81b8bf824 (__TEXT,__text) non-external -[CalAlarm setAcknowledged:]
00007ff81b8bf920 (__TEXT,__text) non-external -[CalAlarm setAction:]
00007ff81b8c00d4 (__TEXT,__text) non-external -[CalAlarm setEkAlarm:]
00007ff81b8bf926 (__TEXT,__text) non-external -[CalAlarm setEmailAddress:]
00007ff81b8bf83a (__TEXT,__text) non-external -[CalAlarm setRelatedTo:]
00007ff81b8c00ef (__TEXT,__text) non-external -[CalAlarm setRelatedToString:]
00007ff81b8bf968 (__TEXT,__text) non-external -[CalAlarm setRelativeTrigger:]
00007ff81b8bf93c (__TEXT,__text) non-external -[CalAlarm setSound:]
00007ff81b8c010a (__TEXT,__text) non-external -[CalAlarm setUnsavedRelateToDictionary:]
00007ff81b8bf952 (__TEXT,__text) non-external -[CalAlarm setUrl:]
00007ff81b8ba300 (__TEXT,__text) non-external -[CalAlarm sound]
00007ff81b8bf9ee (__TEXT,__text) non-external -[CalAlarm triggerDateRelativeTo:]
00007ff81b8c0100 (__TEXT,__text) non-external -[CalAlarm unsavedRelateToDictionary]
00007ff81b8ba2ea (__TEXT,__text) non-external -[CalAlarm url]
00007ff81b8baf6b (__TEXT,__text) non-external -[CalAttendee .cxx_destruct]
00007ff81b8ba8b1 (__TEXT,__text) non-external -[CalAttendee address]
00007ff81b8ba8c7 (__TEXT,__text) non-external -[CalAttendee commonName]
00007ff81b8baede (__TEXT,__text) non-external -[CalAttendee copyWithZone:]
00007ff81b8ba7d7 (__TEXT,__text) non-external -[CalAttendee description]
