00000002776640f0 (__DATA,__bss) non-external __ZL12reportShadow
00000002776640f8 (__DATA,__bss) non-external __ZL13reportGlobals
00000002776640e8 (__DATA,__bss) non-external __ZL15libmallocShadow
00000002776640e0 (__DATA,__bss) non-external __ZL3cfg
0000000260d6a2b4 (__TEXT,__text) non-external __ZL3diev
0000000260d6b5c0 (__TEXT,__const) non-external __ZL5zeros
0000000277664100 (__DATA,__bss) non-external __ZL6report
00000002776645b0 (__DATA,__bss) non-external __ZL6shadow
00000002776640d8 (__DATA,__bss) non-external __ZL7_shadow
00000002776640a8 (__DATA,__bss) non-external __ZL9collector.0
00000002776640b0 (__DATA,__bss) non-external __ZL9collector.1
00000002776640b8 (__DATA,__bss) non-external __ZL9collector.2
0000000260d6a684 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow11bzeroShadowEPKvm
0000000260d6a674 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow12memsetShadowEPvim
0000000260d6ab7c (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow12poisonGlobalERKN4asan9GlobalVarE
0000000260d6a910 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow14setShadowBytesEmm11ShadowValue
0000000260d6abd0 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue
0000000260d6b34c (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.1
0000000260d6b378 (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.2
0000000260d6b3a4 (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.3
0000000260d6ac30 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow19poisonNewAllocationEmmm
0000000260d6ac38 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow19poisonNewStackFrameEmmm
0000000260d6ac40 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow21poisonFreedAllocationEmm
0000000260d6b244 (__TEXT,__text) non-external __ZN10ASanShadow21poisonFreedAllocationEmm.cold.1
0000000260d6ac9c (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow21poisonFreedStackFrameEmm
0000000260d6b244 (__TEXT,__text) non-external __ZN10ASanShadow21poisonFreedStackFrameEmm.cold.1
0000000260d6a690 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow6poisonEmmmmh
0000000260d6b244 (__TEXT,__text) non-external __ZN10ASanShadow6poisonEmmmmh.cold.1
0000000260d6a770 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow8unpoisonEmm
0000000260d687c4 (__TEXT,__text) non-external (was a private external) __ZN12MemoryReader4readEmm
0000000260d6afa0 (__TEXT,__text) non-external __ZN12MemoryReader4readEmm.cold.1
0000000260d695e4 (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_
