
/System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDevicesAgent (for architecture x86_64):
                 (undefined) external _ACAccountDataclassCloudPhotos (from Accounts)
                 (undefined) external _ACAccountTypeIdentifieriTunesStore (from Accounts)
                 (undefined) external _AECreateAppleEvent (from CoreServices)
                 (undefined) external _AECreateDesc (from CoreServices)
                 (undefined) external _AECreateList (from CoreServices)
                 (undefined) external _AEDisposeDesc (from CoreServices)
                 (undefined) external _AEPutDesc (from CoreServices)
                 (undefined) external _AEPutParamDesc (from CoreServices)
                 (undefined) external _AEPutParamPtr (from CoreServices)
                 (undefined) external _AESend (from Carbon)
                 (undefined) external _AFCConnectionCopyLastErrorInfo (from MobileDevice)
                 (undefined) external _AFCConnectionCreate (from MobileDevice)
                 (undefined) external _AFCConnectionGetFSBlockSize (from MobileDevice)
                 (undefined) external _AFCConnectionGetIOTimeout (from MobileDevice)
                 (undefined) external _AFCConnectionInvalidate (from MobileDevice)
                 (undefined) external _AFCConnectionIsValid (from MobileDevice)
                 (undefined) external _AFCConnectionProcessOperation (from MobileDevice)
                 (undefined) external _AFCConnectionScheduleWithRunLoop (from MobileDevice)
                 (undefined) external _AFCConnectionSetCallBack (from MobileDevice)
                 (undefined) external _AFCConnectionSetDisposeSecureContextOnInvalidate (from MobileDevice)
                 (undefined) external _AFCConnectionSetSecureContext (from MobileDevice)
                 (undefined) external _AFCConnectionSubmitOperation (from MobileDevice)
                 (undefined) external _AFCConnectionUnscheduleFromRunLoop (from MobileDevice)
                 (undefined) external _AFCFileDescriptorCreateCloseOperation (from MobileDevice)
                 (undefined) external _AFCFileDescriptorCreateGetPositionOperation (from MobileDevice)
                 (undefined) external _AFCFileDescriptorCreateLockOperation (from MobileDevice)
                 (undefined) external _AFCFileDescriptorCreateReadAtPositionOperation (from MobileDevice)
                 (undefined) external _AFCFileDescriptorCreateReadOperation (from MobileDevice)
                 (undefined) external _AFCFileDescriptorCreateSetImmutableHintOperation (from MobileDevice)
                 (undefined) external _AFCFileDescriptorCreateSetPositionOperation (from MobileDevice)
                 (undefined) external _AFCFileDescriptorCreateSetSizeOperation (from MobileDevice)
                 (undefined) external _AFCFileDescriptorCreateUnlockOperation (from MobileDevice)
                 (undefined) external _AFCFileDescriptorCreateWriteAtPositionOperation (from MobileDevice)
                 (undefined) external _AFCFileDescriptorCreateWriteOperation (from MobileDevice)
                 (undefined) external _AFCFileDescriptorGetTypeID (from MobileDevice)
                 (undefined) external _AFCOperationCreateGetDeviceInfo (from MobileDevice)
                 (undefined) external _AFCOperationCreateGetFileHash (from MobileDevice)
                 (undefined) external _AFCOperationCreateGetFileHashWithRange (from MobileDevice)
                 (undefined) external _AFCOperationCreateGetFileInfo (from MobileDevice)
                 (undefined) external _AFCOperationCreateGetSizeOfPathContents (from MobileDevice)
                 (undefined) external _AFCOperationCreateLinkPath (from MobileDevice)
                 (undefined) external _AFCOperationCreateMakeDirectory (from MobileDevice)
                 (undefined) external _AFCOperationCreateOpenFile (from MobileDevice)
                 (undefined) external _AFCOperationCreateReadDirectory (from MobileDevice)
                 (undefined) external _AFCOperationCreateRemovePath (from MobileDevice)
                 (undefined) external _AFCOperationCreateRemovePathAndContents (from MobileDevice)
                 (undefined) external _AFCOperationCreateRenamePath (from MobileDevice)
                 (undefined) external _AFCOperationCreateSetModTime (from MobileDevice)
                 (undefined) external _AFCOperationGetContext (from MobileDevice)
                 (undefined) external _AFCOperationGetResultObject (from MobileDevice)
                 (undefined) external _AFCOperationGetResultStatus (from MobileDevice)
                 (undefined) external _AFCOperationSetContext (from MobileDevice)
                 (undefined) external _AMDCopyArrayOfDevicesMatchingQuery (from MobileDevice)
                 (undefined) external _AMDCopyErrorText (from MobileDevice)
                 (undefined) external _AMDFUModeDeviceCopyAuthInstallPreflightOptions (from MobileDevice)
                 (undefined) external _AMDFUModeDeviceGetECID (from MobileDevice)
                 (undefined) external _AMDFUModeDeviceGetLocationID (from MobileDevice)
                 (undefined) external _AMDFUModeDeviceGetProductID (from MobileDevice)
                 (undefined) external _AMDFUModeDeviceGetProductType (from MobileDevice)
                 (undefined) external _AMDFUModeDeviceGetSecurityEpoch (from MobileDevice)
                 (undefined) external _AMDFUModeDeviceRequestAbbreviatedSendSync (from MobileDevice)
                 (undefined) external _AMDGetBundleVersion (from MobileDevice)
                 (undefined) external _AMDSecureListenForNotifications (from MobileDevice)
                 (undefined) external _AMDSecureObserveNotification (from MobileDevice)
                 (undefined) external _AMDSecurePostNotification (from MobileDevice)
                 (undefined) external _AMDSecureShutdownNotificationProxy (from MobileDevice)
                 (undefined) external _AMDServiceConnectionGetSecureIOContext (from MobileDevice)
                 (undefined) external _AMDServiceConnectionGetSocket (from MobileDevice)
                 (undefined) external _AMDServiceConnectionInvalidate (from MobileDevice)
                 (undefined) external _AMDServiceConnectionReceive (from MobileDevice)
                 (undefined) external _AMDServiceConnectionReceiveMessage (from MobileDevice)
                 (undefined) external _AMDServiceConnectionSend (from MobileDevice)
                 (undefined) external _AMDServiceConnectionSendMessage (from MobileDevice)
                 (undefined) external _AMDeviceActivate (from MobileDevice)
                 (undefined) external _AMDeviceActivateWithOptions (from MobileDevice)
                 (undefined) external _AMDeviceConnect (from MobileDevice)
                 (undefined) external _AMDeviceCopyAuthInstallPreflightOptions (from MobileDevice)
                 (undefined) external _AMDeviceCopyDeviceIdentifier (from MobileDevice)
                 (undefined) external _AMDeviceCopyValue (from MobileDevice)
                 (undefined) external _AMDeviceCopyValueWithError (from MobileDevice)
                 (undefined) external _AMDeviceCreateActivationInfoWithOptions (from MobileDevice)
                 (undefined) external _AMDeviceCreateActivationSessionInfo (from MobileDevice)
                 (undefined) external _AMDeviceCreateHouseArrestService (from MobileDevice)
                 (undefined) external _AMDeviceCreateWakeupToken (from MobileDevice)
                 (undefined) external _AMDeviceDisconnect (from MobileDevice)
                 (undefined) external _AMDeviceEnterRecovery (from MobileDevice)
                 (undefined) external _AMDeviceGetConnectionID (from MobileDevice)
                 (undefined) external _AMDeviceGetInterfaceType (from MobileDevice)
                 (undefined) external _AMDeviceGetWirelessBuddyFlags (from MobileDevice)
                 (undefined) external _AMDeviceInstallProvisioningProfile (from MobileDevice)
                 (undefined) external _AMDeviceIsValid (from MobileDevice)
                 (undefined) external _AMDeviceLookupApplicationArchives (from MobileDevice)
                 (undefined) external _AMDeviceLookupApplications (from MobileDevice)
                 (undefined) external _AMDeviceNotificationSubscribe (from MobileDevice)
                 (undefined) external _AMDeviceNotificationUnsubscribe (from MobileDevice)
                 (undefined) external _AMDevicePairWithOptions (from MobileDevice)
