                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
0000000192b6484c (__TEXT,__text) external __cg_jcopy_block_row
0000000192b647f0 (__TEXT,__text) external __cg_jcopy_sample_rows
0000000192b7fa18 (__TEXT,__text) external __cg_jinit_1pass_quantizer
0000000192b5bbe0 (__TEXT,__text) external __cg_jinit_2pass_quantizer
0000000192b63e64 (__TEXT,__text) external __cg_jinit_c_coef_controller
0000000192b64860 (__TEXT,__text) external __cg_jinit_c_main_controller
0000000192b6ebe8 (__TEXT,__text) external __cg_jinit_c_master_control
0000000192b64a98 (__TEXT,__text) external __cg_jinit_c_prep_controller
0000000192b5ac18 (__TEXT,__text) external __cg_jinit_color_converter
0000000192b6343c (__TEXT,__text) external __cg_jinit_color_deconverter
0000000192b5aaa0 (__TEXT,__text) external __cg_jinit_compress_master
0000000192b6dc14 (__TEXT,__text) external __cg_jinit_d_coef_controller
0000000192b70590 (__TEXT,__text) external __cg_jinit_d_main_controller
0000000192b711d4 (__TEXT,__text) external __cg_jinit_d_post_controller
0000000192b778d8 (__TEXT,__text) external __cg_jinit_downsampler
0000000192b629e4 (__TEXT,__text) external __cg_jinit_forward_dct
0000000192b78cf0 (__TEXT,__text) external __cg_jinit_huff_decoder
0000000192b7cac8 (__TEXT,__text) external __cg_jinit_huff_encoder
0000000192b65c38 (__TEXT,__text) external __cg_jinit_input_controller
0000000192b5b4b4 (__TEXT,__text) external __cg_jinit_inverse_dct
0000000192b5d1ac (__TEXT,__text) external __cg_jinit_marker_reader
0000000192b7b63c (__TEXT,__text) external __cg_jinit_marker_writer
0000000192b6ff94 (__TEXT,__text) external __cg_jinit_master_decompress
0000000192b80bec (__TEXT,__text) external __cg_jinit_memory_mgr
0000000192b78648 (__TEXT,__text) external __cg_jinit_merged_upsampler
0000000192b70c58 (__TEXT,__text) external __cg_jinit_upsampler
0000000192b7741c (__TEXT,__text) external __cg_jpeg_CreateCompress
0000000192b651ec (__TEXT,__text) external __cg_jpeg_CreateDecompress
0000000192b5f5b4 (__TEXT,__text) external __cg_jpeg_abort
0000000192b77548 (__TEXT,__text) external __cg_jpeg_abort_compress
0000000192b652f4 (__TEXT,__text) external __cg_jpeg_abort_decompress
0000000192b6ce58 (__TEXT,__text) external __cg_jpeg_add_quant_table
0000000192b5f674 (__TEXT,__text) external __cg_jpeg_alloc_huff_table
0000000192b5f648 (__TEXT,__text) external __cg_jpeg_alloc_quant_table
0000000192b6fbe8 (__TEXT,__text) external __cg_jpeg_calc_output_dimensions
0000000192b65390 (__TEXT,__text) external __cg_jpeg_consume_input
0000000192b7b0fc (__TEXT,__text) external __cg_jpeg_copy_critical_parameters
0000000192b6d4a4 (__TEXT,__text) external __cg_jpeg_default_colorspace
0000000192b5f60c (__TEXT,__text) external __cg_jpeg_destroy
0000000192b77544 (__TEXT,__text) external __cg_jpeg_destroy_compress
0000000192b652f0 (__TEXT,__text) external __cg_jpeg_destroy_decompress
0000000192b80610 (__TEXT,__text) external __cg_jpeg_fdct_float
0000000192b7ad08 (__TEXT,__text) external __cg_jpeg_fdct_ifast
0000000192b71b6c (__TEXT,__text) external __cg_jpeg_fdct_islow
0000000192b7759c (__TEXT,__text) external __cg_jpeg_finish_compress
0000000192b656f8 (__TEXT,__text) external __cg_jpeg_finish_decompress
0000000192b7ca10 (__TEXT,__text) external __cg_jpeg_finish_output
0000000192b60d68 (__TEXT,__text) external __cg_jpeg_free_large
0000000192b60d50 (__TEXT,__text) external __cg_jpeg_free_small
0000000192b60d58 (__TEXT,__text) external __cg_jpeg_get_large
0000000192b60d40 (__TEXT,__text) external __cg_jpeg_get_small
0000000192b656a0 (__TEXT,__text) external __cg_jpeg_has_multiple_scans
0000000192b675dc (__TEXT,__text) external __cg_jpeg_idct_1x1
0000000192b67540 (__TEXT,__text) external __cg_jpeg_idct_2x2
0000000192b67228 (__TEXT,__text) external __cg_jpeg_idct_4x4
0000000192b717cc (__TEXT,__text) external __cg_jpeg_idct_float
0000000192b625d4 (__TEXT,__text) external __cg_jpeg_idct_ifast
0000000192b66598 (__TEXT,__text) external __cg_jpeg_idct_islow
0000000192b65648 (__TEXT,__text) external __cg_jpeg_input_complete
0000000192b60d70 (__TEXT,__text) external __cg_jpeg_mem_available
0000000192b61038 (__TEXT,__text) external __cg_jpeg_mem_init
0000000192b61044 (__TEXT,__text) external __cg_jpeg_mem_term
0000000192b82610 (__TEXT,__const) external __cg_jpeg_natural_order
0000000192b6fee4 (__TEXT,__text) external __cg_jpeg_new_colormap
0000000192b60d80 (__TEXT,__text) external __cg_jpeg_open_backing_store
0000000192b6d234 (__TEXT,__text) external __cg_jpeg_quality_scaling
0000000192b7161c (__TEXT,__text) external __cg_jpeg_read_coefficients
0000000192b652f8 (__TEXT,__text) external __cg_jpeg_read_header
0000000192b7c884 (__TEXT,__text) external __cg_jpeg_read_raw_data
0000000192b7c7a4 (__TEXT,__text) external __cg_jpeg_read_scanlines
0000000192b5cf20 (__TEXT,__text) external __cg_jpeg_resync_to_restart
0000000192b5eabc (__TEXT,__text) external __cg_jpeg_save_markers
0000000192b6d548 (__TEXT,__text) external __cg_jpeg_set_colorspace
0000000192b6d310 (__TEXT,__text) external __cg_jpeg_set_defaults
0000000192b6d1c4 (__TEXT,__text) external __cg_jpeg_set_linear_quality
0000000192b5ee04 (__TEXT,__text) external __cg_jpeg_set_marker_processor
0000000192b6d26c (__TEXT,__text) external __cg_jpeg_set_quality
0000000192b6d8fc (__TEXT,__text) external __cg_jpeg_simple_progression
0000000192b6cb8c (__TEXT,__text) external __cg_jpeg_start_compress
0000000192b7c574 (__TEXT,__text) external __cg_jpeg_start_decompress
0000000192b7c980 (__TEXT,__text) external __cg_jpeg_start_output
0000000192b783d8 (__TEXT,__text) external __cg_jpeg_std_error
0000000192b5f6a0 (__TEXT,__text) external __cg_jpeg_std_huff_table
0000000192b8244d (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_chrominance
0000000192b8239a (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_luminance
0000000192b8237d (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_chrominance
0000000192b82360 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_luminance
0000000192b8245e (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_chrominance
0000000192b823ab (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_luminance
0000000192b8238e (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_chrominance
0000000192b82371 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_luminance
00000001e6471948 (__DATA_CONST,__const) external __cg_jpeg_std_message_table
0000000192b80834 (__TEXT,__text) external __cg_jpeg_stdio_dest
0000000192b61048 (__TEXT,__text) external __cg_jpeg_stdio_src
0000000192b7754c (__TEXT,__text) external __cg_jpeg_suppress_tables
0000000192b7af3c (__TEXT,__text) external __cg_jpeg_write_coefficients
0000000192b7782c (__TEXT,__text) external __cg_jpeg_write_m_byte
0000000192b777a0 (__TEXT,__text) external __cg_jpeg_write_m_header
0000000192b776fc (__TEXT,__text) external __cg_jpeg_write_marker
0000000192b6cd44 (__TEXT,__text) external __cg_jpeg_write_raw_data
0000000192b6cc3c (__TEXT,__text) external __cg_jpeg_write_scanlines
0000000192b77838 (__TEXT,__text) external __cg_jpeg_write_tables
0000000192b647dc (__TEXT,__text) external __cg_jround_up
0000000192b63e40 (__TEXT,__text) external __cg_switch_color_deconverter
0000000192b816fc (__TEXT,__text) non-external _access_virt_barray
0000000192b8151c (__TEXT,__text) non-external _access_virt_sarray
0000000192b810e0 (__TEXT,__text) non-external _alloc_barray
0000000192b80104 (__TEXT,__text) non-external _alloc_fs_workspace
0000000192b80eec (__TEXT,__text) non-external _alloc_large
0000000192b80fec (__TEXT,__text) non-external _alloc_sarray
0000000192b80d34 (__TEXT,__text) non-external _alloc_small
0000000192b62410 (__TEXT,__text) non-external _arith_decode
0000000192b60aa8 (__TEXT,__text) non-external _arith_encode
0000000192b831bc (__TEXT,__const) non-external _base_dither_matrix
0000000192b8317c (__TEXT,__const) non-external _bmask
0000000192b63b2c (__TEXT,__text) non-external _build_ycc_rgb_table
                 (undefined) external _bzero (from libSystem)
0000000192b61030 (__TEXT,__text) non-external _close_backing_store
0000000192b5b3d8 (__TEXT,__text) non-external _cmyk_ycck_convert
0000000192b801f4 (__TEXT,__text) non-external _color_quantize
0000000192b80180 (__TEXT,__text) non-external _color_quantize3
0000000192b640e8 (__TEXT,__text) non-external _compress_data
0000000192b64394 (__TEXT,__text) non-external _compress_first_pass
0000000192b645f0 (__TEXT,__text) non-external _compress_output
0000000192b7b3c8 (__TEXT,__text) non-external _compress_output
                 (undefined) external _confstr (from libSystem)
0000000192b6df0c (__TEXT,__text) non-external _consume_data
0000000192b65cb8 (__TEXT,__text) non-external _consume_markers
0000000192b7ffd4 (__TEXT,__text) non-external _create_colorindex
0000000192b61f1c (__TEXT,__text) non-external _decode_mcu
0000000192b7a5b8 (__TEXT,__text) non-external _decode_mcu
0000000192b61a7c (__TEXT,__text) non-external _decode_mcu_AC_first
0000000192b7962c (__TEXT,__text) non-external _decode_mcu_AC_first
0000000192b61d50 (__TEXT,__text) non-external _decode_mcu_AC_refine
0000000192b79998 (__TEXT,__text) non-external _decode_mcu_AC_refine
0000000192b61820 (__TEXT,__text) non-external _decode_mcu_DC_first
0000000192b79404 (__TEXT,__text) non-external _decode_mcu_DC_first
0000000192b61ca4 (__TEXT,__text) non-external _decode_mcu_DC_refine
0000000192b79888 (__TEXT,__text) non-external _decode_mcu_DC_refine
0000000192b7a168 (__TEXT,__text) non-external _decode_mcu_sub
0000000192b6e10c (__TEXT,__text) non-external _decompress_data
0000000192b6e2e8 (__TEXT,__text) non-external _decompress_onepass
0000000192b6e5d4 (__TEXT,__text) non-external _decompress_smooth_data
0000000192b81b6c (__TEXT,__text) non-external _do_barray_io
0000000192b81a94 (__TEXT,__text) non-external _do_sarray_io
0000000192b6e2e0 (__TEXT,__text) non-external _dummy_consume_data
0000000192b7f858 (__TEXT,__text) non-external _dump_buffer_e
0000000192b60cbc (__TEXT,__text) non-external _emit_byte
0000000192b7c164 (__TEXT,__text) non-external _emit_byte
0000000192b7c460 (__TEXT,__text) non-external _emit_dht
0000000192b7c1e4 (__TEXT,__text) non-external _emit_dqt
0000000192b7f154 (__TEXT,__text) non-external _emit_eobrun
0000000192b7844c (__TEXT,__text) non-external _emit_message
0000000192b609ac (__TEXT,__text) non-external _emit_restart
0000000192b7f8ac (__TEXT,__text) non-external _emit_restart_e
0000000192b7c324 (__TEXT,__text) non-external _emit_sof
0000000192b80b24 (__TEXT,__text) non-external _empty_mem_output_buffer
0000000192b808ec (__TEXT,__text) non-external _empty_output_buffer
0000000192b604f8 (__TEXT,__text) non-external _encode_mcu
0000000192b5ff2c (__TEXT,__text) non-external _encode_mcu_AC_first
0000000192b7d498 (__TEXT,__text) non-external _encode_mcu_AC_first
0000000192b602a4 (__TEXT,__text) non-external _encode_mcu_AC_refine
0000000192b7daf8 (__TEXT,__text) non-external _encode_mcu_AC_refine
0000000192b5fcc8 (__TEXT,__text) non-external _encode_mcu_DC_first
0000000192b7d154 (__TEXT,__text) non-external _encode_mcu_DC_first
