0000000182771da8 (__DATA,__data) external _NDR_record
00000001806789a4 (__TEXT,__text) non-external __Xexception_raise
0000000180678890 (__TEXT,__text) non-external __Xexception_raise_state
000000018067872c (__TEXT,__text) non-external __Xexception_raise_state_identity
0000000180660c6c (__TEXT,__text) external _____sigwait_nocancel
0000000180692ae8 (__TEXT,__const) external ____kernelVersionNumber
0000000180692ab0 (__TEXT,__const) external ____kernelVersionString
0000000180660c98 (__TEXT,__text) external ___abort_with_payload
0000000180660cc4 (__TEXT,__text) external ___accept
0000000180660cf0 (__TEXT,__text) external ___accept_nocancel
0000000180660d1c (__TEXT,__text) external ___access_extended
0000000180660d48 (__TEXT,__text) external ___aio_suspend_nocancel
0000000180660d74 (__TEXT,__text) external ___bind
0000000180660da0 (__TEXT,__text) external ___bsdthread_create
0000000180660dcc (__TEXT,__text) external ___bsdthread_ctl
0000000180660df8 (__TEXT,__text) external ___bsdthread_register
0000000180660e24 (__TEXT,__text) external ___bsdthread_terminate
00000001806778f8 (__TEXT,__text) external ___carbon_delete
0000000180660e50 (__TEXT,__text) external ___channel_get_info
0000000180660e7c (__TEXT,__text) external ___channel_get_opt
0000000180660ea8 (__TEXT,__text) external ___channel_open
0000000180660ed4 (__TEXT,__text) external ___channel_set_opt
0000000180660f00 (__TEXT,__text) external ___channel_sync
0000000180660f2c (__TEXT,__text) external ___chmod
0000000180660f58 (__TEXT,__text) external ___chmod_extended
0000000180660f84 (__TEXT,__text) external ___close_nocancel
0000000180660fb0 (__TEXT,__text) external ___coalition
0000000180660fdc (__TEXT,__text) external ___coalition_info
0000000180661008 (__TEXT,__text) external ___coalition_ledger
00000001806691c4 (__TEXT,__text) external ___commpage_gettimeofday
00000001806691cc (__TEXT,__text) non-external ___commpage_gettimeofday_internal
0000000180661034 (__TEXT,__text) external ___connect
0000000180661060 (__TEXT,__text) external ___connect_nocancel
000000018066108c (__TEXT,__text) external ___copyfile
00000001806610b8 (__TEXT,__text) external ___crossarch_trap
00000001806610e4 (__TEXT,__text) external ___csrctl
000000018066eb3c (__TEXT,__text) external ___darwin_check_fd_set_overflow
0000000180661110 (__TEXT,__text) external ___debug_syscall_reject
000000018066113c (__TEXT,__text) external ___debug_syscall_reject_config
0000000180661168 (__TEXT,__text) external ___delete
0000000180661194 (__TEXT,__text) external ___disable_threadsignal
0000000180669998 (__TEXT,__text) external ___error
00000001806611c0 (__TEXT,__text) external ___execve
00000001806611ec (__TEXT,__text) external ___exit
0000000180661218 (__TEXT,__text) external ___fchmod
0000000180661244 (__TEXT,__text) external ___fchmod_extended
0000000180661270 (__TEXT,__text) external ___fcntl
000000018066129c (__TEXT,__text) external ___fcntl_nocancel
00000001806612c8 (__TEXT,__text) external ___fork
0000000180661314 (__TEXT,__text) external ___fs_snapshot
