00007ffa19b246eb (__TEXT,__text) non-external +[NFPromise new]
00007ffa19b25bde (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00007ffa19b25a02 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00007ffa19b259df (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00007ffa19b259bc (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00007ffa19b258f2 (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00007ffa19b2596f (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00007ffa19b2591f (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00007ffa19b270f0 (__TEXT,__text) non-external +[NFReachability _currentNetworkStatus]
00007ffa19b26d05 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00007ffa19b29fb4 (__TEXT,__text) non-external +[NFReachability sharedInstance].cold.1
00007ffa19b228f2 (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00007ffa19b23fd1 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00007ffa19b2405d (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00007ffa19b240eb (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00007ffa19b24194 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00007ffa19b25e19 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00007ffa19b25d95 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00007ffa19b2928c (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGPoint:]
00007ffa19b2920b (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00007ffa19b22581 (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00007ffa19b2278b (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00007ffa19b2241c (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
