00007ffb01a35aec (__TEXT,__text) non-external _AppleNVMeDeviceHasAVP
00007ffb01a357ab (__TEXT,__text) external _AppleNVMeDeviceSupportsPanicLogAccess
00007ffb01a3529b (__TEXT,__text) external _AppleNVMeNamespaceAccessFindServiceByNSType
00007ffb01a352c0 (__TEXT,__text) external _AppleNVMeNamespaceAccessFindServiceByName
00007ffb01a3555f (__TEXT,__text) external _AppleNVMeNamespaceAccessGetBlockCount
00007ffb01a354b9 (__TEXT,__text) external _AppleNVMeNamespaceAccessGetBlockSize
00007ffb01a35451 (__TEXT,__text) non-external _AppleNVMeNamespaceAccessMatchingServiceCallback
00007ffb01a35497 (__TEXT,__text) external _AppleNVMeNamespaceAccessOpenConection
00007ffb01a35605 (__TEXT,__text) external _AppleNVMeNamespaceAccessReadData
00007ffb01a35720 (__TEXT,__text) external _AppleNVMeNamespaceAccessUnmapRange
00007ffb01a35691 (__TEXT,__text) external _AppleNVMeNamespaceAccessWriteData
00007ffb01a358cc (__TEXT,__text) external _AppleNVMePanicLogGetSize
00007ffb40babc30 (__DATA,__data) external _AppleNVMePanicLogSourcePath
00007ffb01a3598e (__TEXT,__text) external _AppleNVMeReadPanicLogData
00007ffb01a35be8 (__TEXT,__const) external _AppleNVMeVersionNumber
00007ffb01a35bb0 (__TEXT,__const) external _AppleNVMeVersionString
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRunLoopAddSource (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFRunLoopRunInMode (from CoreFoundation)
                 (undefined) external _CFStringCreateFromExternalRepresentation (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _IOConnectCallMethod (from IOKit)
                 (undefined) external _IOIteratorNext (from IOKit)
                 (undefined) external _IONotificationPortCreate (from IOKit)
                 (undefined) external _IONotificationPortDestroy (from IOKit)
                 (undefined) external _IONotificationPortGetRunLoopSource (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IOObjectRetain (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryFromPath (from IOKit)
                 (undefined) external _IOServiceAddMatchingNotification (from IOKit)
                 (undefined) external _IOServiceClose (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
                 (undefined) external _IOServiceOpen (from IOKit)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kIOMainPortDefault (from IOKit)
                 (undefined) external _mach_task_self_ (from libSystem)
00007ffb40babbc0 (__DATA,__data) external _sNVMeEmbeddedNamespaceTypeNames
