00000001e429db74 (__TEXT,__text) non-external _DiToMD5
00000001e429dee4 (__TEXT,__text) non-external _DiToSHA1
00000001e42833c8 (__TEXT,__text) external _DriverExecutableMain
00000002104f13a8 (__AUTH_CONST,__const) external _IOBufferMemoryDescriptor_Class
00000002104f1668 (__AUTH_CONST,__const) external _IOCommandPool_Class
00000002104f1570 (__AUTH_CONST,__const) external _IOCommand_Class
00000002104f1760 (__AUTH_CONST,__const) external _IODMACommand_Class
00000002104f1910 (__AUTH_CONST,__const) external _IODataQueueDispatchSource_Class
00000001e427fbb4 (__TEXT,__text) external _IODelay
00000002104f1ac0 (__AUTH_CONST,__const) external _IODispatchQueue_Class
00000002104f1c70 (__AUTH_CONST,__const) external _IODispatchSource_Class
00000001e4283958 (__TEXT,__text) external _IODriverKitTest
00000001e42ae3f0 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00000001e42ae424 (__TEXT,__text) non-external _IODriverKitTest.cold.2
00000001e42ae450 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00000001e42ae484 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00000001e42ae4b0 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00000001e42ae4dc (__TEXT,__text) non-external _IODriverKitTest.cold.6
00000001e42ae508 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00000001e42ae534 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00000002104f1e20 (__AUTH_CONST,__const) external _IOEventLink_Class
00000001e427fb80 (__TEXT,__text) external _IOFree
00000001e427fba4 (__TEXT,__text) external _IOFreeData
00000001e4283928 (__TEXT,__text) external _IOGetExecutableSDKVersion
00000002104f26c0 (__AUTH_CONST,__const) external _IOHistogramReporter_Class
00000002104f1fd0 (__AUTH_CONST,__const) external _IOInterruptDispatchSource_Class
00000001e427fbc0 (__TEXT,__text) non-external (was a private external) _IOLibInit
00000001e4282688 (__TEXT,__text) external _IOLockAlloc
00000001e42826c8 (__TEXT,__text) external _IOLockAssert
00000001e42adcd0 (__TEXT,__text) non-external _IOLockAssert.cold.1
00000001e42826ac (__TEXT,__text) external _IOLockFree
00000001e42826bc (__TEXT,__text) external _IOLockLock
00000001e42826c0 (__TEXT,__text) external _IOLockTryLock
00000001e42826c4 (__TEXT,__text) external _IOLockUnlock
00000001e427fa58 (__TEXT,__text) external _IOLog
00000001e427f8fc (__TEXT,__text) external _IOLogBuffer
00000001e427fa84 (__TEXT,__text) external _IOLogv
00000001e427fb60 (__TEXT,__text) external _IOMalloc
00000001e427fb84 (__TEXT,__text) external _IOMallocData
00000001e427fb74 (__TEXT,__text) external _IOMallocZero
00000001e427fb98 (__TEXT,__text) external _IOMallocZeroData
00000002104f2180 (__AUTH_CONST,__const) external _IOMemoryDescriptor_Class
00000002104f2330 (__AUTH_CONST,__const) external _IOMemoryMap_Class
