00000002004f0998 (__TEXT,__text) non-external _Done_iODBC
000000020050fa90 (__TEXT,__const) non-external _FunctionNumbers
000000020050e908 (__TEXT,__text) non-external _GetPrivateProfileString
00000002004f0814 (__TEXT,__text) non-external _Init_iODBC
000000020e303c7c (__DATA,__common) non-external _ODBCSharedTraceFlag
00000002004eef54 (__TEXT,__text) external _SQLAllocConnect
00000002004eee68 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00000002004f0784 (__TEXT,__text) external _SQLAllocEnv
00000002004f05e0 (__TEXT,__text) non-external _SQLAllocEnv_Internal
00000002004fa810 (__TEXT,__text) external _SQLAllocHandle
00000002004fa928 (__TEXT,__text) non-external _SQLAllocHandleStd
00000002004fa56c (__TEXT,__text) non-external _SQLAllocHandle_Internal
00000002004f3464 (__TEXT,__text) external _SQLAllocStmt
00000002004f2fa8 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00000002004f84c8 (__TEXT,__text) external _SQLBindCol
0000000200500510 (__TEXT,__text) external _SQLBindParam
00000002004f7934 (__TEXT,__text) external _SQLBindParameter
00000002004ebdc4 (__TEXT,__text) external _SQLBrowseConnect
00000002004ebf0c (__TEXT,__text) external _SQLBrowseConnectA
00000002004ec054 (__TEXT,__text) external _SQLBrowseConnectW
00000002004eb880 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
000000020050001c (__TEXT,__text) external _SQLBulkOperations
00000002004f439c (__TEXT,__text) external _SQLCancel
0000000200500554 (__TEXT,__text) external _SQLCloseCursor
00000002004ffa60 (__TEXT,__text) external _SQLColAttribute
00000002004ffc08 (__TEXT,__text) external _SQLColAttributeA
00000002004ffdb0 (__TEXT,__text) external _SQLColAttributeW
00000002004ff374 (__TEXT,__text) non-external _SQLColAttribute_Internal
00000002004fa074 (__TEXT,__text) external _SQLColAttributes
00000002004fa21c (__TEXT,__text) external _SQLColAttributesA
00000002004fa3c4 (__TEXT,__text) external _SQLColAttributesW
00000002004f9bc0 (__TEXT,__text) non-external _SQLColAttributes_Internal
00000002004e4b4c (__TEXT,__text) external _SQLColumnPrivileges
00000002004e4d30 (__TEXT,__text) external _SQLColumnPrivilegesA
00000002004e4f14 (__TEXT,__text) external _SQLColumnPrivilegesW
00000002004e48b8 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00000002004e538c (__TEXT,__text) external _SQLColumns
00000002004e5570 (__TEXT,__text) external _SQLColumnsA
00000002004e5754 (__TEXT,__text) external _SQLColumnsW
00000002004e50f8 (__TEXT,__text) non-external _SQLColumns_Internal
00000002004e904c (__TEXT,__text) external _SQLConnect
00000002004e97dc (__TEXT,__text) external _SQLConnectA
00000002004e993c (__TEXT,__text) external _SQLConnectW
00000002004e91ac (__TEXT,__text) non-external _SQLConnect_Internal
000000020050f52c (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00000002004ff1f8 (__TEXT,__text) external _SQLCopyDesc
00000002004f4ec8 (__TEXT,__text) external _SQLDataSources
00000002004f5010 (__TEXT,__text) external _SQLDataSourcesA
00000002004f5158 (__TEXT,__text) external _SQLDataSourcesW
00000002004f4a64 (__TEXT,__text) non-external _SQLDataSources_Internal
000000020e303c00 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
000000020e303c20 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
000000020e303c28 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00000002004f95e4 (__TEXT,__text) external _SQLDescribeCol
00000002004f97d8 (__TEXT,__text) external _SQLDescribeColA
00000002004f99cc (__TEXT,__text) external _SQLDescribeColW
00000002004f9348 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00000002004edd0c (__TEXT,__text) external _SQLDescribeParam
00000002004ec19c (__TEXT,__text) external _SQLDisconnect
00000002004eb40c (__TEXT,__text) external _SQLDriverConnect
00000002004eb588 (__TEXT,__text) external _SQLDriverConnectA
00000002004eb704 (__TEXT,__text) external _SQLDriverConnectW
00000002004e9a9c (__TEXT,__text) non-external _SQLDriverConnect_Internal
000000020050f558 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
000000020050f584 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00000002004f5760 (__TEXT,__text) external _SQLDrivers
00000002004f58a8 (__TEXT,__text) external _SQLDriversA
00000002004f59f0 (__TEXT,__text) external _SQLDriversW
00000002004f537c (__TEXT,__text) non-external _SQLDrivers_Internal
000000020e303c04 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
000000020e303c30 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
000000020e303c38 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00000002004fff58 (__TEXT,__text) external _SQLEndTran
00000002004f1124 (__TEXT,__text) external _SQLError
00000002004f124c (__TEXT,__text) external _SQLErrorA
00000002004f1374 (__TEXT,__text) external _SQLErrorW
00000002004ed214 (__TEXT,__text) external _SQLExecDirect
00000002004ed364 (__TEXT,__text) external _SQLExecDirectA
00000002004ed4b4 (__TEXT,__text) external _SQLExecDirectW
00000002004ecfb8 (__TEXT,__text) non-external _SQLExecDirect_Internal
00000002004eccf0 (__TEXT,__text) external _SQLExecute
00000002004ee404 (__TEXT,__text) external _SQLExtendedFetch
00000002004ee148 (__TEXT,__text) external _SQLFetch
000000020050020c (__TEXT,__text) external _SQLFetchScroll
00000002004edf8c (__TEXT,__text) non-external _SQLFetch_Internal
00000002004e5c8c (__TEXT,__text) external _SQLForeignKeys
00000002004e5f48 (__TEXT,__text) external _SQLForeignKeysA
00000002004e6204 (__TEXT,__text) external _SQLForeignKeysW
00000002004e5938 (__TEXT,__text) non-external _SQLForeignKeys_Internal
00000002004ef0c8 (__TEXT,__text) external _SQLFreeConnect
00000002004ef018 (__TEXT,__text) non-external _SQLFreeConnect_Internal
00000002004f08ec (__TEXT,__text) external _SQLFreeEnv
00000002004f0860 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00000002004faa40 (__TEXT,__text) external _SQLFreeHandle
00000002004f38b8 (__TEXT,__text) external _SQLFreeStmt
00000002004f36ac (__TEXT,__text) non-external _SQLFreeStmt_Internal
000000020050c118 (__TEXT,__text) non-external _SQLGetConfigMode
00000002004fd348 (__TEXT,__text) external _SQLGetConnectAttr
00000002004fd7fc (__TEXT,__text) external _SQLGetConnectAttrA
00000002004fd950 (__TEXT,__text) external _SQLGetConnectAttrW
00000002004fd49c (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00000002004efe98 (__TEXT,__text) external _SQLGetConnectOption
00000002004effc4 (__TEXT,__text) external _SQLGetConnectOptionA
00000002004f00f0 (__TEXT,__text) external _SQLGetConnectOptionW
00000002004f8a18 (__TEXT,__text) external _SQLGetCursorName
00000002004f8b80 (__TEXT,__text) external _SQLGetCursorNameA
00000002004f8ce8 (__TEXT,__text) external _SQLGetCursorNameW
00000002004f881c (__TEXT,__text) non-external _SQLGetCursorName_Internal
00000002004ee58c (__TEXT,__text) external _SQLGetData
00000002004fdd14 (__TEXT,__text) external _SQLGetDescField
00000002004fde88 (__TEXT,__text) external _SQLGetDescFieldA
00000002004fdffc (__TEXT,__text) external _SQLGetDescFieldW
00000002004fdaa4 (__TEXT,__text) non-external _SQLGetDescField_Internal
00000002004fe91c (__TEXT,__text) external _SQLGetDescRec
00000002004feb50 (__TEXT,__text) external _SQLGetDescRecA
00000002004fed84 (__TEXT,__text) external _SQLGetDescRecW
00000002004fe720 (__TEXT,__text) non-external _SQLGetDescRec_Internal
00000002004f2c84 (__TEXT,__text) external _SQLGetDiagField
00000002004f2d90 (__TEXT,__text) external _SQLGetDiagFieldA
00000002004f2e9c (__TEXT,__text) external _SQLGetDiagFieldW
00000002004f1e08 (__TEXT,__text) non-external _SQLGetDiagField_Internal
00000002004f1aa8 (__TEXT,__text) external _SQLGetDiagRec
00000002004f1bc8 (__TEXT,__text) external _SQLGetDiagRecA
00000002004f1ce8 (__TEXT,__text) external _SQLGetDiagRecW
00000002004f149c (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00000002004fb140 (__TEXT,__text) external _SQLGetEnvAttr
00000002004f6628 (__TEXT,__text) external _SQLGetFunctions
00000002004f622c (__TEXT,__text) external _SQLGetInfo
00000002004f6380 (__TEXT,__text) external _SQLGetInfoA
00000002004f64d4 (__TEXT,__text) external _SQLGetInfoW
00000002004f5c14 (__TEXT,__text) non-external _SQLGetInfo_Internal
000000020050efa0 (__TEXT,__text) non-external _SQLGetKeywordValue
000000020050efec (__TEXT,__text) non-external _SQLGetKeywordValueW
000000020050eae4 (__TEXT,__text) non-external _SQLGetPrivateProfileString
000000020050ece4 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00000002004fb9b8 (__TEXT,__text) external _SQLGetStmtAttr
00000002004fbb30 (__TEXT,__text) external _SQLGetStmtAttrA
00000002004fbca8 (__TEXT,__text) external _SQLGetStmtAttrW
00000002004fb324 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00000002004f4104 (__TEXT,__text) external _SQLGetStmtOption
00000002004f4250 (__TEXT,__text) external _SQLGetStmtOptionA
00000002004f3f24 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00000002004e2b4c (__TEXT,__text) external _SQLGetTypeInfo
00000002004e2c8c (__TEXT,__text) external _SQLGetTypeInfoA
00000002004e2dcc (__TEXT,__text) external _SQLGetTypeInfoW
00000002004e298c (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00000002004ee904 (__TEXT,__text) external _SQLMoreResults
00000002004ec59c (__TEXT,__text) external _SQLNativeSql
00000002004ec708 (__TEXT,__text) external _SQLNativeSqlA
00000002004ec874 (__TEXT,__text) external _SQLNativeSqlW
00000002004ec324 (__TEXT,__text) non-external _SQLNativeSql_Internal
00000002004edb04 (__TEXT,__text) external _SQLNumParams
00000002004f9134 (__TEXT,__text) external _SQLNumResultCols
00000002004ed87c (__TEXT,__text) external _SQLParamData
00000002004f7d34 (__TEXT,__text) external _SQLParamOptions
00000002004f6f9c (__TEXT,__text) external _SQLPrepare
00000002004f70ec (__TEXT,__text) external _SQLPrepareA
00000002004f723c (__TEXT,__text) external _SQLPrepareW
00000002004f6d88 (__TEXT,__text) non-external _SQLPrepare_Internal
00000002004e66f0 (__TEXT,__text) external _SQLPrimaryKeys
00000002004e6898 (__TEXT,__text) external _SQLPrimaryKeysA
00000002004e6a40 (__TEXT,__text) external _SQLPrimaryKeysW
00000002004e64c0 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00000002004e6e7c (__TEXT,__text) external _SQLProcedureColumns
00000002004e7060 (__TEXT,__text) external _SQLProcedureColumnsA
00000002004e7244 (__TEXT,__text) external _SQLProcedureColumnsW
00000002004e6be8 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00000002004e7658 (__TEXT,__text) external _SQLProcedures
00000002004e7800 (__TEXT,__text) external _SQLProceduresA
00000002004e79a8 (__TEXT,__text) external _SQLProceduresW
00000002004e7428 (__TEXT,__text) non-external _SQLProcedures_Internal
00000002004ed604 (__TEXT,__text) external _SQLPutData
000000020050b84c (__TEXT,__text) non-external _SQLReadFileDSN
000000020050b9dc (__TEXT,__text) non-external _SQLReadFileDSNW
00000002004f8e50 (__TEXT,__text) external _SQLRowCount
000000020050f038 (__TEXT,__text) non-external _SQLSetConfigMode
00000002004fcd50 (__TEXT,__text) external _SQLSetConnectAttr
00000002004fd0c0 (__TEXT,__text) external _SQLSetConnectAttrA
00000002004fd204 (__TEXT,__text) external _SQLSetConnectAttrW
00000002004fce94 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00000002004ef720 (__TEXT,__text) external _SQLSetConnectOption
00000002004ef84c (__TEXT,__text) external _SQLSetConnectOptionA
00000002004ef978 (__TEXT,__text) external _SQLSetConnectOptionW
00000002004f7544 (__TEXT,__text) external _SQLSetCursorName
00000002004f7694 (__TEXT,__text) external _SQLSetCursorNameA
00000002004f77e4 (__TEXT,__text) external _SQLSetCursorNameW
00000002004f738c (__TEXT,__text) non-external _SQLSetCursorName_Internal
00000002004fe30c (__TEXT,__text) external _SQLSetDescField
00000002004fe468 (__TEXT,__text) external _SQLSetDescFieldA
00000002004fe5c4 (__TEXT,__text) external _SQLSetDescFieldW
00000002004fe170 (__TEXT,__text) non-external _SQLSetDescField_Internal
00000002004fefb8 (__TEXT,__text) external _SQLSetDescRec
00000002004faf2c (__TEXT,__text) external _SQLSetEnvAttr
00000002004fb04c (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
000000020050f4e8 (__TEXT,__text) non-external _SQLSetKeywordValue
000000020050f4f4 (__TEXT,__text) non-external _SQLSetKeywordValueW
