00007ff9092c5215 (__TEXT,__text) non-external +[AMFI isAvailable]
00007ff9092c522c (__TEXT,__text) non-external +[AMFI preflightBinary:withPlatform:error:]
00007ff9092b7176 (__TEXT,__text) non-external +[AppWrapper isAppWrapper:]
00007ff9092b7306 (__TEXT,__text) non-external +[AppWrapper wrappedAppURL:]
00007ff9092c549e (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:]
00007ff9092c8111 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.1
00007ff9092c8198 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.2
00007ff9092c57aa (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperProfileIsTrusted:]
00007ff9092c4e57 (__TEXT,__text) non-external +[GKScanResult supportsSecureCoding]
00007ff9092be5f1 (__TEXT,__text) non-external +[MIS currentDeviceID]
00007ff9092be648 (__TEXT,__text) non-external +[MIS findProvisioningProfile:]
00007ff9092bec3f (__TEXT,__text) non-external +[MIS installProvisioningProfile:]
00007ff9092c778b (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.1
00007ff9092c77bf (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.2
00007ff9092be5ce (__TEXT,__text) non-external +[MIS isAvailable]
00007ff9092beb49 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:]
00007ff9092c7723 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.1
00007ff9092c7757 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.2
00007ff9092bea97 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:]
00007ff9092c76ef (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:].cold.1
00007ff9092be84c (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:]
00007ff9092c75c3 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.1
00007ff9092c761d (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.2
00007ff9092c7651 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
00007ff9092c7685 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
00007ff9092bee62 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
00007ff9092c7913 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
00007ff9092c7993 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
