                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
000000027e544dec (__TEXT,__text) external __crypt_blowfish_rn
000000027e546f9c (__TEXT,__text) external __crypt_gensalt_blowfish_rn
000000027e544da0 (__TEXT,__text) external __crypt_output_magic
                 (undefined) external _abort (from libSystem)
                 (undefined) external _apr_allocator_alloc (from libapr-1)
                 (undefined) external _apr_allocator_free (from libapr-1)
                 (undefined) external _apr_array_make (from libapr-1)
                 (undefined) external _apr_array_push (from libapr-1)
                 (undefined) external _apr_atoi64 (from libapr-1)
                 (undefined) external _apr_atomic_dec32 (from libapr-1)
                 (undefined) external _apr_atomic_inc32 (from libapr-1)
                 (undefined) external _apr_atomic_read32 (from libapr-1)
                 (undefined) external _apr_atomic_set32 (from libapr-1)
000000027e549a6c (__TEXT,__text) external _apr_base64_decode
000000027e549a94 (__TEXT,__text) external _apr_base64_decode_binary
000000027e549a2c (__TEXT,__text) external _apr_base64_decode_len
000000027e549bec (__TEXT,__text) external _apr_base64_encode
000000027e549bf0 (__TEXT,__text) external _apr_base64_encode_binary
000000027e549bc4 (__TEXT,__text) external _apr_base64_encode_len
000000027e543ca8 (__TEXT,__text) external _apr_bcrypt_encode
000000027e53f8c0 (__TEXT,__text) external _apr_brigade_cleanup
000000027e53f994 (__TEXT,__text) external _apr_brigade_create
000000027e53f930 (__TEXT,__text) external _apr_brigade_destroy
000000027e53fce0 (__TEXT,__text) external _apr_brigade_flatten
000000027e54082c (__TEXT,__text) external _apr_brigade_insert_file
000000027e53fc2c (__TEXT,__text) external _apr_brigade_length
000000027e53fb10 (__TEXT,__text) external _apr_brigade_partition
000000027e53fdb8 (__TEXT,__text) external _apr_brigade_pflatten
000000027e5406cc (__TEXT,__text) external _apr_brigade_printf
000000027e540614 (__TEXT,__text) external _apr_brigade_putc
000000027e540640 (__TEXT,__text) external _apr_brigade_puts
