                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
0000000198401558 (__TEXT,__text) external _pcre_assign_jit_stack
00000001ea19c828 (__DATA,__common) external _pcre_callout
00000001983e3900 (__TEXT,__text) external _pcre_compile
00000001983e3914 (__TEXT,__text) external _pcre_compile2
00000001983ed018 (__TEXT,__text) external _pcre_config
00000001984011c0 (__TEXT,__text) external _pcre_copy_named_substring
0000000198401150 (__TEXT,__text) external _pcre_copy_substring
00000001983ed0e8 (__TEXT,__text) external _pcre_dfa_exec
00000001983f333c (__TEXT,__text) external _pcre_exec
00000001ed521010 (__AUTH,__data) external _pcre_free
00000001984032c8 (__TEXT,__text) external _pcre_free_study
000000019840153c (__TEXT,__text) external _pcre_free_substring
0000000198401410 (__TEXT,__text) external _pcre_free_substring_list
0000000198400bd8 (__TEXT,__text) external _pcre_fullinfo
00000001984014c0 (__TEXT,__text) external _pcre_get_named_substring
0000000198400e98 (__TEXT,__text) external _pcre_get_stringnumber
0000000198400fa0 (__TEXT,__text) external _pcre_get_stringtable_entries
0000000198401420 (__TEXT,__text) external _pcre_get_substring
0000000198401304 (__TEXT,__text) external _pcre_get_substring_list
000000019840155c (__TEXT,__text) external _pcre_jit_free_unused_memory
000000019840154c (__TEXT,__text) external _pcre_jit_stack_alloc
0000000198401554 (__TEXT,__text) external _pcre_jit_stack_free
0000000198401560 (__TEXT,__text) external _pcre_maketables
00000001ed521008 (__AUTH,__data) external _pcre_malloc
00000001983e36e0 (__TEXT,__text) external _pcre_pattern_to_host_byte_order
0000000198401d84 (__TEXT,__text) external _pcre_refcount
00000001ed521020 (__AUTH,__data) external _pcre_stack_free
00000001ea19c830 (__DATA,__common) external _pcre_stack_guard
00000001ed521018 (__AUTH,__data) external _pcre_stack_malloc
0000000198401de8 (__TEXT,__text) external _pcre_study
00000001984038c8 (__TEXT,__text) external _pcre_version
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
