00007ff900e7ae86 (__TEXT,__text) external _MarcoAction
00007ff900e7ae8e (__TEXT,__text) external _MarcoActionWithUserInfo
00007ff900e7ae2e (__TEXT,__text) external _MarcoAddCallMetric
00007ff900e7ae36 (__TEXT,__text) external _MarcoAddCallMetric_Double
00007ff900e7ae3e (__TEXT,__text) external _MarcoAddCallMetric_Float
00007ff900e7ae46 (__TEXT,__text) external _MarcoAddCallMetric_Int
00007ff900e7ae4e (__TEXT,__text) external _MarcoAddCallMetric_Short
00007ff900e7aeb6 (__TEXT,__text) external _MarcoAddLogFile
00007ff900e7ae26 (__TEXT,__text) external _MarcoBeginSession
00007ff900e7af2e (__TEXT,__text) external _MarcoCanLogMadridMessageBodies
00007ff900e7af26 (__TEXT,__text) external _MarcoCanLogMadridMessageBodiesCF
00007ff900e7adda (__TEXT,__text) external _MarcoConnect
00007ff900e7ade5 (__TEXT,__text) external _MarcoDiconnect
00007ff900e7adca (__TEXT,__text) external _MarcoEndSession
00007ff900e7ae7e (__TEXT,__text) external _MarcoEvent
00007ff900e7ae6e (__TEXT,__text) external _MarcoLog
00007ff900e7ae5e (__TEXT,__text) external _MarcoLogCallInfo
00007ff900e7af36 (__TEXT,__text) external _MarcoLogLocalPreview
00007ff900e7af55 (__TEXT,__text) external _MarcoLogLocalPreviewEvent
00007ff900e7aece (__TEXT,__text) external _MarcoLogMadrid
00007ff900e7aed6 (__TEXT,__text) external _MarcoLogMadridCF
00007ff900e7aeee (__TEXT,__text) external _MarcoLogMadridCF_V
00007ff900e7ad9a (__TEXT,__text) external _MarcoLogMadridEvent
00007ff900e7aede (__TEXT,__text) external _MarcoLogMadridEventCF
00007ff900e7af06 (__TEXT,__text) external _MarcoLogMadridEventCF_V
00007ff900e7adba (__TEXT,__text) external _MarcoLogMadridLevel
00007ff900e7aef6 (__TEXT,__text) external _MarcoLogMadridLevelCF_V
00007ff900e7aebe (__TEXT,__text) external _MarcoLogRegistration
00007ff900e7ada2 (__TEXT,__text) external _MarcoLoggingStringForMessageData
00007ff900e7ae06 (__TEXT,__text) external _MarcoMadridLogLevel
00007ff900e7ae66 (__TEXT,__text) external _MarcoNoteCheckpoint
00007ff900e7ae56 (__TEXT,__text) external _MarcoNoteQuality
00007ff900e7ae96 (__TEXT,__text) external _MarcoPerformSnapshot
00007ff900e7ae76 (__TEXT,__text) external _MarcoPulse
00007ff900e7aea6 (__TEXT,__text) external _MarcoSetFailureReason
00007ff900e7ae9e (__TEXT,__text) external _MarcoSetInitiator
00007ff900e7aeae (__TEXT,__text) external _MarcoSetRecipient
00007ff900e7adb2 (__TEXT,__text) external _MarcoShouldLog
00007ff900e7ae0e (__TEXT,__text) external _MarcoShouldLogCallMetric
00007ff900e7add2 (__TEXT,__text) external _MarcoShouldLogCheckpoints
00007ff900e7adc2 (__TEXT,__text) external _MarcoShouldLogLocalPreview
00007ff900e7adfe (__TEXT,__text) external _MarcoShouldLogMadrid
00007ff900e7af16 (__TEXT,__text) external _MarcoShouldLogMadridCF
00007ff900e7adaa (__TEXT,__text) external _MarcoShouldLogMadridEvent
00007ff900e7af1e (__TEXT,__text) external _MarcoShouldLogMadridEventCF
00007ff900e7ad8a (__TEXT,__text) external _MarcoShouldLogMadridLevel
00007ff900e7aefe (__TEXT,__text) external _MarcoShouldLogMadridLevelCF
00007ff900e7ae16 (__TEXT,__text) external _MarcoShouldLogQuality
00007ff900e7adf6 (__TEXT,__text) external _MarcoShouldLogRegistration
00007ff900e7ae1e (__TEXT,__text) external _MarcoStartPing
00007ff900e7adf0 (__TEXT,__text) external _MarcoSyncLoggingsPreferences
00007ff900e7af4a (__TEXT,__text) external _MarcoWarnLocalPreview
00007ff900e7ad92 (__TEXT,__text) external _MarcoWarnMadrid
00007ff900e7aee6 (__TEXT,__text) external _MarcoWarnMadridCF
00007ff900e7af0e (__TEXT,__text) external _MarcoWarnMadridCF_V
00007ff900e7aec6 (__TEXT,__text) external _MarcoWarnRegistration
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
