                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
000000027f1554e0 (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
000000027f155f5c (__TEXT,__const) external _libopenpam
000000027f155a00 (__TEXT,__text) external _misc_conv
000000027f15570c (__TEXT,__text) external _pam_acct_mgmt
000000027f155614 (__TEXT,__text) external _pam_authenticate
000000027f155788 (__TEXT,__text) external _pam_chauthtok
000000027f155880 (__TEXT,__text) external _pam_close_session
000000027f1555a0 (__TEXT,__text) external _pam_end
000000027f155c48 (__TEXT,__text) external _pam_get_data
000000027f15597c (__TEXT,__text) external _pam_get_item
000000027f155e78 (__TEXT,__text) external _pam_get_pass
000000027f155d58 (__TEXT,__text) external _pam_get_user
000000027f155b70 (__TEXT,__text) external _pam_getenv
000000027f155be0 (__TEXT,__text) external _pam_getenvlist
000000027f155808 (__TEXT,__text) external _pam_open_session
000000027f155ddc (__TEXT,__text) external _pam_prompt
000000027f155afc (__TEXT,__text) external _pam_putenv
000000027f155ccc (__TEXT,__text) external _pam_set_data
000000027f1558f8 (__TEXT,__text) external _pam_set_item
000000027f155690 (__TEXT,__text) external _pam_setcred
000000027f155514 (__TEXT,__text) external _pam_start
000000027f155a8c (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
000000027f155480 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
000000027f155490 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
000000027f1554dc (__TEXT,__text) external _xlate_pam_shim_item_type
000000027f1554b8 (__TEXT,__text) external _xlate_pam_shim_retval
000000027f1554a4 (__TEXT,__text) external _xlate_pam_shim_session_flags
000000027f1554b0 (__TEXT,__text) external _xlate_pam_shim_setcred_flags
