                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
00007ff817dbc911 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
00007ff817db9650 (__TEXT,__text) external _FSp_profile_init
00007ff817db965d (__TEXT,__text) external _FSp_profile_init_path
00007ff817dbc91c (__TEXT,__text) external _FSp_put_svc_key
00007ff817dbc927 (__TEXT,__text) external _FSp_read_service_key
00007ff843d2b0c0 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00007ff843d2b0e0 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00007ff843d2b090 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00007ff843d2b070 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00007ff843d2b030 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00007ff843d2b050 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00007ff843d2b010 (__DATA,__data) external _GSS_C_NT_USER_NAME
00007ff843d2b170 (__DATA,__data) external _GSS_KRB5_MECHANISM
00007ff843d2b138 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00007ff843d2b100 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00007ff843d2b148 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00007ff843d2b128 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
00007ff817dbca78 (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
00007ff817dbca6d (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
00007ff817dbc9ed (__TEXT,__text) external _KClientAddCredentialsDeprecated
00007ff817dbc95e (__TEXT,__text) external _KClientAddRealmMapDeprecated
00007ff817dbc98a (__TEXT,__text) external _KClientAddServerMapDeprecated
00007ff817dbcc67 (__TEXT,__text) external _KClientAddServiceKey
00007ff817dbc932 (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
00007ff817dbccca (__TEXT,__text) external _KClientDecrypt
00007ff817dbcafc (__TEXT,__text) external _KClientDecryptCompat
00007ff817dbc9f8 (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
00007ff817dbc969 (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
00007ff817dbc995 (__TEXT,__text) external _KClientDeleteServerMapDeprecated
00007ff817dbc9d7 (__TEXT,__text) external _KClientDeleteSessionDeprecated
00007ff817dbcd17 (__TEXT,__text) external _KClientDisposePrincipal
00007ff817dbcbac (__TEXT,__text) external _KClientDisposeSession
00007ff817dbca99 (__TEXT,__text) external _KClientDisposeSessionCompat
