00007ff812df7ca6 (__TEXT,__text) non-external _Annihilate
00007ff812e3afff (__TEXT,__text) non-external _BlockSplitterAddSymbolCommand
00007ff812e3b073 (__TEXT,__text) non-external _BlockSplitterAddSymbolDistance
00007ff812e3b039 (__TEXT,__text) non-external _BlockSplitterAddSymbolLiteral
00007ff812e3c4de (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
00007ff812e3cd6b (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
00007ff812e3b0ad (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
00007ff812df7a9f (__TEXT,__text) non-external (was a private external) _BrotliAllocate
00007ff812e189ef (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
00007ff812de8e18 (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
00007ff812df7d6e (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
00007ff812de91af (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
00007ff812e39917 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
00007ff812e3a382 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
00007ff812de942c (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
00007ff812dffd78 (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00007ff812e0f9a0 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
00007ff812e1060b (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
00007ff812e0ed35 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
00007ff812e0f0bd (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
00007ff812e0fd28 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
00007ff812e0e452 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
00007ff812df1754 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
00007ff812df2f3e (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00007ff812df45b8 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
00007ff812df5c32 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
00007ff812df18c4 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
00007ff812e309f8 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
00007ff812e31d54 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
00007ff812e325d0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
00007ff812e32e4c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
00007ff812e336c8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00007ff812e33f44 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
00007ff812e347c0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
00007ff812e3503c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
00007ff812e3595b (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
00007ff812e30c5c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
00007ff812e314d8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00007ff812e09040 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00007ff812e20634 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00007ff812e1326d (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00007ff812e085f9 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
00007ff812e13144 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00007ff812dfe45c (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00007ff812dfe534 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00007ff812dfe613 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00007ff812dfe4ff (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00007ff812e02755 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00007ff812e0274c (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00007ff812e0262c (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00007ff812e048c3 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00007ff812e0270e (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00007ff812e026f5 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00007ff812dfe410 (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00007ff812e04888 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00007ff812e047f8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00007ff812e04699 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00007ff812e0477f (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00007ff812e02660 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00007ff812deefb7 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00007ff812dfe1a5 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00007ff812dfe1b2 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00007ff812df8efb (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00007ff812dea13b (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00007ff812debda0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00007ff812de9ec0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00007ff812dea00d (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00007ff812deef34 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00007ff812decd6c (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00007ff812dea111 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00007ff812de9e20 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00007ff812deef47 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00007ff812deefb7 (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00007ff812e00fc4 (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00007ff812e07648 (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
00007ff812e2e434 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
00007ff812e44c9c (__TEXT,__text) non-external _BrotliFindAllStaticDictionaryMatches.cold.1
00007ff812e44c9c (__TEXT,__text) non-external _BrotliFindAllStaticDictionaryMatches.cold.2
00007ff812df7bb2 (__TEXT,__text) non-external (was a private external) _BrotliFree
00007ff812df7d5b (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
00007ff812e1737c (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
00007ff812e0f5fd (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
00007ff812e10268 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
00007ff812e0e992 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
00007ff812e0f34a (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
00007ff812e0ffb5 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
00007ff812e0e6df (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
00007ff812e0f80c (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
00007ff812e10477 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
00007ff812e0eba1 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00007ff812e0f68a (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00007ff812e102f5 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00007ff812e0ea1f (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00007ff812dfe271 (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00007ff812df8ee7 (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
00007ff812e397e0 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
00007ff812e17318 (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00007ff812df7a5d (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
00007ff812e11332 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
00007ff812e302e0 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
00007ff812e3a9bb (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00007ff812e0886e (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
00007ff812e1d308 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
00007ff812e1d848 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
00007ff812e1cdf4 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
00007ff812e65770 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00007ff812dfe2d4 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00007ff812e0855f (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00007ff812df7d68 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00007ff812df8f36 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
00007ff812e1872d (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
00007ff812e99d08 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
00007ff812e99d02 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
00007ff812e99cf0 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
00007ff812e19109 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
00007ff812e1ba2e (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00007ff812df732d (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff812e1b097 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
00007ff812e1be48 (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
00007ff812e17389 (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00007ff812dfe285 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00007ff812df7bf7 (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00007ff812e08c57 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00007ff812e11683 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
00007ff812e11355 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
00007ff812e19cf8 (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00007ff812df7830 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
00007ff812e1ac20 (__TEXT,__text) non-external _BuildAndStoreEntropyCodesDistance
00007ff812e1b3de (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00007ff812df73e6 (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
00007ff812e1b316 (__TEXT,__text) non-external _BuildHistograms
00007ff812e45670 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
00007ff812e45770 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00007ff812deefc2 (__TEXT,__text) non-external _ChooseDistanceParams
00007ff812df7aee (__TEXT,__text) non-external _CollectGarbagePointers
00007ff812e3a18c (__TEXT,__text) non-external _ComputeDistanceCost
00007ff812e130c4 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
00007ff812e3b93a (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00007ff812e009c0 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
00007ff812e207f4 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00007ff812e216ec (__TEXT,__text) non-external _CreateBackwardReferencesNH3
00007ff812e2aaaf (__TEXT,__text) non-external _CreateBackwardReferencesNH35
00007ff812e222eb (__TEXT,__text) non-external _CreateBackwardReferencesNH4
00007ff812e25e8e (__TEXT,__text) non-external _CreateBackwardReferencesNH40
00007ff812e272d3 (__TEXT,__text) non-external _CreateBackwardReferencesNH41
00007ff812e287cc (__TEXT,__text) non-external _CreateBackwardReferencesNH42
00007ff812e23389 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
00007ff812e29dc1 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
00007ff812e2ba42 (__TEXT,__text) non-external _CreateBackwardReferencesNH55
00007ff812e24885 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
00007ff812e2cab1 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00007ff812df01c6 (__TEXT,__text) non-external _DecideOverLiteralContextModeling
00007ff812e45560 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00007ff812e02d44 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00007ff812e00b41 (__TEXT,__text) non-external _DecodeContextMap
00007ff812e03869 (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00007ff812e032e8 (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00007ff812dff80d (__TEXT,__text) non-external _DecodeMetaBlockLength
00007ff812dffdda (__TEXT,__text) non-external _DecodeVarLenUint8
00007ff812df72ac (__TEXT,__text) non-external _EmitUncompressedMetaBlock
00007ff812e1a235 (__TEXT,__text) non-external _EncodeContextMap
00007ff812dece9b (__TEXT,__text) non-external _EncodeData
00007ff812e12eee (__TEXT,__text) non-external _EvaluateNode
00007ff812defa95 (__TEXT,__text) non-external _ExtendLastCommand
00007ff812e65840 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff812ea3200 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff812ebbd20 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff812def8d7 (__TEXT,__text) non-external _GetBrotliStorage
00007ff812def94b (__TEXT,__text) non-external _GetHashTable
00007ff812e3ac89 (__TEXT,__text) non-external _InitBlockSplitterCommand
00007ff812e3ae44 (__TEXT,__text) non-external _InitBlockSplitterDistance
00007ff812e3aace (__TEXT,__text) non-external _InitBlockSplitterLiteral
00007ff812e45460 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00007ff812ebc220 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
00007ff812e453e0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
00007ff812e124ca (__TEXT,__text) non-external _InitZopfliCostModel
00007ff812def28e (__TEXT,__text) non-external _InitializeH6
00007ff812decd8a (__TEXT,__text) non-external _InjectFlushOrPushOutput
00007ff812e02811 (__TEXT,__text) non-external _InverseMoveToFrontTransform
00007ff812e0a2ce (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00007ff812e0a280 (__TEXT,__text) non-external _LZFSEIBootBufferPush
00007ff812e0a1a5 (__TEXT,__text) non-external _LZFSEIBootBufferPushN
00007ff812e3d5f8 (__TEXT,__text) non-external _MapStaticContexts
00007ff812def5e6 (__TEXT,__text) non-external _PrepareH35
00007ff812def2f5 (__TEXT,__text) non-external _PrepareH4
00007ff812def430 (__TEXT,__text) non-external _PrepareH40
00007ff812def430 (__TEXT,__text) non-external _PrepareH41
00007ff812def4d0 (__TEXT,__text) non-external _PrepareH42
00007ff812def363 (__TEXT,__text) non-external _PrepareH5
00007ff812def578 (__TEXT,__text) non-external _PrepareH54
00007ff812def6ee (__TEXT,__text) non-external _PrepareH55
00007ff812def3bf (__TEXT,__text) non-external _PrepareH6
00007ff812def7a0 (__TEXT,__text) non-external _PrepareH65
00007ff812e01069 (__TEXT,__text) non-external _ProcessCommands
00007ff812dfff95 (__TEXT,__text) non-external _ReadHuffmanCode
00007ff812e029f9 (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00007ff812e0350f (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00007ff812e02f1f (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00007ff812e0277f (__TEXT,__text) non-external _SafeDecodeSymbol
00007ff812e01ad4 (__TEXT,__text) non-external _SafeProcessCommands
00007ff812dff6c4 (__TEXT,__text) non-external _SaveErrorCode
00007ff812e1466c (__TEXT,__text) non-external _SetCost
00007ff812e175ae (__TEXT,__text) non-external _Shift
00007ff812def00e (__TEXT,__text) non-external _ShouldCompress
00007ff812e3627a (__TEXT,__text) non-external _ShouldCompress
00007ff812df7615 (__TEXT,__text) non-external _ShouldMergeBlock
00007ff812e45570 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00007ff812df7c32 (__TEXT,__text) non-external _SortPointers
00007ff812e45b50 (__TEXT,__const) non-external _SortPointers.gaps
00007ff812e364d0 (__TEXT,__text) non-external _StoreCommands
00007ff812e9aa70 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
00007ff812e9a870 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
00007ff812e19bb1 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
00007ff812e1b747 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
00007ff812e1ad0f (__TEXT,__text) non-external _StoreSymbol
00007ff812e1aec7 (__TEXT,__text) non-external _StoreSymbolWithContext
00007ff812e19fed (__TEXT,__text) non-external _StoreTrivialContextMap
00007ff812e1bfc6 (__TEXT,__text) non-external _StoreVarLenUint8
00007ff812df77ad (__TEXT,__text) non-external _UpdateBits
