                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80de638f2 (__TEXT,__text) non-external _au_assemble
00007ff80de64d6e (__TEXT,__text) external _au_bsm_to_domain
00007ff80de6fef5 (__TEXT,__text) external _au_bsm_to_errno
00007ff80de6ffa3 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
00007ff80de6c06c (__TEXT,__text) external _au_bsm_to_socket_type
00007ff80de63b49 (__TEXT,__text) external _au_close
00007ff80de63bfa (__TEXT,__text) external _au_close_buffer
00007ff80de63cba (__TEXT,__text) external _au_close_token
00007ff80de63827 (__TEXT,__text) external _au_close_with_errors
00007ff843742d04 (__DATA,__bss) non-external _au_cond
00007ff80de64d43 (__TEXT,__text) external _au_domain_to_bsm
00007ff80de6fec7 (__TEXT,__text) external _au_errno_to_bsm
00007ff80de6ff78 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
00007ff80de632a7 (__TEXT,__text) external _au_fetch_tok
00007ff80de63635 (__TEXT,__text) external _au_free_token
00007ff80de6bf6b (__TEXT,__text) external _au_get_state
00007ff80de6becb (__TEXT,__text) external _au_notify_initialize
00007ff80de6bf52 (__TEXT,__text) external _au_notify_terminate
00007ff80de6365f (__TEXT,__text) external _au_open
00007ff84137ff60 (__DATA_CONST,__const) non-external _au_polstr
00007ff80de6412d (__TEXT,__text) external _au_poltostr
00007ff80de6bcc1 (__TEXT,__text) external _au_preselect
00007ff80de66b1c (__TEXT,__text) external _au_print_flags_tok
00007ff80de6af54 (__TEXT,__text) external _au_print_tok
00007ff80de6af6e (__TEXT,__text) external _au_print_tok_xml
00007ff80de65649 (__TEXT,__text) external _au_print_xml_footer
00007ff80de65608 (__TEXT,__text) external _au_print_xml_header
00007ff80de6af8e (__TEXT,__text) external _au_read_rec
00007ff80de6fe87 (__TEXT,__text) external _au_sdev_close
00007ff80de6feba (__TEXT,__text) external _au_sdev_fd
00007ff80de62e6f (__TEXT,__text) external _au_sdev_open
00007ff80de62f42 (__TEXT,__text) external _au_sdev_read_aia
00007ff841380050 (__DATA_CONST,__const) non-external _au_sflagsstr
00007ff80de64296 (__TEXT,__text) external _au_sflagstostr
00007ff80de6c041 (__TEXT,__text) external _au_socket_type_to_bsm
00007ff80de6480f (__TEXT,__text) non-external _au_spacetobytes
00007ff80de6ff34 (__TEXT,__text) external _au_strerror
00007ff80de641d0 (__TEXT,__text) external _au_strtopol
00007ff80de64336 (__TEXT,__text) external _au_strtosflags
00007ff80de63a9e (__TEXT,__text) non-external _au_teardown
00007ff80de6c26a (__TEXT,__text) external _au_to_arg
00007ff80de6c077 (__TEXT,__text) external _au_to_arg32
00007ff80de6c15b (__TEXT,__text) external _au_to_arg64
00007ff80de6e0a3 (__TEXT,__text) external _au_to_certificate_hash
00007ff80de6c274 (__TEXT,__text) external _au_to_data
00007ff80de6df60 (__TEXT,__text) external _au_to_exec_args
00007ff80de6e094 (__TEXT,__text) external _au_to_exec_env
00007ff80de6c359 (__TEXT,__text) external _au_to_exit
00007ff80de6c888 (__TEXT,__text) external _au_to_file
00007ff80de6c3fc (__TEXT,__text) external _au_to_groups
00007ff80de6e799 (__TEXT,__text) external _au_to_header
00007ff80de6e6f3 (__TEXT,__text) external _au_to_header32
00007ff80de6e661 (__TEXT,__text) external _au_to_header32_ex
00007ff80de6e3c4 (__TEXT,__text) external _au_to_header32_ex_tm
00007ff80de6e2c9 (__TEXT,__text) external _au_to_header32_tm
