                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff812d3835d (__TEXT,__text) external ___cmph_dump
00007ff812d383b9 (__TEXT,__text) external ___cmph_load
00007ff812d38353 (__TEXT,__text) external ___config_destroy
00007ff812d38314 (__TEXT,__text) external ___config_new
00007ff812d3b16d (__TEXT,__text) non-external ___jenkins_hash_vector
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff812d2e5a5 (__TEXT,__text) external _bdz_config_destroy
00007ff812d2e568 (__TEXT,__text) external _bdz_config_new
00007ff812d2e5b3 (__TEXT,__text) external _bdz_config_set_b
00007ff812d2e5ce (__TEXT,__text) external _bdz_config_set_hashfuncs
00007ff812d2f56b (__TEXT,__text) external _bdz_destroy
00007ff812d2f141 (__TEXT,__text) external _bdz_dump
00007ff812d2f836 (__TEXT,__text) non-external _bdz_dump_graph
00007ff812d2f288 (__TEXT,__text) external _bdz_load
00007ff812d3cd70 (__TEXT,__const) external _bdz_lookup_table
00007ff812d2e5e2 (__TEXT,__text) external _bdz_new
00007ff812d2f5a8 (__TEXT,__text) external _bdz_pack
00007ff812d2f64e (__TEXT,__text) external _bdz_packed_size
00007ff812d2f8ef (__TEXT,__text) external _bdz_ph_config_destroy
00007ff812d2f8c1 (__TEXT,__text) external _bdz_ph_config_new
00007ff812d3c113 (__TEXT,__text) non-external _bdz_ph_config_new.cold.1
00007ff812d2f8fd (__TEXT,__text) external _bdz_ph_config_set_hashfuncs
00007ff812d30659 (__TEXT,__text) external _bdz_ph_destroy
00007ff812d3034b (__TEXT,__text) external _bdz_ph_dump
00007ff812d3087e (__TEXT,__text) non-external _bdz_ph_dump_graph
00007ff812d30437 (__TEXT,__text) external _bdz_ph_load
00007ff812d2f910 (__TEXT,__text) external _bdz_ph_new
00007ff812d3068d (__TEXT,__text) external _bdz_ph_pack
00007ff812d30703 (__TEXT,__text) external _bdz_ph_packed_size
00007ff812d30559 (__TEXT,__text) external _bdz_ph_search
00007ff812d30744 (__TEXT,__text) external _bdz_ph_search_packed
00007ff812d2f420 (__TEXT,__text) external _bdz_search
00007ff812d2f695 (__TEXT,__text) external _bdz_search_packed
00007ff812d3ce70 (__TEXT,__const) non-external _bitmask
00007ff812d3ce90 (__TEXT,__const) non-external _bitmask
00007ff812d3d3b8 (__TEXT,__const) non-external _bitmask
00007ff812d3d3c8 (__TEXT,__const) non-external _bitmask
00007ff812d3d598 (__TEXT,__const) non-external _bitmask
00007ff812d3d640 (__TEXT,__const) non-external _bitmask
00007ff812d3d420 (__TEXT,__const) non-external _bitmask32
00007ff812d3d510 (__TEXT,__const) non-external _bitmask32
00007ff812d3d5a0 (__TEXT,__const) non-external _bitmask32
00007ff812d31d44 (__TEXT,__text) external _bmz8_config_destroy
00007ff812d31d13 (__TEXT,__text) external _bmz8_config_new
00007ff812d31d52 (__TEXT,__text) external _bmz8_config_set_hashfuncs
00007ff812d32e49 (__TEXT,__text) external _bmz8_destroy
00007ff812d32b49 (__TEXT,__text) external _bmz8_dump
00007ff812d32c6b (__TEXT,__text) external _bmz8_load
00007ff812d31d85 (__TEXT,__text) external _bmz8_new
00007ff812d3c17c (__TEXT,__text) non-external _bmz8_new.cold.1
00007ff812d32e96 (__TEXT,__text) external _bmz8_pack
00007ff812d32f38 (__TEXT,__text) external _bmz8_packed_size
00007ff812d32dc6 (__TEXT,__text) external _bmz8_search
00007ff812d32f8c (__TEXT,__text) external _bmz8_search_packed
00007ff812d3305e (__TEXT,__text) non-external _bmz8_traverse
00007ff812d3c19f (__TEXT,__text) non-external _bmz8_traverse.cold.1
00007ff812d3096a (__TEXT,__text) external _bmz_config_destroy
00007ff812d30939 (__TEXT,__text) external _bmz_config_new
00007ff812d30978 (__TEXT,__text) external _bmz_config_set_hashfuncs
00007ff812d31a0e (__TEXT,__text) external _bmz_destroy
00007ff812d3171d (__TEXT,__text) external _bmz_dump
00007ff812d31845 (__TEXT,__text) external _bmz_load
00007ff812d309ab (__TEXT,__text) external _bmz_new
00007ff812d3c136 (__TEXT,__text) non-external _bmz_new.cold.1
