000000025873f880 (__DATA,__common) external _AfterColour
0000000258741210 (__DATA,__common) external _ApplyExtTspWithoutProfile
00000002587425c8 (__DATA,__common) external _AsmMacroMaxNestingDepth
000000025873aa08 (__DATA,__common) external _BBSectionsDetectSourceDrift
000000025873f798 (__DATA,__common) external _BeforeColour
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCStringNoCopy (from CoreFoundation)
000000025873b5c8 (__DATA,__common) external _CheapRematWeight
000000025873f968 (__DATA,__common) external _CommonColour
000000025873b370 (__DATA,__common) external _CopyWeight
000000025873f180 (__DATA,__common) external _DisableBitcodeVersionUpgrade
0000000258741150 (__DATA,__common) external _EnableExtTspBlockPlacement
000000025873e728 (__DATA,__common) external _EnableLTOInternalization
0000000258742440 (__DATA,__common) external _EnableVPlanNativePath
0000000258742380 (__DATA,__common) external _EnableVPlanPredication
000000025873b2a8 (__DATA,__common) external _EvictInterferenceCutoff
000000025873b690 (__DATA,__common) external _ExpensiveRematWeight
0000000258394510 (__DATA_DIRTY,__common) external _FSEC
0000000258740870 (__DATA,__common) external _ForceFusion
000000025873a2e0 (__DATA,__common) external _ForceSummaryEdgesCold
00000002587406f0 (__DATA,__common) external _FuseMatrix
0000000258740158 (__DATA,__common) external _GenerateMergedBaseProfiles
00000002587399a0 (__DATA,__common) external _InlinerFunctionImportStats
0000000223c941fc (__TEXT,__text) external _LLVMABIAlignmentOfType
0000000223c941c0 (__TEXT,__text) external _LLVMABISizeOfType
0000000223381768 (__TEXT,__text) external _LLVMAGXRuntimeMajorVersion
0000000223381770 (__TEXT,__text) external _LLVMAGXRuntimeMinorVersion
0000000223d9c7f8 (__TEXT,__text) external _LLVMAddAddDiscriminatorsPass
00000002239f6358 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
0000000222ba6b4c (__TEXT,__text) external _LLVMAddAggressiveInstCombinerPass
000000022319c950 (__TEXT,__text) external _LLVMAddAlias
000000022319c9fc (__TEXT,__text) external _LLVMAddAlias2
00000002239f646c (__TEXT,__text) external _LLVMAddAlignmentFromAssumptionsPass
00000002234edd60 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
0000000223c96db0 (__TEXT,__text) external _LLVMAddAnalysisPasses
00000002234edb28 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
000000022319d014 (__TEXT,__text) external _LLVMAddAttributeAtIndex
00000002239f72c4 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00000002239f6410 (__TEXT,__text) external _LLVMAddBitTrackingDCEPass
00000002239f64c8 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
000000022319deb0 (__TEXT,__text) external _LLVMAddCallSiteAttribute
00000002234edb88 (__TEXT,__text) external _LLVMAddCalledValuePropagationPass
000000022319f420 (__TEXT,__text) external _LLVMAddCase
000000022319f458 (__TEXT,__text) external _LLVMAddClause
00000002234edbe4 (__TEXT,__text) external _LLVMAddConstantMergePass
0000000223e285a4 (__TEXT,__text) external _LLVMAddCoroCleanupPass
0000000223e2848c (__TEXT,__text) external _LLVMAddCoroEarlyPass
0000000223e28548 (__TEXT,__text) external _LLVMAddCoroElidePass
0000000223e284e8 (__TEXT,__text) external _LLVMAddCoroSplitPass
00000002239f7094 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00000002239f63b4 (__TEXT,__text) external _LLVMAddDCEPass
00000002234edc40 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00000002239f6574 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00000002239f6fd8 (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
000000022319f424 (__TEXT,__text) external _LLVMAddDestination
00000002239f7150 (__TEXT,__text) external _LLVMAddEarlyCSEMemSSAPass
00000002239f70f0 (__TEXT,__text) external _LLVMAddEarlyCSEPass
000000022319cb84 (__TEXT,__text) external _LLVMAddFunction
00000002234edc9c (__TEXT,__text) external _LLVMAddFunctionAttrsPass
00000002234edcf8 (__TEXT,__text) external _LLVMAddFunctionInliningPass
00000002239f662c (__TEXT,__text) external _LLVMAddGVNPass
000000022319c58c (__TEXT,__text) external _LLVMAddGlobal
00000002234eddc0 (__TEXT,__text) external _LLVMAddGlobalDCEPass
000000022319d4f0 (__TEXT,__text) external _LLVMAddGlobalIFunc
000000022319c634 (__TEXT,__text) external _LLVMAddGlobalInAddressSpace
00000002234ede28 (__TEXT,__text) external _LLVMAddGlobalOptimizerPass
000000022319f484 (__TEXT,__text) external _LLVMAddHandler
00000002234edee0 (__TEXT,__text) external _LLVMAddIPSCCPPass
000000022319e33c (__TEXT,__text) external _LLVMAddIncoming
00000002239f6758 (__TEXT,__text) external _LLVMAddIndVarSimplifyPass
0000000223590d80 (__TEXT,__text) external _LLVMAddInstructionCombiningPass
00000002239f67b4 (__TEXT,__text) external _LLVMAddInstructionSimplifyPass
00000002234edf98 (__TEXT,__text) external _LLVMAddInternalizePass
00000002234ee050 (__TEXT,__text) external _LLVMAddInternalizePassWithMustPreservePredicate
00000002239f6810 (__TEXT,__text) external _LLVMAddJumpThreadingPass
00000002239f68dc (__TEXT,__text) external _LLVMAddLICMPass
00000002239f6938 (__TEXT,__text) external _LLVMAddLoopDeletionPass
00000002239f69f0 (__TEXT,__text) external _LLVMAddLoopIdiomPass
00000002239f6ab0 (__TEXT,__text) external _LLVMAddLoopRerollPass
00000002239f6a4c (__TEXT,__text) external _LLVMAddLoopRotatePass
00000002239f6b98 (__TEXT,__text) external _LLVMAddLoopUnrollAndJamPass
00000002239f6b0c (__TEXT,__text) external _LLVMAddLoopUnrollPass
00000002239f6bf8 (__TEXT,__text) external _LLVMAddLoopUnswitchPass
0000000223ea78f4 (__TEXT,__text) external _LLVMAddLoopVectorizePass
00000002239f6c68 (__TEXT,__text) external _LLVMAddLowerAtomicPass
