
/Volumes/Macintosh HD 1/usr/lib/system/libsystem_kernel.dylib (for architecture i386):
00031320 (__DATA,__data) external _NDR_record
00013dfc (__TEXT,__text) non-external __Xexception_raise
00013eaf (__TEXT,__text) non-external __Xexception_raise_state
00013fc4 (__TEXT,__text) non-external __Xexception_raise_state_identity
00023a34 (__TEXT,__text) external _____old_semwait_signal_nocancel
00023a50 (__TEXT,__text) external _____sigwait_nocancel
00026718 (__TEXT,__const) external ____kernelVersionNumber
000266e0 (__TEXT,__const) external ____kernelVersionString
00023a6c (__TEXT,__text) external ___abort_with_payload
000075bc (__TEXT,__text) external ___accept
00023a88 (__TEXT,__text) external ___accept_nocancel
00023aa4 (__TEXT,__text) external ___access_extended
000245d0 (__TEXT,__text) external ___aio_suspend
00023ac0 (__TEXT,__text) external ___aio_suspend_nocancel
00006cbc (__TEXT,__text) external ___bind
00004118 (__TEXT,__text) external ___bsdthread_create
00002940 (__TEXT,__text) external ___bsdthread_ctl
00005784 (__TEXT,__text) external ___bsdthread_register
00003588 (__TEXT,__text) external ___bsdthread_terminate
0000a64f (__TEXT,__text) external ___carbon_delete
00023adc (__TEXT,__text) external ___channel_get_info
00023af8 (__TEXT,__text) external ___channel_get_opt
00023b14 (__TEXT,__text) external ___channel_open
00023b30 (__TEXT,__text) external ___channel_set_opt
00023b4c (__TEXT,__text) external ___channel_sync
000040c4 (__TEXT,__text) external ___chmod
00005318 (__TEXT,__text) external ___chmod_extended
00009b70 (__TEXT,__text) external ___close
00001c58 (__TEXT,__text) external ___close_nocancel
00023b68 (__TEXT,__text) external ___coalition
00023b84 (__TEXT,__text) external ___coalition_info
00023ba0 (__TEXT,__text) external ___coalition_ledger
000029e3 (__TEXT,__text) external ___commpage_gettimeofday
000029fb (__TEXT,__text) non-external (was a private external) ___commpage_gettimeofday_internal
00004550 (__TEXT,__text) external ___connect
0000448c (__TEXT,__text) external ___connect_nocancel
00023bbc (__TEXT,__text) external ___copyfile
00001c04 (__TEXT,__text) external ___csrctl
0000e652 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00025b88 (__TEXT,__text) non-external ___darwin_check_fd_set_overflow.cold.1
00025bb4 (__TEXT,__text) non-external ___darwin_check_fd_set_overflow.cold.2
0000a674 (__TEXT,__text) external ___delete
0000356c (__TEXT,__text) external ___disable_threadsignal
