00007ff8136f489e (__TEXT,__text) non-external _Annihilate
00007ff81373d30f (__TEXT,__text) non-external _BlockSplitterAddSymbolCommand
00007ff81373d383 (__TEXT,__text) non-external _BlockSplitterAddSymbolDistance
00007ff81373d349 (__TEXT,__text) non-external _BlockSplitterAddSymbolLiteral
00007ff81373e7f9 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
00007ff81373f091 (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
00007ff81373d3bd (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
00007ff8136f4686 (__TEXT,__text) non-external (was a private external) _BrotliAllocate
00007ff81371b4bf (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
00007ff8136e6084 (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
00007ff8136f4966 (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
00007ff8136e6287 (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
00007ff81373bd0b (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
00007ff81373c69a (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
00007ff8136e6506 (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
00007ff8136fca2c (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00007ff81371264b (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
00007ff813713256 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
00007ff813711a40 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
00007ff813711d12 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
00007ff81371291d (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
00007ff813711107 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
00007ff8136ee40c (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
00007ff8136efbc0 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00007ff8136f1204 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
00007ff8136f2848 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
00007ff8136ee57c (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
00007ff813732f20 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
00007ff81373424c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
00007ff813734ab0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
00007ff813735314 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
00007ff813735b78 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00007ff8137363dc (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
00007ff813736c40 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
00007ff8137374a4 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
00007ff813737dae (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
00007ff813733184 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
00007ff8137339e8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00007ff81370c310 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00007ff813722b4c (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00007ff813715e26 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00007ff81370b9ff (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
00007ff813715cfd (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00007ff8136fae58 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00007ff8136faf30 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00007ff8136fb00f (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00007ff8136faefb (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00007ff8136ff3ed (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00007ff8136ff3e4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00007ff8136ff2c4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00007ff8137014a7 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00007ff8136ff3a6 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00007ff8136ff38d (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00007ff8136fae0c (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00007ff81370146c (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00007ff8137013dc (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00007ff81370127d (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00007ff813701363 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00007ff8136ff2f8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00007ff8136ebfab (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00007ff8136faba2 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00007ff8136fabaf (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00007ff8136f5b22 (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00007ff8136e720f (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00007ff8136e8e10 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00007ff8136e6f94 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00007ff8136e70e1 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00007ff8136ebf28 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00007ff8136e9dd9 (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00007ff8136e71e5 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00007ff8136e6ef4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00007ff8136ebf3b (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00007ff8136ebfab (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00007ff8136fdc5c (__TEXT,__text) non-external _BrotliEnsureRingBuffer
