00007ff807464940 (__TEXT,__const) non-external _A1_Table
00007ff8070fb090 (__TEXT,__text) non-external _ARGB16UtoPlanar16U
00007ff8070faf80 (__TEXT,__text) non-external _ARGB8888toPlanar16Q12
00007ff806e07b00 (__TEXT,__text) non-external _ARGB8888toPlanar8
00007ff806e0c9e0 (__TEXT,__text) non-external _ARGBFFFFtoPlanarF
00007ff8405f1410 (__DATA_CONST,__const) non-external (was a private external) _AccumulateResult
00007ff806f4ff40 (__TEXT,__text) non-external (was a private external) _AccumulateResult_PlanarF
00007ff807462c00 (__TEXT,__const) non-external _AccumulateResult_PlanarF.index
00007ff8405f1490 (__DATA_CONST,__const) non-external (was a private external) _AccumulateResult_perm
00007ff8070fc910 (__TEXT,__text) non-external _AddAlphaPass_Print16
00007ff8070fc8b0 (__TEXT,__text) non-external _AddAlphaPass_Print8
00007ff8070fc970 (__TEXT,__text) non-external _AddAlphaPass_PrintF
00007ff8070e7ee0 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky16UAlphaFirst
00007ff8070e7ec0 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky16UAlphaLast
00007ff8070e7ea0 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky8AlphaFirst
00007ff8070e7e80 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky8AlphaLast
00007ff8070e7f30 (__TEXT,__text) non-external (was a private external) _AddAlpha_ChunkyFAlphaFirst
00007ff8070e7f00 (__TEXT,__text) non-external (was a private external) _AddAlpha_ChunkyFAlphaLast
00007ff806df3dc0 (__TEXT,__text) non-external (was a private external) _AddPassesToList
00007ff8074649e0 (__TEXT,__const) non-external _Ainv
00007ff8070f0650 (__TEXT,__text) non-external _Alpha8ConvertPass_Print
00007ff807467640 (__TEXT,__const) non-external _AlphaChannelIsFirst.AlphaChannelIsFirstTable
00007ff807467638 (__TEXT,__const) non-external _AlphaChannelIsLast.AlphaChannelIsLastTable
00007ff8405f4740 (__DATA_CONST,__const) non-external _AlphaName.AlphaNameTable
00007ff806df7b90 (__TEXT,__text) non-external _AnyToAnyBlock
00007ff806df7c40 (__TEXT,__text) non-external _AnyToAnyBlockInternal
00007ff807464990 (__TEXT,__const) non-external _B
00007ff806df3df0 (__TEXT,__text) non-external _BringOddballFormatsToMainstream
00007ff8418a40e8 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_CopyToCVPixelBuffer
00007ff8418a4008 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_GetSize
00007ff8418a4000 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_Init
00007ff8418a40f0 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitForCopyFromCVPixelBuffer
00007ff8418a40f8 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitForCopyToCVPixelBuffer
00007ff8418a4020 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitWithCGImage
00007ff8418a40e0 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitWithCVPixelBuffer
00007ff8405f4780 (__DATA_CONST,__const) non-external _ByteOrderName.ByteOrderNameTable
00007ff806df2660 (__TEXT,__text) non-external _CGBitmapInfoIsValid
00007ff8418a4010 (__DATA_DIRTY,__data) non-external (was a private external) _CGImageFormat_GetComponentCount
00007ff8418a4018 (__DATA_DIRTY,__data) non-external (was a private external) _CGImageFormat_IsEqual
00007ff841d748c8 (__DATA,__bss) non-external _CGInterfacesLibraryCore.frameworkLibrary
00007ff80705d960 (__TEXT,__text) non-external (was a private external) _CVConvertPass_Print
00007ff8418a4040 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Copy
00007ff8418a40b8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CopyChannelDescription
00007ff8418a4098 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CopyConversionMatrix
00007ff8418a4038 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Create
00007ff8418a4030 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CreateWithCVPixelBuffer
00007ff8418a40a0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetAlphaHint
00007ff8418a4060 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChannelCount
00007ff8418a40b0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChannelDescription
00007ff8418a4068 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChannelNames
00007ff8418a4080 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChromaSiting
00007ff8418a4070 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetColorSpace
00007ff8418a4090 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetConversionMatrix
00007ff8418a4058 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetFormatCode
00007ff8418a40c0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetUserData
00007ff8418a40d0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_InitvImageCGImageFormat
00007ff8418a40d8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Print
00007ff8418a4050 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Release
00007ff8418a4048 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Retain
00007ff8418a40a8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetAlphaHint
00007ff8418a4088 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetChromaSiting
00007ff8418a4078 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetColorSpace
00007ff8418a40c8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetUserData
00007ff806e145b0 (__TEXT,__text) non-external (was a private external) _CacheTable_Destroy
00007ff841d73a68 (__DATA,__data) non-external _CacheTable_GetCache.gCacheTable
00007ff841d73a70 (__DATA,__data) non-external _CacheTable_GetCache.predicate
00007ff806e04cf0 (__TEXT,__text) non-external (was a private external) _CacheTable_Init
00007ff80748cd00 (__TEXT,__const) non-external _CacheTable_Init.elementSize
00007ff806e04fd0 (__TEXT,__text) non-external _CacheTable_key_hash
00007ff806e07240 (__TEXT,__text) non-external _CacheTable_key_is_equal
00007ff8073d44a0 (__TEXT,__text) non-external _CacheTable_key_release
00007ff806e07200 (__TEXT,__text) non-external _CacheTable_key_retain
00007ff806e04f40 (__TEXT,__text) non-external _CacheTable_setup
00007ff806e36870 (__TEXT,__text) non-external _CacheTable_value_make_nonpurgeable
00007ff806e2bb00 (__TEXT,__text) non-external _CacheTable_value_make_purgeable
00007ff8073d44b0 (__TEXT,__text) non-external _CacheTable_value_release
00007ff806f01580 (__TEXT,__text) non-external (was a private external) _CalculateEdgePixel_Truncate
00007ff841d73a50 (__DATA,__data) non-external _CalculateNumThreads.cpuCount
00007ff8070fb120 (__TEXT,__text) non-external _ChunkyToPlanar16U
00007ff806dfd6d0 (__TEXT,__text) non-external _ChunkyToPlanar8
00007ff8070fb3c0 (__TEXT,__text) non-external _ChunkyToPlanarF
00007ff8070eebe0 (__TEXT,__text) non-external _ChunkyToPlanarPass_Print
00007ff806f29010 (__TEXT,__text) non-external (was a private external) _ColorFill_ARGB8888
00007ff806f1c890 (__TEXT,__text) non-external (was a private external) _ColorFill_ARGBFFFF
00007ff806e69f80 (__TEXT,__text) non-external (was a private external) _ColorFill_Planar8
00007ff806f17dc0 (__TEXT,__text) non-external (was a private external) _ColorFill_PlanarF
00007ff8070f54e0 (__TEXT,__text) non-external _CompressPassesToLUT
00007ff8405f7d60 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_8to64U_vtbl
00007ff8405f7d00 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar128_vtbl
00007ff8405f7b20 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar16_vtbl
00007ff8405f7b80 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar24_vtbl
