                 (undefined) external _APP_SANDBOX_READ (from libsystem_sandbox)
00000001ea2e4388 (__AUTH,__data) external _CMFSSEAM_DEFAULT
000000018b2d1fd4 (__TEXT,__const) external _CONTAINER_CURRENT_MOBILE_UID
000000018b2d1fdc (__TEXT,__const) external _CONTAINER_INSTALLATION_UID
00000001e4260c38 (__DATA_CONST,__const) external _CONTAINER_NOTIFY_USER_INVALIDATED
00000001e4260c48 (__DATA_CONST,__const) external _CONTAINER_PERSONA_CURRENT
00000001e7bf51c8 (__DATA,__bss) non-external _CONTAINER_PERSONA_CURRENT_block_invoke.cache
00000001e7bf51d0 (__DATA,__bss) non-external _CONTAINER_PERSONA_CURRENT_block_invoke.lock
00000001e7bf51d8 (__DATA,__bss) non-external _CONTAINER_PERSONA_CURRENT_block_invoke.once_token
000000018b2d1fe0 (__TEXT,__const) non-external _CONTAINER_PERSONA_CURRENT_block_invoke.persona_name_default
000000018b2d1fcc (__TEXT,__const) non-external _CONTAINER_PERSONA_DEFAULT
00000001e4260c40 (__DATA_CONST,__const) external _CONTAINER_PERSONA_PRIMARY
000000018b2d1fd8 (__TEXT,__const) external _CONTAINER_SYSTEM_UID
                 (undefined) external _SANDBOX_CHECK_NO_REPORT (from libsystem_sandbox)
                 (undefined) external _SANDBOX_EXTENSION_DEFAULT (from libsystem_sandbox)
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00000001e4260b10 (__DATA_CONST,__const) non-external __CONTAINER_NAMES
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
000000018b2c3218 (__TEXT,__text) non-external _____initialize_container_sandbox_extensions_block_invoke
000000018b2c3334 (__TEXT,__text) non-external _____initialize_container_sandbox_extensions_block_invoke_2
000000018b2c36e8 (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke
000000018b2c3784 (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke.13
000000018b2c3714 (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke.8
000000018b2c37c4 (__TEXT,__text) non-external _____locked_clear_per_persona_data_block_invoke
000000018b2c31f0 (__TEXT,__text) non-external _____locked_revoke_block_invoke
000000018b2cbe40 (__TEXT,__text) non-external ____container_async_reclaim_disk_space_block_invoke
000000018b2cbdcc (__TEXT,__text) non-external ____container_async_reclaim_disk_space_block_invoke_2
000000018b2cabd4 (__TEXT,__text) non-external ____container_legacy_lookup_multiple_block_invoke
000000018b2be038 (__TEXT,__text) non-external ____container_log_replication_enable_to_uid_relative_path_block_invoke
000000018b2be064 (__TEXT,__text) non-external ____container_log_replication_enable_to_uid_relative_path_block_invoke_2
000000018b2b34fc (__TEXT,__text) non-external ____container_paths_chown_component_block_invoke
000000018b2b8fe8 (__TEXT,__text) non-external ____container_xpc_default_sender_block_invoke
000000018b2b6058 (__TEXT,__text) non-external ____container_xpc_invalidate_shared_connection_after_timeout_block_invoke
000000018b2b5e18 (__TEXT,__text) non-external ____container_xpc_invalidate_shared_connection_after_timeout_block_invoke.12
000000018b2b9270 (__TEXT,__text) non-external ____container_xpc_pthread_key_for_client_context_block_invoke
                 (undefined) external ___assert_rtn (from libsystem_c)
00000001eba13b28 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001e42606a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1
00000001eba13db8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.1.269
00000001e42609b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1.340
00000001eba13f78 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.1.410
00000001eba14528 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.10
00000001eba14a08 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.102
00000001eba14a38 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.107
00000001eba13f18 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.11
00000001eba13fe8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.11.404
00000001eba14a68 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.110
00000001eba14a98 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.113
00000001eba14ac8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.116
00000001eba13e18 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.12
00000001eba14198 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.12.630
00000001eba14358 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.12.707
00000001eba14af8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.122
00000001eba14b28 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.125
00000001eba14b58 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.128
00000001e4260970 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.13
00000001eba14558 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.13.878
00000001eba14b88 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.131
00000001eba14bb8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.134
00000001eba14be8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.137
00000001eba141c8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.15
00000001eba14388 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.15.708
00000001eba14c18 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.151
00000001eba13b58 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.154
00000001eba14c48 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.155
00000001eba13b88 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.158
00000001eba14c78 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.158.933
00000001e4260bd0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
00000001eba14588 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16.879
00000001eba14ca8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.161
00000001eba14cd8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.164
00000001eba14d08 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.170
00000001eba14d38 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.174
00000001e4260c50 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.175
00000001eba141f8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.18
00000001eba14d88 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.180
00000001e4260680 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.185
00000001eba14db8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.185.939
00000001eba145b8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.19
00000001eba14de8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.198
00000001e4260c70 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.199
00000001e42606c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
00000001e42609d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2.342
00000001eba14e38 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.205
00000001eba143d8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.21
00000001eba145e8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.22
00000001eba13be8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.24
00000001eba14618 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.25
00000001eba13c18 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.26
00000001eba13d88 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.265
00000001eba13c48 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.28
00000001eba14648 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.28.880
00000001e4260ab0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.29
00000001e42606e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3
00000001e42609f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3.345
00000001e4260a10 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3.399
00000001eba14108 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.3.626
00000001eba14258 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.3.660
00000001e4260bb0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3.704
00000001eba14468 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.3.840
00000001e4260720 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.30
00000001eba13c98 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.31
00000001eba14678 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.31.884
00000001e4260910 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.329
00000001eba13cc8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.33
00000001e4260ad0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.33.552
00000001e4260990 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.335
00000001eba146a8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.34
00000001eba13cf8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.35
00000001eba13d28 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.38
00000001eba146d8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.38.886
00000001eba13f48 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.389
00000001e4260700 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.4
00000001eba13e88 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.4.347
00000001eba14288 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.4.665
00000001eba144c8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.4.863
00000001eba14708 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.41
00000001eba14738 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.44
00000001e4260a50 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.472
00000001eba14768 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.48
00000001e4260a70 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.481
00000001e4260a90 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.489
00000001e4260c18 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.5
00000001eba14798 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.54
00000001e4260af0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.558
00000001eba147c8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.57
00000001eba140d8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.592
00000001e4260930 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00000001eba14138 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.6.628
00000001eba147f8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.60
00000001eba14228 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.652
00000001eba14828 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.66
00000001eba13d58 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.67
00000001eba13bb8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.7
00000001eba13eb8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.7.372
00000001e4260a30 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.7.413
00000001eba142b8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.7.668
00000001eba14328 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.7.706
00000001eba144f8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.7.859
00000001eba14858 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.70
00000001e4260b90 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.700
00000001eba14888 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.73
00000001eba148b8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.76
00000001e4260bf0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.786
00000001eba148e8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.79
00000001e4260950 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.8
00000001eba13ee8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.8.376
00000001eba14408 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.808
00000001eba14918 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.83
00000001eba14438 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.834
00000001eba14498 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.855
00000001eba14948 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.86
00000001eba13de8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.9
00000001eba14168 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.9.629
00000001eba14978 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.90
00000001eba149a8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.95
00000001eba149d8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.99
00000001eba13c78 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001eba13e68 (__AUTH_CONST,__const) non-external ___block_literal_global.10
00000001eba143b8 (__AUTH_CONST,__const) non-external ___block_literal_global.18
00000001eba14e18 (__AUTH_CONST,__const) non-external ___block_literal_global.201
00000001eba14078 (__AUTH_CONST,__const) non-external ___block_literal_global.31
00000001eba13e48 (__AUTH_CONST,__const) non-external ___block_literal_global.318
00000001eba14098 (__AUTH_CONST,__const) non-external ___block_literal_global.35
00000001eba13fa8 (__AUTH_CONST,__const) non-external ___block_literal_global.397
00000001eba14018 (__AUTH_CONST,__const) non-external ___block_literal_global.470
00000001eba14038 (__AUTH_CONST,__const) non-external ___block_literal_global.479
00000001eba14058 (__AUTH_CONST,__const) non-external ___block_literal_global.487
00000001eba14308 (__AUTH_CONST,__const) non-external ___block_literal_global.5
00000001eba140b8 (__AUTH_CONST,__const) non-external ___block_literal_global.556
00000001eba142e8 (__AUTH_CONST,__const) non-external ___block_literal_global.695
00000001eba13fc8 (__AUTH_CONST,__const) non-external ___block_literal_global.9
00000001eba14d68 (__AUTH_CONST,__const) non-external ___block_literal_global.937
000000018b2d03e4 (__TEXT,__text) non-external ___container_acquire_sandbox_extension_block_invoke
000000018b2c9b4c (__TEXT,__text) non-external ___container_bundle_copy_data_container_block_invoke
000000018b2c9188 (__TEXT,__text) non-external ___container_bundle_copy_data_container_path_block_invoke
000000018b2cde10 (__TEXT,__text) non-external ___container_copy_code_signing_info_for_identifier_block_invoke
000000018b2d018c (__TEXT,__text) non-external ___container_copy_from_path_block_invoke
000000018b2c22a8 (__TEXT,__text) non-external ___container_copy_info_block_invoke
000000018b2ccafc (__TEXT,__text) non-external ___container_copy_info_value_for_key_block_invoke
000000018b2c29ec (__TEXT,__text) non-external ___container_copy_object_block_invoke
000000018b2c1f90 (__TEXT,__text) non-external ___container_copy_path_block_invoke
000000018b2cf9ec (__TEXT,__text) non-external ___container_copy_persona_unique_strings_block_invoke
000000018b2c2874 (__TEXT,__text) non-external ___container_copy_sandbox_token_block_invoke
000000018b2d0704 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_path_by_app_group_identifier_block_invoke
000000018b2d0f2c (__TEXT,__text) non-external ___container_create_or_lookup_app_group_path_by_app_group_identifier_block_invoke_2
000000018b2cad20 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_paths_for_current_user_block_invoke
000000018b2cae70 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_paths_for_platform_block_invoke
000000018b2cb144 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_paths_from_entitlements_4ls_block_invoke
000000018b2c9d44 (__TEXT,__text) non-external ___container_create_or_lookup_for_current_user_block_invoke
000000018b2c9ecc (__TEXT,__text) non-external ___container_create_or_lookup_for_platform_block_invoke
000000018b2c8714 (__TEXT,__text) non-external ___container_create_or_lookup_path_block_invoke
000000018b2c8868 (__TEXT,__text) non-external ___container_create_or_lookup_path_for_current_user_block_invoke
000000018b2c89f0 (__TEXT,__text) non-external ___container_create_or_lookup_path_for_platform_block_invoke
000000018b2ca484 (__TEXT,__text) non-external ___container_create_or_lookup_system_group_paths_block_invoke
000000018b2cf0a0 (__TEXT,__text) non-external ___container_create_or_lookup_user_managed_assets_path_block_invoke
000000018b2cf238 (__TEXT,__text) non-external ___container_create_or_lookup_user_managed_assets_relative_path_block_invoke
000000018b2cdb54 (__TEXT,__text) non-external ___container_delete_all_container_content_block_invoke
000000018b2cd968 (__TEXT,__text) non-external ___container_delete_all_data_container_content_for_current_user_block_invoke
000000018b2cc65c (__TEXT,__text) non-external ___container_delete_array_of_containers_block_invoke
000000018b2cc4d4 (__TEXT,__text) non-external ___container_delete_block_invoke
000000018b2cf390 (__TEXT,__text) non-external ___container_delete_user_managed_assets_block_invoke
000000018b2cc1c8 (__TEXT,__text) non-external ___container_delete_with_class_and_identifier_for_current_user_block_invoke
000000018b2cd62c (__TEXT,__text) non-external ___container_disk_usage_block_invoke
000000018b2cfc18 (__TEXT,__text) non-external ___container_flush_container_cache_block_invoke
000000018b2cfe28 (__TEXT,__text) non-external ___container_flush_persona_cache_block_invoke
000000018b2ad774 (__TEXT,__text) non-external ___container_frozenset_enumerate_matches_block_invoke
000000018b2cb68c (__TEXT,__text) non-external ___container_get_all_with_class_for_current_user_block_invoke
000000018b2cb404 (__TEXT,__text) non-external ___container_group_container_identifiers_for_current_user_block_invoke
000000018b2bc6dc (__TEXT,__text) non-external ___container_internal_get_first_boot_uuid_block_invoke
000000018b2ce070 (__TEXT,__text) non-external ___container_invalidate_code_signing_cache_block_invoke
000000018b2bcd18 (__TEXT,__text) non-external ___container_log_handle_for_category_block_invoke
000000018b2c49f8 (__TEXT,__text) non-external ___container_object_separate_from_query
000000018b2b4c08 (__TEXT,__text) non-external ___container_operation_complete_background_tasks_block_invoke
000000018b2b4244 (__TEXT,__text) non-external ___container_operation_delete_array_block_invoke
000000018b2b4020 (__TEXT,__text) non-external ___container_operation_delete_block_invoke
000000018b2b482c (__TEXT,__text) non-external ___container_operation_delete_reclaim_disk_space_block_invoke
000000018b2b01fc (__TEXT,__text) non-external ___container_paths_context_set_class_block_invoke
000000018b2b047c (__TEXT,__text) non-external ___container_paths_context_set_flags_block_invoke
000000018b2b05b8 (__TEXT,__text) non-external ___container_paths_context_set_persona_unique_string_block_invoke
000000018b2b033c (__TEXT,__text) non-external ___container_paths_context_set_transient_block_invoke
000000018b2b074c (__TEXT,__text) non-external ___container_paths_context_set_uid_block_invoke
000000018b2b2830 (__TEXT,__text) non-external ___container_paths_copy_container_root_path_for_context_block_invoke
000000018b2b36a8 (__TEXT,__text) non-external ___container_paths_copy_uid_home_relative_block_invoke
000000018b2b3000 (__TEXT,__text) non-external ___container_paths_create_uid_home_relative_block_invoke
000000018b2b1390 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke
000000018b2b1e74 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke.23
000000018b2b23d0 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke.25
000000018b2b2094 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke.29
