                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
00007ff811471f8e (__TEXT,__text) external __cg_jcopy_block_row
00007ff811471f38 (__TEXT,__text) external __cg_jcopy_sample_rows
00007ff811491f0c (__TEXT,__text) external __cg_jinit_1pass_quantizer
00007ff811468994 (__TEXT,__text) external __cg_jinit_2pass_quantizer
00007ff81147108d (__TEXT,__text) external __cg_jinit_c_coef_controller
00007ff811471fa7 (__TEXT,__text) external __cg_jinit_c_main_controller
00007ff81147dcc0 (__TEXT,__text) external __cg_jinit_c_master_control
00007ff81147217e (__TEXT,__text) external __cg_jinit_c_prep_controller
00007ff811467a80 (__TEXT,__text) external __cg_jinit_color_converter
00007ff8114705e4 (__TEXT,__text) external __cg_jinit_color_deconverter
00007ff811467969 (__TEXT,__text) external __cg_jinit_compress_master
00007ff81147cb03 (__TEXT,__text) external __cg_jinit_d_coef_controller
00007ff81147f4f9 (__TEXT,__text) external __cg_jinit_d_main_controller
00007ff8114800fb (__TEXT,__text) external __cg_jinit_d_post_controller
00007ff81148a197 (__TEXT,__text) external __cg_jinit_downsampler
00007ff81146fbe2 (__TEXT,__text) external __cg_jinit_forward_dct
00007ff81148b5cf (__TEXT,__text) external __cg_jinit_huff_decoder
00007ff81148f4d4 (__TEXT,__text) external __cg_jinit_huff_encoder
00007ff811473303 (__TEXT,__text) external __cg_jinit_input_controller
00007ff8114682b2 (__TEXT,__text) external __cg_jinit_inverse_dct
00007ff81146a13d (__TEXT,__text) external __cg_jinit_marker_reader
00007ff81148e268 (__TEXT,__text) external __cg_jinit_marker_writer
00007ff81147f004 (__TEXT,__text) external __cg_jinit_master_decompress
00007ff8114931c7 (__TEXT,__text) external __cg_jinit_memory_mgr
00007ff81148af46 (__TEXT,__text) external __cg_jinit_merged_upsampler
00007ff81147fbe4 (__TEXT,__text) external __cg_jinit_upsampler
00007ff811489dbd (__TEXT,__text) external __cg_jpeg_CreateCompress
00007ff811472868 (__TEXT,__text) external __cg_jpeg_CreateDecompress
00007ff81146c7ec (__TEXT,__text) external __cg_jpeg_abort
00007ff811489ef3 (__TEXT,__text) external __cg_jpeg_abort_compress
00007ff811472961 (__TEXT,__text) external __cg_jpeg_abort_decompress
00007ff81147bfb0 (__TEXT,__text) external __cg_jpeg_add_quant_table
00007ff81146c879 (__TEXT,__text) external __cg_jpeg_alloc_huff_table
00007ff81146c85c (__TEXT,__text) external __cg_jpeg_alloc_quant_table
00007ff81147ecd7 (__TEXT,__text) external __cg_jpeg_calc_output_dimensions
00007ff8114729da (__TEXT,__text) external __cg_jpeg_consume_input
00007ff81148dcbb (__TEXT,__text) external __cg_jpeg_copy_critical_parameters
00007ff81147c37a (__TEXT,__text) external __cg_jpeg_default_colorspace
00007ff81146c82e (__TEXT,__text) external __cg_jpeg_destroy
00007ff811489ee9 (__TEXT,__text) external __cg_jpeg_destroy_compress
00007ff811472957 (__TEXT,__text) external __cg_jpeg_destroy_decompress
00007ff811492bb3 (__TEXT,__text) external __cg_jpeg_fdct_float
00007ff81148d7ee (__TEXT,__text) external __cg_jpeg_fdct_ifast
00007ff811480b5d (__TEXT,__text) external __cg_jpeg_fdct_islow
00007ff811489f50 (__TEXT,__text) external __cg_jpeg_finish_compress
00007ff811472cbe (__TEXT,__text) external __cg_jpeg_finish_decompress
00007ff81148f44a (__TEXT,__text) external __cg_jpeg_finish_output
00007ff81146dea5 (__TEXT,__text) external __cg_jpeg_free_large
00007ff81146de86 (__TEXT,__text) external __cg_jpeg_free_small
00007ff81146de93 (__TEXT,__text) external __cg_jpeg_get_large
00007ff81146de74 (__TEXT,__text) external __cg_jpeg_get_small
00007ff811472c81 (__TEXT,__text) external __cg_jpeg_has_multiple_scans
00007ff8114750e8 (__TEXT,__text) external __cg_jpeg_idct_1x1
00007ff811475034 (__TEXT,__text) external __cg_jpeg_idct_2x2
00007ff811474cee (__TEXT,__text) external __cg_jpeg_idct_4x4
00007ff81148061c (__TEXT,__text) external __cg_jpeg_idct_float
00007ff81146f6eb (__TEXT,__text) external __cg_jpeg_idct_ifast
00007ff811473db6 (__TEXT,__text) external __cg_jpeg_idct_islow
00007ff811472c44 (__TEXT,__text) external __cg_jpeg_input_complete
00007ff81146deb2 (__TEXT,__text) external __cg_jpeg_mem_available
00007ff81146e0e8 (__TEXT,__text) external __cg_jpeg_mem_init
00007ff81146e0f3 (__TEXT,__text) external __cg_jpeg_mem_term
00007ff811494920 (__TEXT,__const) external __cg_jpeg_natural_order
