0000000180183c60 (__TEXT,__text) non-external K256
00000001801854f0 (__TEXT,__text) non-external K_XMM_AR
0000000180185530 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA1_compress
0000000180183d60 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA256_compress
0000000180184070 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA512_compress
000000018010f7f0 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA512_compress_hwassist
00000001801149b0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001801402e0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180182484 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001801149d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001801149f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001801149f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001801149f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001801149f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001801402f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001801149d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001801149d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001801149f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000180196b1c (__TEXT,__const) non-external (was a private external) _SANDBOX_CHECK_NO_REPORT
0000000180196ad0 (__TEXT,__const) non-external _UUID_NULL
00000001801a5589 (__TEXT,__cstring) non-external __0x
000000018015c140 (__TEXT,__text) non-external (was a private external) __Block_object_assign
000000018010ade8 (__TEXT,__text) non-external (was a private external) __Block_object_dispose
00000001801a5567 (__TEXT,__cstring) non-external __H
00000001edb4aea0 (__DATA,__common) non-external (was a private external) __NSConcreteGlobalBlock
00000001edb4ada0 (__DATA,__common) non-external (was a private external) __NSConcreteStackBlock
0000000180140310 (__TEXT,__text) non-external (was a private external) __Z10murmurHashPKviy
0000000180167d30 (__TEXT,__text) non-external (was a private external) __Z11signPointeryPvbt11ptrauth_key
0000000180194454 (__TEXT,__text) non-external __Z11signPointeryPvbt11ptrauth_key.cold.1
00000001801144b8 (__TEXT,__text) non-external (was a private external) __Z17appendHexToStringIiEvPcT_y
0000000180114418 (__TEXT,__text) non-external (was a private external) __Z17appendHexToStringIyEvPcT_y
00000001801711f0 (__TEXT,__text) non-external (was a private external) __Z5cksumNSt3__14spanISt4byteLm18446744073709551615EEE
00000001edb4a940 (__DATA,__data) non-external __ZL12sProcessInfo
0000000180114190 (__TEXT,__text) non-external __ZL15OSMemoryBarrierv
00000001ee4c5380 (__DATA_CONST,__const) non-external __ZL15cryptexPrefixes
00000001801401dc (__TEXT,__text) non-external __ZL15hactivateRegionbbyyy
0000000180193af0 (__TEXT,__text) non-external __ZL15hactivateRegionbbyyy.cold.1
