00000001e01a6300 (__DATA,__common) external _BC
00000001e01a61ac (__DATA,__common) external _COLORS
000000019fd9c210 (__TEXT,__text) external _COLOR_PAIR
00000001e01a61a8 (__DATA,__common) external _COLOR_PAIRS
00000001e01a62ec (__DATA,__common) external _COLS
00000001e01a5d28 (__DATA,__data) external _ESCDELAY
00000001e01a62e8 (__DATA,__common) external _LINES
000000019fd9d3b4 (__TEXT,__text) external _PAIR_NUMBER
00000001e01a630c (__DATA,__common) external _PC
00000001e01a61d8 (__DATA,__common) external _SP
00000001e01a62f0 (__DATA,__common) external _TABSIZE
00000001e01a62f8 (__DATA,__common) external _UP
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
000000019fd7b0f0 (__TEXT,__text) external __nc_access
000000019fd7d90c (__TEXT,__text) external __nc_add_to_try
000000019fd7e0f8 (__TEXT,__text) external __nc_align_termtype
000000019fd7d880 (__TEXT,__text) external __nc_basename
000000019fd7d758 (__TEXT,__text) external __nc_baudrate
000000019fd84a2c (__TEXT,__text) external __nc_build_wch
000000019fd954c4 (__TEXT,__text) external __nc_capcmp
000000019fd7efe0 (__TEXT,__text) external __nc_captoinfo
00000001ebb69a50 (__AUTH,__data) external __nc_check_termtype
00000001ebb69a48 (__AUTH,__data) external __nc_check_termtype2
00000001e01a5f60 (__DATA,__common) external __nc_comment_end
00000001e01a5f58 (__DATA,__common) external __nc_comment_start
000000019fd7db58 (__TEXT,__text) external __nc_copy_entry
000000019fd7e8ec (__TEXT,__text) external __nc_copy_termtype
00000001e01a5f40 (__DATA,__common) external __nc_curr_col
00000001e01a5f50 (__DATA,__common) external __nc_curr_file_pos
00000001e01a5f3c (__DATA,__common) external __nc_curr_line
00000001e01a5f70 (__DATA,__common) external __nc_curr_token
000000019fd8319c (__TEXT,__text) external __nc_delink_entry
00000001e01a5f88 (__DATA,__common) external __nc_disable_period
000000019fd87600 (__TEXT,__text) external __nc_do_color
000000019fd7b920 (__TEXT,__text) external __nc_doalloc
000000019fd81678 (__TEXT,__text) external __nc_entry_match
000000019fd808b8 (__TEXT,__text) external __nc_err_abort
000000019fd96428 (__TEXT,__text) external __nc_expand_try
000000019fd9e808 (__TEXT,__text) external __nc_expanded
000000019fd83244 (__TEXT,__text) external __nc_fallback
000000019fd80ddc (__TEXT,__text) external __nc_find_entry
000000019fd80ecc (__TEXT,__text) external __nc_find_type_entry
000000019fd83064 (__TEXT,__text) external __nc_first_db
000000019fd93bec (__TEXT,__text) external __nc_first_name
000000019fd919f8 (__TEXT,__text) external __nc_flush
000000019fd87dd8 (__TEXT,__text) external __nc_free_and_exit
000000019fd83210 (__TEXT,__text) external __nc_free_entries
000000019fd83168 (__TEXT,__text) external __nc_free_entry
000000019fd8324c (__TEXT,__text) external __nc_free_termtype
000000019fd87dd4 (__TEXT,__text) external __nc_freeall
000000019fd8c590 (__TEXT,__text) external __nc_freewin
000000019fd805b0 (__TEXT,__text) external __nc_get_alias_table
000000019fd80594 (__TEXT,__text) external __nc_get_hash_table
000000019fd8fca4 (__TEXT,__text) external __nc_get_locale
000000019fd7ba6c (__TEXT,__text) external __nc_get_screensize
000000019fd806bc (__TEXT,__text) external __nc_get_source
000000019fd804b0 (__TEXT,__text) external __nc_get_table
000000019fd81e64 (__TEXT,__text) external __nc_get_token
000000019fd920e8 (__TEXT,__text) external __nc_get_tty_mode
000000019fd80734 (__TEXT,__text) external __nc_get_type
000000019fd7bc44 (__TEXT,__text) external __nc_getenv_num
00000001e01a5918 (__DATA,__data) external __nc_globals
000000019fd8fbdc (__TEXT,__text) external __nc_handle_sigwinch
000000019fd8a460 (__TEXT,__text) external __nc_has_mouse
000000019fd834b0 (__TEXT,__text) external __nc_hash_map
00000001e01a5f90 (__DATA,__common) external __nc_head
000000019fd7af4c (__TEXT,__text) external __nc_home_terminfo
000000019fd7fca0 (__TEXT,__text) external __nc_infotocap
000000019fd844cc (__TEXT,__text) external __nc_init_acs
000000019fd7da48 (__TEXT,__text) external __nc_init_entry
000000019fd84140 (__TEXT,__text) external __nc_init_keytry
000000019fd93528 (__TEXT,__text) external __nc_init_wacs
000000019fd897ac (__TEXT,__text) external __nc_insert_ch
000000019fd7d8b8 (__TEXT,__text) external __nc_is_abs_path
000000019fd8047c (__TEXT,__text) external __nc_is_charable
000000019fd7afc8 (__TEXT,__text) external __nc_is_dir_path
000000019fd7d8cc (__TEXT,__text) external __nc_is_file_path
000000019fd82f28 (__TEXT,__text) external __nc_keep_tic_dir
000000019fd9bce0 (__TEXT,__text) external __nc_keyname
000000019fd8ccbc (__TEXT,__text) external __nc_keypad
000000019fd7b97c (__TEXT,__text) external __nc_last_db
000000019fd83240 (__TEXT,__text) external __nc_leaks_tinfo
000000019fd8fce0 (__TEXT,__text) external __nc_locale_breaks_acs
000000019fd83e0c (__TEXT,__text) external __nc_make_oldhash
000000019fd8c808 (__TEXT,__text) external __nc_makenew
000000019fd7dfd0 (__TEXT,__text) external __nc_merge_entry
000000019fd8abcc (__TEXT,__text) external __nc_msec_cost
