                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
000000024667c340 (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
000000024667cdbc (__TEXT,__const) external _libopenpam
000000024667c860 (__TEXT,__text) external _misc_conv
000000024667c56c (__TEXT,__text) external _pam_acct_mgmt
000000024667c474 (__TEXT,__text) external _pam_authenticate
000000024667c5e8 (__TEXT,__text) external _pam_chauthtok
000000024667c6e0 (__TEXT,__text) external _pam_close_session
000000024667c400 (__TEXT,__text) external _pam_end
000000024667caa8 (__TEXT,__text) external _pam_get_data
000000024667c7dc (__TEXT,__text) external _pam_get_item
000000024667ccd8 (__TEXT,__text) external _pam_get_pass
000000024667cbb8 (__TEXT,__text) external _pam_get_user
000000024667c9d0 (__TEXT,__text) external _pam_getenv
000000024667ca40 (__TEXT,__text) external _pam_getenvlist
000000024667c668 (__TEXT,__text) external _pam_open_session
000000024667cc3c (__TEXT,__text) external _pam_prompt
000000024667c95c (__TEXT,__text) external _pam_putenv
000000024667cb2c (__TEXT,__text) external _pam_set_data
000000024667c758 (__TEXT,__text) external _pam_set_item
000000024667c4f0 (__TEXT,__text) external _pam_setcred
000000024667c374 (__TEXT,__text) external _pam_start
000000024667c8ec (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
000000024667c2e0 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
000000024667c2f0 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
000000024667c33c (__TEXT,__text) external _xlate_pam_shim_item_type
000000024667c318 (__TEXT,__text) external _xlate_pam_shim_retval
000000024667c304 (__TEXT,__text) external _xlate_pam_shim_session_flags
000000024667c310 (__TEXT,__text) external _xlate_pam_shim_setcred_flags
