000000025fc6c6e4 (__TEXT,__text) external _AAAFSCGetMetadata
000000025fc6caac (__TEXT,__text) external _AAAFSCSetMetadata
000000025fc6bafc (__TEXT,__text) external _AAAFSCStreamOpen
000000025fc6c1ec (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
000000025fc6c328 (__TEXT,__text) external _AAAFSCStreamOpenWithState
000000025fbf9848 (__TEXT,__text) external _AAArchiveStreamCancel
000000025fbf97f4 (__TEXT,__text) external _AAArchiveStreamClose
000000025fc0e9a4 (__TEXT,__text) external _AAArchiveStreamProcess
000000025fbf97a4 (__TEXT,__text) external _AAArchiveStreamReadBlob
000000025fbf978c (__TEXT,__text) external _AAArchiveStreamReadHeader
000000025fbf97d8 (__TEXT,__text) external _AAArchiveStreamWriteBlob
000000025fbf97c0 (__TEXT,__text) external _AAArchiveStreamWriteHeader
000000025fbfac1c (__TEXT,__text) external _AAArchiveStreamWritePathList
000000025fbfe3c4 (__TEXT,__text) external _AAAssetBuilderAddFilter
000000025fbfe2e4 (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
000000025fbfe230 (__TEXT,__text) external _AAAssetBuilderCreate
000000025fbfe2d8 (__TEXT,__text) external _AAAssetBuilderDestroy
000000025fc61d98 (__TEXT,__text) external _AAAssetBuilderGenerate
000000025fbfe49c (__TEXT,__text) external _AAAssetBuilderGetParameter
000000025fbfe3cc (__TEXT,__text) external _AAAssetBuilderSetParameter
000000025fbfeac4 (__TEXT,__text) external _AAAssetExtractorCreate
000000025fbfefec (__TEXT,__text) external _AAAssetExtractorDestroy
000000025fbff9dc (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
000000025fbff950 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
000000025fbff4a8 (__TEXT,__text) external _AAAssetExtractorWrite
000000025fc7403c (__TEXT,__text) external _AAAsyncByteStreamCancel
000000025fc74050 (__TEXT,__text) external _AAAsyncByteStreamClose
000000025fc73a54 (__TEXT,__text) external _AAAsyncByteStreamGetRange
000000025fc73ea4 (__TEXT,__text) external _AAAsyncByteStreamProcess
000000025fc2e54c (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
000000025fc0fa04 (__TEXT,__text) external _AAByteRangeAdd
000000025fc0f8f8 (__TEXT,__text) external _AAByteRangeClone
000000025fc0f830 (__TEXT,__text) external _AAByteRangeCreate
000000025fc0f8b4 (__TEXT,__text) external _AAByteRangeDestroy
