00007ff841ae2718 (__DATA,__data) non-external _C
00007ff841ae4660 (__DATA,__bss) non-external _CF6464
00007ff800363ab0 (__TEXT,__const) non-external _CIFP
00007ff841ae539c (__DATA,__bss) non-external _EMSG
00007ff841ae539d (__DATA,__bss) non-external _EMSG
00007ff800363a80 (__TEXT,__const) non-external _ExpandTr
00007ff841ae4650 (__DATA,__bss) non-external _IE3264
00007ff800363a40 (__TEXT,__const) non-external _IP
00007ff841ae45c0 (__DATA,__bss) non-external _KS
00007ff84380b740 (__DATA_DIRTY,__bss) non-external _NXArgc_pointer
00007ff84380b738 (__DATA_DIRTY,__bss) non-external _NXArgv_pointer
                 (undefined) external _OSAtomicDequeue (from libsystem_platform)
                 (undefined) external _OSAtomicEnqueue (from libsystem_platform)
00007ff800363af0 (__TEXT,__const) non-external _P32Tr
00007ff800363a00 (__TEXT,__const) non-external _PC1
00007ff841ae45b8 (__DATA,__bss) non-external _PC1ROT
00007ff8003639c0 (__TEXT,__const) non-external _PC2
00007ff841ae4640 (__DATA,__bss) non-external _PC2ROT
00007ff8003639b0 (__TEXT,__const) non-external _Rotates
00007ff800363b10 (__TEXT,__const) non-external _S
00007ff841ae4658 (__DATA,__bss) non-external _SPE
00007ff800339024 (__TEXT,__text) non-external (was a private external) __BIG5_init
00007ff80033905b (__TEXT,__text) non-external __BIG5_mbrtowc
00007ff80033915c (__TEXT,__text) non-external __BIG5_mbsinit
00007ff80033911c (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff841ae2838 (__DATA,__data) non-external __C_lconv
00007ff840028c30 (__DATA_CONST,__const) non-external __C_messages_locale
00007ff840028c50 (__DATA_CONST,__const) non-external __C_monetary_locale
00007ff840028cf8 (__DATA_CONST,__const) non-external __C_numeric_locale
00007ff840028f40 (__DATA_CONST,__const) non-external __C_time_locale
00007ff841ae2990 (__DATA,__data) external __CurrentRuneLocale
00007ff841ae2c08 (__DATA,__constrw) external __DefaultRuneLocale
00007ff841ae3890 (__DATA,__constrw) non-external (was a private external) __DefaultRuneXLocale
00007ff80033afca (__TEXT,__text) non-external __EUC_free_extra
00007ff80033a275 (__TEXT,__text) non-external (was a private external) __EUC_init
00007ff80033a404 (__TEXT,__text) non-external __EUC_mbrtowc
00007ff80033afb0 (__TEXT,__text) non-external __EUC_mbsinit
00007ff80033a5a0 (__TEXT,__text) non-external __EUC_wcrtomb
00007ff80034fb4c (__TEXT,__text) external __Exit
00007ff80033affc (__TEXT,__text) non-external (was a private external) __GB18030_init
00007ff80033b033 (__TEXT,__text) non-external __GB18030_mbrtowc
00007ff80033b26a (__TEXT,__text) non-external __GB18030_mbsinit
00007ff80033b179 (__TEXT,__text) non-external __GB18030_wcrtomb
00007ff80033b283 (__TEXT,__text) non-external (was a private external) __GB2312_init
00007ff80033b2ba (__TEXT,__text) non-external __GB2312_mbrtowc
00007ff80033b3fc (__TEXT,__text) non-external __GB2312_mbsinit
00007ff80033b3bc (__TEXT,__text) non-external __GB2312_wcrtomb
00007ff80033b415 (__TEXT,__text) non-external (was a private external) __GBK_init
00007ff80033b44c (__TEXT,__text) non-external __GBK_mbrtowc
00007ff80033b54d (__TEXT,__text) non-external __GBK_mbsinit
00007ff80033b50d (__TEXT,__text) non-external __GBK_wcrtomb
00007ff80033b9ce (__TEXT,__text) non-external (was a private external) __MSKanji_init
00007ff80033ba05 (__TEXT,__text) non-external __MSKanji_mbrtowc
00007ff80033bc6b (__TEXT,__text) non-external __MSKanji_mbsinit
00007ff80033bad4 (__TEXT,__text) non-external __MSKanji_wcrtomb
00007ff8002e9ed7 (__TEXT,__text) external __NSGetArgc
00007ff8002e9eca (__TEXT,__text) external __NSGetArgv
00007ff8002e372d (__TEXT,__text) external __NSGetEnviron
00007ff8002e37cf (__TEXT,__text) external __NSGetMachExecuteHeader
00007ff8002e92c2 (__TEXT,__text) external __NSGetProgname
00007ff841ae54b8 (__DATA,__common) external __PathLocale
00007ff800308479 (__TEXT,__text) external __Read_RuneMagi
00007ff80034f519 (__TEXT,__text) non-external (was a private external) __UTF2_init
00007ff80034f566 (__TEXT,__text) non-external __UTF2_mbrtowc
00007ff80034f74b (__TEXT,__text) non-external __UTF2_mbsinit
00007ff80034f765 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00007ff80034f6c4 (__TEXT,__text) non-external __UTF2_wcrtomb
00007ff80034f8d9 (__TEXT,__text) non-external __UTF2_wcsnrtombs
00007ff800308a11 (__TEXT,__text) non-external (was a private external) __UTF8_init
00007ff80030a4f9 (__TEXT,__text) non-external __UTF8_mbrtowc
00007ff80033c376 (__TEXT,__text) non-external __UTF8_mbsinit
00007ff80030a78f (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00007ff80030af06 (__TEXT,__text) non-external __UTF8_wcrtomb
00007ff80033c390 (__TEXT,__text) non-external __UTF8_wcsnrtombs
00007ff8002f3a5b (__TEXT,__text) external ___Balloc_D2A
00007ff8002f3c10 (__TEXT,__text) external ___Bfree_D2A
                 (undefined) weak external ____chkstk_darwin (from libsystem_pthread)
00007ff80032461e (__TEXT,__text) external ____mb_cur_max
00007ff80032464c (__TEXT,__text) external ____mb_cur_max_l
00007ff8002f92da (__TEXT,__text) external ____runetype
00007ff8002f9302 (__TEXT,__text) external ____runetype_l
00007ff80033c281 (__TEXT,__text) external ____tolower
00007ff80033c1dc (__TEXT,__text) external ____tolower_l
00007ff80033c34e (__TEXT,__text) external ____toupper
00007ff80033c2a9 (__TEXT,__text) external ____toupper_l
00007ff800361a88 (__TEXT,__text) non-external (was a private external) ___abort
00007ff80032efa9 (__TEXT,__text) external ___add_ovflpage
00007ff80032ed26 (__TEXT,__text) external ___addel
00007ff8002f8487 (__TEXT,__text) external ___any_on_D2A
00007ff800360c2e (__TEXT,__text) external ___assert_rtn
00007ff84380cfd8 (__DATA_DIRTY,__bss) non-external ___atexit
00007ff800305291 (__TEXT,__text) non-external (was a private external) ___atexit_init
00007ff84380cfe0 (__DATA_DIRTY,__bss) non-external ___atexit_new_registration
00007ff80030c0e2 (__TEXT,__text) external ___b2d_D2A
00007ff80032d694 (__TEXT,__text) external ___big_delete
00007ff80032d3d4 (__TEXT,__text) external ___big_insert
00007ff80032dcbf (__TEXT,__text) external ___big_keydata
00007ff80032d957 (__TEXT,__text) external ___big_return
00007ff80032de2f (__TEXT,__text) external ___big_split
00007ff800364080 (__TEXT,__const) external ___bigtens_D2A
00007ff800328518 (__TEXT,__text) external ___bt_close
00007ff80032c0fc (__TEXT,__text) external ___bt_cmp
00007ff80032c195 (__TEXT,__text) external ___bt_defcmp
00007ff80032c1dc (__TEXT,__text) external ___bt_defpfx
00007ff800328981 (__TEXT,__text) external ___bt_delete
00007ff800328fc5 (__TEXT,__text) external ___bt_dleaf
00007ff800329dd7 (__TEXT,__text) external ___bt_fd
00007ff80032adce (__TEXT,__text) non-external ___bt_first
00007ff80032a183 (__TEXT,__text) external ___bt_free
00007ff80032961c (__TEXT,__text) external ___bt_get
00007ff80032a1b4 (__TEXT,__text) external ___bt_new
00007ff8003296f2 (__TEXT,__text) external ___bt_open
00007ff800329388 (__TEXT,__text) non-external ___bt_pdelete
00007ff8003286b2 (__TEXT,__text) external ___bt_pgin
00007ff80032883b (__TEXT,__text) external ___bt_pgout
00007ff80032a207 (__TEXT,__text) external ___bt_put
00007ff800329593 (__TEXT,__text) non-external ___bt_relink
