00000001e3b67158 (__DATA,__bss) non-external _AGCPrinter
00000001a708c1f4 (__TEXT,__text) external _AIRNTClone
00000001a708c10c (__TEXT,__text) external _AIRNTDispose
00000001a708c708 (__TEXT,__text) external _AIRNTDisposeCompilationContext
00000001a708d164 (__TEXT,__text) external _AIRNTEmitAssembly
00000001a709031c (__TEXT,__text) external _AIRNTEmitBuiltinExecutableImage
00000001a708d2a4 (__TEXT,__text) external _AIRNTEmitDylibImage
00000001a708fa10 (__TEXT,__text) external _AIRNTEmitExecutableImage
00000001a708d204 (__TEXT,__text) external _AIRNTEmitObject
00000001a7092000 (__TEXT,__text) external _AIRNTEmitPipelineImage
00000001a70953dc (__TEXT,__text) external _AIRNTEmitPipelineImages
00000001a708c794 (__TEXT,__text) external _AIRNTGetDefaultArch
00000001a708b50c (__TEXT,__text) external _AIRNTGetLLVMVersion
00000001a7097e50 (__TEXT,__text) external _AIRNTGetLegalizationPasses
00000001a708c7ac (__TEXT,__text) external _AIRNTGetSupportedArchs
00000001a708cf8c (__TEXT,__text) external _AIRNTGetSupportedBitcodeVersion
00000001a708ca18 (__TEXT,__text) external _AIRNTGetSupportedImpls
00000001a708c788 (__TEXT,__text) external _AIRNTGetVendorName
00000001a708c774 (__TEXT,__text) external _AIRNTGetVersion
00000001a708b514 (__TEXT,__text) external _AIRNTInit
00000001a708c298 (__TEXT,__text) external _AIRNTInitCompilationContext
00000001a708cf94 (__TEXT,__text) external _AIRNTParseCommandLineOptions
00000001a708cb0c (__TEXT,__text) external _AIRNTSupportsArch
00000001a708d154 (__TEXT,__text) external _AIRNTSupportsEmitBuiltinExecutableImage
00000001a708d14c (__TEXT,__text) external _AIRNTSupportsEmitExecutableImage
00000001a708cc6c (__TEXT,__text) external _AIRNTSupportsTarget
00000001a708d15c (__TEXT,__text) external _AIRNTSupportsThreads
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFBundleCopyResourceURL (from CoreFoundation)
                 (undefined) external _CFBundleGetBundleWithIdentifier (from CoreFoundation)
                 (undefined) external _CFPreferencesGetAppIntegerValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithBytes (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFURLCopyFileSystemPath (from CoreFoundation)
00000001a6eec618 (__TEXT,__text) external _GLCompilerBuildRequest
00000001a6eec60c (__TEXT,__text) external _GLCompilerCreate
00000001a6eec614 (__TEXT,__text) external _GLCompilerDelete
00000001a6eec620 (__TEXT,__text) external _GLCompilerLogBuildRequest
00000001a6eec628 (__TEXT,__text) external _GLCompilerReleaseReply
                 (undefined) external _LLVMAGXRuntimeMajorVersion (from libLLVM)
                 (undefined) external _MGGetBoolAnswer (from libMobileGestalt)
00000001a6ef1cf0 (__TEXT,__text) external _MTLCompilerBuildRequest
00000001a6eef66c (__TEXT,__text) external _MTLCompilerBuildRequestWithOptions
00000001a6ef1c94 (__TEXT,__text) external _MTLCompilerBuildRequestWithSerializedBitcode
00000001a6eec62c (__TEXT,__text) external _MTLCompilerCreate
00000001a6eef57c (__TEXT,__text) external _MTLCompilerDelete
00000001a6ef1d74 (__TEXT,__text) external _MTLCompilerReleaseReply
                 (undefined) external _NSHomeDirectory (from Foundation)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
00000001a6f9f890 (__TEXT,__text) non-external __Z10parseMDIntPKcPKN4llvm6MDNodeERjS5_
00000001a6eedb50 (__TEXT,__text) non-external __Z11initPrinterRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEEb13AGCTargetArch
00000001a6fa0528 (__TEXT,__text) non-external __Z11parseMDTypeIN4llvm6MDNodeEEbPKcPKS1_RjRPT_
00000001a6f9f978 (__TEXT,__text) non-external __Z12parseMDUint3PKN4llvm6MDNodeEPKcRjRNSt3__15arrayIjLm3EEE
00000001a6f53568 (__TEXT,__text) non-external __Z12pixelTypeMapv
00000001a6ef7624 (__TEXT,__text) non-external __Z12printHexDumpRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEEPKhmjPKcb
00000001a6eee5f0 (__TEXT,__text) non-external __Z12printMessageRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEEPKcz
00000001a6f52bf4 (__TEXT,__text) non-external __Z13bufferTypeMapv
00000001a6f9fb20 (__TEXT,__text) non-external __Z13parseMDAccessPKN4llvm6MDNodeERjR14ResourceAccess
00000001a6fa05f4 (__TEXT,__text) non-external __Z13parseMDBufferPKN4llvm6MDNodeEjRjS3_S3_S3_RPS0_R14ResourceAccessRbS3_S8_
00000001a6f178a0 (__TEXT,__text) non-external __Z14attribute_nameRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEE
00000001a6f9fbd8 (__TEXT,__text) non-external __Z14parseMDSamplerPKN4llvm6MDNodeERjS3_Rb
00000001a6f9fd6c (__TEXT,__text) non-external __Z14parseMDTexturePKN4llvm6MDNodeERjS3_R14ResourceAccessRbS6_S6_S3_
00000001a6ef531c (__TEXT,__text) non-external __Z16dumpShaderToFilePKc
00000001a70898b8 (__TEXT,__text) non-external __Z17SimplifyGenericIRPN4llvm6ModuleEb
00000001a6f9fa6c (__TEXT,__text) non-external __Z20parseMDLocationIndexPKN4llvm6MDNodeERjS3_S3_
00000001a708a4e0 (__TEXT,__text) non-external __Z21EraseInstructionChainPN4llvm5ValueE
00000001a6ef6cbc (__TEXT,__text) non-external __Z21isValidToPrintMessageRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEE
00000001a6f712ec (__TEXT,__text) non-external __Z25getBackendReplyReadsTGSRsPKN16AGCCodeGenerator10ShaderInfoE
00000001a704da10 (__TEXT,__text) non-external __Z27AGCLLVMCreateG9TargetConfig13AGCTargetArch
00000001a7042010 (__TEXT,__text) non-external __Z28AGCLLVMCreateG14TargetConfig13AGCTargetArch
00000001a7043994 (__TEXT,__text) non-external __Z28AGCLLVMCreateG15TargetConfig13AGCTargetArch
00000001a6ef292c (__TEXT,__text) non-external __Z28validateUserLocalMemoryUsagejjRNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEE
00000001a6ef2b08 (__TEXT,__text) non-external __Z32validateUserMeshLocalMemoryUsagejjjjjRNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEE
00000001a6f7aea4 (__TEXT,__text) non-external __Z36getComputeControlFlowBitcodeFileNameRK10AGCLLVMCtx
00000001a6ef2fcc (__TEXT,__text) non-external __Z37validateMaxTotalThreadsPerThreadgroupjjjRNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERj
00000001a7077ebc (__TEXT,__text) non-external __Z45newObjectArrayWithIntersectionShadersIfNeededI27_AGCFragmentContextStateAGPEP17AGCLLVMObjectBaseP17AGCLLVMUserShaderR10AGCLLVMCtxPN4llvm6ModuleEPKT_
00000001e3b64a90 (__DATA,__bss) non-external __ZGVZ12pixelTypeMapvE23localPixelFormatTypeMap
00000001e3b64a70 (__DATA,__bss) non-external __ZGVZ13bufferTypeMapvE18localBufferTypeMap
00000001e3b665b8 (__DATA,__bss) non-external __ZGVZ21agcStreamToken2StringjE15mapToken2String
00000001e3b66fa0 (__DATA,__bss) non-external __ZGVZ27AGCLLVMCreateG5TargetConfig13AGCTargetArchE5g5pC0
00000001e3b67030 (__DATA,__bss) non-external __ZGVZ27AGCLLVMCreateG9TargetConfig13AGCTargetArchE5g9gA0
00000001e3b66fe8 (__DATA,__bss) non-external __ZGVZ27AGCLLVMCreateG9TargetConfig13AGCTargetArchE5g9pA0
00000001e3b66610 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG10TargetConfig13AGCTargetArchE6g10pB0
00000001e3b666e8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11gA0
00000001e3b666a0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11mA0
00000001e3b66778 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11mB0
00000001e3b66658 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11pA0
00000001e3b66730 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11pB0
00000001e3b667c0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG12TargetConfig13AGCTargetArchE6g12pA0
00000001e3b66808 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG12TargetConfig13AGCTargetArchE6g12pB0
00000001e57b5808 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13cA0
00000001e3b66898 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13cB0
00000001e3b66850 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13dA0
00000001e3b668e0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13dB0
00000001e57b56e8 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13gA0
00000001e57b5778 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13gB0
00000001e57b56a0 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13pA0
00000001e57b5730 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13pB0
00000001e57b57c0 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13sA0
00000001e57b5850 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13sB0
00000001e3b669b8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG14TargetConfig13AGCTargetArchE6g14gA0
00000001e3b66a00 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG14TargetConfig13AGCTargetArchE6g14gB0
00000001e3b66928 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG14TargetConfig13AGCTargetArchE6g14pA0
00000001e3b66970 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG14TargetConfig13AGCTargetArchE6g14pB0
00000001e3b66df0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15cA0
00000001e3b66e38 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15cB0
00000001e3b66e80 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15cB1
00000001e3b66c40 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15gA0
00000001e3b66c88 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15gB0
00000001e3b66cd0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15gC0
00000001e3b66bf8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15pB0
00000001e3b66d18 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15sA0
00000001e3b66d60 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15sB0
00000001e3b66da8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15sB1
00000001e3b66ec8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG16TargetConfig13AGCTargetArchE6g16pA0
00000001e3b66f10 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG16TargetConfig13AGCTargetArchE6g16pB0
00000001e3b66f58 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG16TargetConfig13AGCTargetArchE6g16pB1
00000001e3b66ad8 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14cA0
00000001e3b66b20 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14cB0
00000001e3b66b68 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14dA0
00000001e3b66bb0 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14dB0
00000001e3b66a48 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14sA0
00000001e3b66a90 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14sB0
00000001e3b63ca8 (__DATA,__bss) non-external __ZGVZL11getFilePathvE9file_path
00000001e3b67150 (__DATA,__bss) non-external __ZGVZL11getFilePathvE9file_path.10203
00000001e3b63d00 (__DATA,__bss) non-external __ZGVZL11getFilePathvE9file_path.136
00000001e57b4b98 (__DATA_DIRTY,__bss) non-external __ZGVZL22pluginCreateLLVMObjectR10AGCLLVMCtx15_AGCStreamTokenRN4llvm11LLVMContextEPNS2_6ModuleER16CompilationStateE9computeCS
00000001e57b5650 (__DATA_DIRTY,__bss) non-external __ZGVZN14AGCLLVMBuilder18getVariableTypeMapEvE17variable_type_map
