000000000003c1b8 (__DATA,__data) external _NDR_record
000000000001cbf0 (__TEXT,__text) non-external __Xexception_raise
000000000001ccb8 (__TEXT,__text) non-external __Xexception_raise_state
000000000001cdc8 (__TEXT,__text) non-external __Xexception_raise_state_identity
000000000000cd20 (__TEXT,__text) external _____sigwait_nocancel
0000000000031030 (__TEXT,__const) external ____kernelVersionNumber
0000000000030ffc (__TEXT,__const) external ____kernelVersionString
000000000000cd48 (__TEXT,__text) external ___abort_with_payload
0000000000008ab8 (__TEXT,__text) external ___accept
000000000000cd70 (__TEXT,__text) external ___accept_nocancel
000000000000cd98 (__TEXT,__text) external ___access_extended
000000000000cdc0 (__TEXT,__text) external ___aio_suspend_nocancel
0000000000007f80 (__TEXT,__text) external ___bind
00000000000045d8 (__TEXT,__text) external ___bsdthread_create
0000000000002784 (__TEXT,__text) external ___bsdthread_ctl
0000000000006494 (__TEXT,__text) external ___bsdthread_register
0000000000003774 (__TEXT,__text) external ___bsdthread_terminate
000000000000c5bc (__TEXT,__text) external ___carbon_delete
000000000000cde8 (__TEXT,__text) external ___channel_get_info
000000000000ce10 (__TEXT,__text) external ___channel_get_opt
000000000000ce38 (__TEXT,__text) external ___channel_open
000000000000ce60 (__TEXT,__text) external ___channel_set_opt
000000000000ce88 (__TEXT,__text) external ___channel_sync
0000000000004538 (__TEXT,__text) external ___chmod
0000000000005fd4 (__TEXT,__text) external ___chmod_extended
00000000000022e4 (__TEXT,__text) external ___close_nocancel
000000000000ceb0 (__TEXT,__text) external ___coalition
000000000000ced8 (__TEXT,__text) external ___coalition_info
000000000000cf00 (__TEXT,__text) external ___coalition_ledger
00000000000028b8 (__TEXT,__text) external ___commpage_gettimeofday
00000000000028c0 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
0000000000004cc4 (__TEXT,__text) external ___connect
0000000000004b4c (__TEXT,__text) external ___connect_nocancel
000000000000cf28 (__TEXT,__text) external ___copyfile
000000000000cf50 (__TEXT,__text) external ___crossarch_trap
0000000000001614 (__TEXT,__text) external ___csrctl
00000000000153a8 (__TEXT,__text) external ___darwin_check_fd_set_overflow
000000000000cf78 (__TEXT,__text) external ___debug_syscall_reject
000000000000cfa0 (__TEXT,__text) external ___debug_syscall_reject_config
000000000000c5e4 (__TEXT,__text) external ___delete
000000000000374c (__TEXT,__text) external ___disable_threadsignal
0000000000001554 (__TEXT,__text) external ___error
000000000000cfc8 (__TEXT,__text) external ___execve
00000000000079c4 (__TEXT,__text) external ___exit
0000000000004f48 (__TEXT,__text) external ___fchmod
00000000000060cc (__TEXT,__text) external ___fchmod_extended
00000000000016b4 (__TEXT,__text) external ___fcntl
0000000000004afc (__TEXT,__text) external ___fcntl_nocancel
0000000000007d90 (__TEXT,__text) external ___fork
000000000000cff0 (__TEXT,__text) external ___fs_snapshot
000000000000e1dc (__TEXT,__text) external ___fstat
00000000000060a4 (__TEXT,__text) external ___fstat64_extended
000000000000d018 (__TEXT,__text) external ___fstat_extended
000000000000e22c (__TEXT,__text) external ___fstatat
000000000000e27c (__TEXT,__text) external ___fstatfs
000000000000d040 (__TEXT,__text) external ___fsync_nocancel
00000000000097cc (__TEXT,__text) external ___get_remove_counter
0000000000001570 (__TEXT,__text) external ___getattrlist
00000000000026bc (__TEXT,__text) external ___getdirentries64
000000000000e36c (__TEXT,__text) external ___getfsstat
0000000000005f84 (__TEXT,__text) external ___gethostuuid
000000000000bf84 (__TEXT,__text) external ___getlogin
0000000000004e38 (__TEXT,__text) external ___getpeername
00000000000010d0 (__TEXT,__text) external ___getpid
0000000000002d50 (__TEXT,__text) external ___getrlimit
000000000000d068 (__TEXT,__text) external ___getsgroups
0000000000007e5c (__TEXT,__text) external ___getsockname
000000000000258c (__TEXT,__text) external ___gettid
0000000000004650 (__TEXT,__text) external ___gettimeofday
0000000000004628 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
000000000000d090 (__TEXT,__text) external ___getwgroups
000000000000d0b8 (__TEXT,__text) external ___guarded_open_dprotected_np
0000000000004124 (__TEXT,__text) external ___guarded_open_np
000000000000d0e0 (__TEXT,__text) external ___identitysvc
00000000000043ec (__TEXT,__text) external ___inc_remove_counter
000000000000bf5c (__TEXT,__text) external ___initgroups
0000000000004c9c (__TEXT,__text) external ___ioctl
0000000000004fc8 (__TEXT,__text) external ___iopolicysys
000000000000d108 (__TEXT,__text) external ___kdebug_trace
0000000000003534 (__TEXT,__text) external ___kdebug_trace64
000000000000d130 (__TEXT,__text) external ___kdebug_trace_string
0000000000006220 (__TEXT,__text) external ___kdebug_typefilter
