00007ff80d2e9841 (__TEXT,__const) non-external _KW_ANY
00007ff80d2e97c6 (__TEXT,__const) non-external _KW_ATTLIST
00007ff80d2e97f4 (__TEXT,__const) non-external _KW_CDATA
00007ff80d2e97a9 (__TEXT,__const) non-external _KW_DOCTYPE
00007ff80d2e97ce (__TEXT,__const) non-external _KW_ELEMENT
00007ff80d2e983b (__TEXT,__const) non-external _KW_EMPTY
00007ff80d2e980a (__TEXT,__const) non-external _KW_ENTITIES
00007ff80d2e97bf (__TEXT,__const) non-external _KW_ENTITY
00007ff80d2e9835 (__TEXT,__const) non-external _KW_FIXED
00007ff80d2e97fa (__TEXT,__const) non-external _KW_ID
00007ff80d2e97fd (__TEXT,__const) non-external _KW_IDREF
00007ff80d2e9803 (__TEXT,__const) non-external _KW_IDREFS
00007ff80d2e97e7 (__TEXT,__const) non-external _KW_IGNORE
00007ff80d2e9824 (__TEXT,__const) non-external _KW_IMPLIED
00007ff80d2e97df (__TEXT,__const) non-external _KW_INCLUDE
00007ff80d2e9f50 (__TEXT,__const) non-external _KW_ISO_8859_1
00007ff80d2e97ee (__TEXT,__const) non-external _KW_NDATA
00007ff80d2e9813 (__TEXT,__const) non-external _KW_NMTOKEN
00007ff80d2e981b (__TEXT,__const) non-external _KW_NMTOKENS
00007ff80d2e97d6 (__TEXT,__const) non-external _KW_NOTATION
00007ff80d2e9845 (__TEXT,__const) non-external _KW_PCDATA
00007ff80d2e97b8 (__TEXT,__const) non-external _KW_PUBLIC
00007ff80d2e982c (__TEXT,__const) non-external _KW_REQUIRED
00007ff80d2e97b1 (__TEXT,__const) non-external _KW_SYSTEM
00007ff80d2e9f5b (__TEXT,__const) non-external _KW_US_ASCII
00007ff80d2e9f6a (__TEXT,__const) non-external _KW_UTF_16
00007ff80d2e9f71 (__TEXT,__const) non-external _KW_UTF_16BE
00007ff80d2e9f7a (__TEXT,__const) non-external _KW_UTF_16LE
00007ff80d2e9f64 (__TEXT,__const) non-external _KW_UTF_8
00007ff80d2e9f91 (__TEXT,__const) non-external _KW_encoding
00007ff80d2e9fa9 (__TEXT,__const) non-external _KW_no
00007ff80d2e9f9a (__TEXT,__const) non-external _KW_standalone
00007ff80d2e9f89 (__TEXT,__const) non-external _KW_version
00007ff80d2e9fa5 (__TEXT,__const) non-external _KW_yes
00007ff80d2d34d1 (__TEXT,__text) external _XML_DefaultCurrent
00007ff80d2d35eb (__TEXT,__text) external _XML_ErrorString
00007ff80d2d3609 (__TEXT,__text) external _XML_ExpatVersion
00007ff80d2d3616 (__TEXT,__text) external _XML_ExpatVersionInfo
00007ff80d2d1a46 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00007ff80d2d3477 (__TEXT,__text) external _XML_FreeContentModel
00007ff80d2d292f (__TEXT,__text) external _XML_GetBase
00007ff80d2d2e2e (__TEXT,__text) external _XML_GetBuffer
