00007ffb18a0ec1f (__TEXT,__text) external _AAArchiveStreamCancel
00007ffb18a0ebe8 (__TEXT,__text) external _AAArchiveStreamClose
00007ffb18a206a1 (__TEXT,__text) external _AAArchiveStreamProcess
00007ffb18a0eb9a (__TEXT,__text) external _AAArchiveStreamReadBlob
00007ffb18a0eb80 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007ffb18a0ebce (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007ffb18a0ebb4 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007ffb18a0fa3f (__TEXT,__text) external _AAArchiveStreamWritePathList
00007ffb18a5bba4 (__TEXT,__text) external _AAAsyncByteStreamCancel
00007ffb18a5bbb9 (__TEXT,__text) external _AAAsyncByteStreamClose
00007ffb18a5b5aa (__TEXT,__text) external _AAAsyncByteStreamGetRange
00007ffb18a5ba43 (__TEXT,__text) external _AAAsyncByteStreamProcess
00007ffb18a32467 (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00007ffb18a21568 (__TEXT,__text) external _AAByteRangeAdd
00007ffb18a2148e (__TEXT,__text) external _AAByteRangeClone
00007ffb18a213fb (__TEXT,__text) external _AAByteRangeCreate
00007ffb18a21468 (__TEXT,__text) external _AAByteRangeDestroy
00007ffb18a21732 (__TEXT,__text) external _AAByteRangeFirst
00007ffb18a2183f (__TEXT,__text) external _AAByteRangeNext
00007ffb18a216c7 (__TEXT,__text) external _AAByteRangeOffsetAtSize
00007ffb18a21656 (__TEXT,__text) external _AAByteRangeSizeAtOffset
00007ffb18a215e4 (__TEXT,__text) external _AAByteRangeSub
00007ffb18a56aef (__TEXT,__text) external _AAByteStreamCancel
00007ffb18a56b04 (__TEXT,__text) external _AAByteStreamClose
00007ffb18a56ab7 (__TEXT,__text) external _AAByteStreamPRead
00007ffb18a56b55 (__TEXT,__text) external _AAByteStreamPReadAsync
00007ffb18a56a7f (__TEXT,__text) external _AAByteStreamPWrite
00007ffb18a3c473 (__TEXT,__text) external _AAByteStreamProcess
00007ffb18a56a9b (__TEXT,__text) external _AAByteStreamRead
00007ffb18a56ad3 (__TEXT,__text) external _AAByteStreamSeek
00007ffb18a56b3b (__TEXT,__text) external _AAByteStreamTruncate
00007ffb18a56a63 (__TEXT,__text) external _AAByteStreamWrite
00007ffb18a31b42 (__TEXT,__text) external _AAChunkInputStreamOpen
00007ffb18a3a246 (__TEXT,__text) external _AAChunkOutputStreamOpen
00007ffb18a577e3 (__TEXT,__text) external _AACompressionOutputStreamOpen
00007ffb18a57f45 (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
00007ffb18a356c8 (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
00007ffb18a0ec34 (__TEXT,__text) external _AACustomArchiveStreamOpen
00007ffb18a0ecb1 (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
00007ffb18a0eca7 (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
00007ffb18a0ec9e (__TEXT,__text) external _AACustomArchiveStreamSetData
00007ffb18a0ecd9 (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
00007ffb18a0eccf (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
00007ffb18a0ecc5 (__TEXT,__text) external _AACustomArchiveStreamSetWriteBlobProc
00007ffb18a0ecbb (__TEXT,__text) external _AACustomArchiveStreamSetWriteHeaderProc
00007ffb18a5773f (__TEXT,__text) external _AACustomByteStreamOpen
00007ffb18a577d9 (__TEXT,__text) external _AACustomByteStreamSetCancelProc
00007ffb18a5779d (__TEXT,__text) external _AACustomByteStreamSetCloseProc
00007ffb18a57794 (__TEXT,__text) external _AACustomByteStreamSetData
00007ffb18a577b1 (__TEXT,__text) external _AACustomByteStreamSetPReadProc
00007ffb18a577c5 (__TEXT,__text) external _AACustomByteStreamSetPWriteProc
00007ffb18a577a7 (__TEXT,__text) external _AACustomByteStreamSetReadProc
00007ffb18a577cf (__TEXT,__text) external _AACustomByteStreamSetSeekProc
00007ffb18a577bb (__TEXT,__text) external _AACustomByteStreamSetWriteProc
00007ffb18a55fe3 (__TEXT,__text) external _AADecodeArchiveInputStreamOpen
00007ffb18a5711a (__TEXT,__text) external _AADecompressionInputStreamOpen
00007ffb18a5aac9 (__TEXT,__text) external _AADecompressionRandomAccessInputStreamOpen
00007ffb18a550d0 (__TEXT,__text) external _AAEncodeArchiveOutputStreamOpen
00007ffb18a53759 (__TEXT,__text) external _AAEntryACLBlobAppendEntry
00007ffb18a541ec (__TEXT,__text) external _AAEntryACLBlobApplyToPath
00007ffb18a541d6 (__TEXT,__text) external _AAEntryACLBlobClear
00007ffb18a540a8 (__TEXT,__text) external _AAEntryACLBlobCreate
00007ffb18a54143 (__TEXT,__text) external _AAEntryACLBlobCreateWithEncodedData
00007ffb18a5418a (__TEXT,__text) external _AAEntryACLBlobCreateWithPath
00007ffb18a5410e (__TEXT,__text) external _AAEntryACLBlobDestroy
00007ffb18a547ac (__TEXT,__text) external _AAEntryACLBlobGetEncodedData
00007ffb18a547a2 (__TEXT,__text) external _AAEntryACLBlobGetEncodedSize
00007ffb18a54336 (__TEXT,__text) external _AAEntryACLBlobGetEntry
00007ffb18a5432e (__TEXT,__text) external _AAEntryACLBlobGetEntryCount
00007ffb18a546e5 (__TEXT,__text) external _AAEntryACLBlobRemoveEntry
00007ffb18a544da (__TEXT,__text) external _AAEntryACLBlobSetEntry
00007ffb18a50998 (__TEXT,__text) external _AAEntryXATBlobAppendEntry
00007ffb18a50fe7 (__TEXT,__text) external _AAEntryXATBlobApplyToPath
00007ffb18a50fd1 (__TEXT,__text) external _AAEntryXATBlobClear
00007ffb18a50ea3 (__TEXT,__text) external _AAEntryXATBlobCreate
00007ffb18a50f3e (__TEXT,__text) external _AAEntryXATBlobCreateWithEncodedData
00007ffb18a50f85 (__TEXT,__text) external _AAEntryXATBlobCreateWithPath
00007ffb18a50f09 (__TEXT,__text) external _AAEntryXATBlobDestroy
00007ffb18a51596 (__TEXT,__text) external _AAEntryXATBlobGetEncodedData
00007ffb18a5158c (__TEXT,__text) external _AAEntryXATBlobGetEncodedSize
00007ffb18a51131 (__TEXT,__text) external _AAEntryXATBlobGetEntry
00007ffb18a51129 (__TEXT,__text) external _AAEntryXATBlobGetEntryCount
00007ffb18a51486 (__TEXT,__text) external _AAEntryXATBlobRemoveEntry
00007ffb18a51261 (__TEXT,__text) external _AAEntryXATBlobSetEntry
00007ffb18a54e27 (__TEXT,__text) external _AAEntryYECBlobApplyToPath
