000000018e990308 (__TEXT,__const) non-external _KW_ANY
000000018e99028d (__TEXT,__const) non-external _KW_ATTLIST
000000018e9902bb (__TEXT,__const) non-external _KW_CDATA
000000018e990270 (__TEXT,__const) non-external _KW_DOCTYPE
000000018e990295 (__TEXT,__const) non-external _KW_ELEMENT
000000018e990302 (__TEXT,__const) non-external _KW_EMPTY
000000018e9902d1 (__TEXT,__const) non-external _KW_ENTITIES
000000018e990286 (__TEXT,__const) non-external _KW_ENTITY
000000018e9902fc (__TEXT,__const) non-external _KW_FIXED
000000018e9902c1 (__TEXT,__const) non-external _KW_ID
000000018e9902c4 (__TEXT,__const) non-external _KW_IDREF
000000018e9902ca (__TEXT,__const) non-external _KW_IDREFS
000000018e9902ae (__TEXT,__const) non-external _KW_IGNORE
000000018e9902eb (__TEXT,__const) non-external _KW_IMPLIED
000000018e9902a6 (__TEXT,__const) non-external _KW_INCLUDE
000000018e990a18 (__TEXT,__const) non-external _KW_ISO_8859_1
000000018e9902b5 (__TEXT,__const) non-external _KW_NDATA
000000018e9902da (__TEXT,__const) non-external _KW_NMTOKEN
000000018e9902e2 (__TEXT,__const) non-external _KW_NMTOKENS
000000018e99029d (__TEXT,__const) non-external _KW_NOTATION
000000018e99030c (__TEXT,__const) non-external _KW_PCDATA
000000018e99027f (__TEXT,__const) non-external _KW_PUBLIC
000000018e9902f3 (__TEXT,__const) non-external _KW_REQUIRED
000000018e990278 (__TEXT,__const) non-external _KW_SYSTEM
000000018e990a23 (__TEXT,__const) non-external _KW_US_ASCII
000000018e990a32 (__TEXT,__const) non-external _KW_UTF_16
000000018e990a39 (__TEXT,__const) non-external _KW_UTF_16BE
000000018e990a42 (__TEXT,__const) non-external _KW_UTF_16LE
000000018e990a2c (__TEXT,__const) non-external _KW_UTF_8
000000018e990a59 (__TEXT,__const) non-external _KW_encoding
000000018e990a71 (__TEXT,__const) non-external _KW_no
000000018e990a62 (__TEXT,__const) non-external _KW_standalone
000000018e990a51 (__TEXT,__const) non-external _KW_version
000000018e990a6d (__TEXT,__const) non-external _KW_yes
000000018e978920 (__TEXT,__text) external _XML_DefaultCurrent
000000018e978a50 (__TEXT,__text) external _XML_ErrorString
000000018e978a74 (__TEXT,__text) external _XML_ExpatVersion
000000018e978a80 (__TEXT,__text) external _XML_ExpatVersionInfo
000000018e977110 (__TEXT,__text) external _XML_ExternalEntityParserCreate
000000018e9788cc (__TEXT,__text) external _XML_FreeContentModel
000000018e977df4 (__TEXT,__text) external _XML_GetBase
000000018e978238 (__TEXT,__text) external _XML_GetBuffer
000000018e9787b0 (__TEXT,__text) external _XML_GetCurrentByteCount
000000018e97878c (__TEXT,__text) external _XML_GetCurrentByteIndex
000000018e978874 (__TEXT,__text) external _XML_GetCurrentColumnNumber
000000018e978818 (__TEXT,__text) external _XML_GetCurrentLineNumber
000000018e978778 (__TEXT,__text) external _XML_GetErrorCode
000000018e978a90 (__TEXT,__text) external _XML_GetFeatureList
00000001e4c82f78 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
000000018e977e14 (__TEXT,__text) external _XML_GetIdAttributeIndex
000000018e9787d8 (__TEXT,__text) external _XML_GetInputContext
000000018e978750 (__TEXT,__text) external _XML_GetParsingStatus
000000018e98f3f0 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
000000018e977e00 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
000000018e97890c (__TEXT,__text) external _XML_MemFree
000000018e9788e0 (__TEXT,__text) external _XML_MemMalloc
000000018e9788f4 (__TEXT,__text) external _XML_MemRealloc
000000018e977fec (__TEXT,__text) external _XML_Parse
000000018e97848c (__TEXT,__text) external _XML_ParseBuffer
000000018e9768c4 (__TEXT,__text) external _XML_ParserCreate
000000018e9768dc (__TEXT,__text) external _XML_ParserCreateNS
000000018e9768d4 (__TEXT,__text) external _XML_ParserCreate_MM
000000018e9778a8 (__TEXT,__text) external _XML_ParserFree
000000018e976b64 (__TEXT,__text) external _XML_ParserReset
000000018e978660 (__TEXT,__text) external _XML_ResumeParser
000000018e977f6c (__TEXT,__text) external _XML_SetAttlistDeclHandler
000000018e977d44 (__TEXT,__text) external _XML_SetBase
000000018e978acc (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
000000018e978a9c (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
000000018e977e70 (__TEXT,__text) external _XML_SetCdataSectionHandler
000000018e977e4c (__TEXT,__text) external _XML_SetCharacterDataHandler
000000018e977e64 (__TEXT,__text) external _XML_SetCommentHandler
000000018e977e94 (__TEXT,__text) external _XML_SetDefaultHandler
000000018e977ea4 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
000000018e977eb8 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
000000018e977f60 (__TEXT,__text) external _XML_SetElementDeclHandler
000000018e977e28 (__TEXT,__text) external _XML_SetElementHandler
000000018e977040 (__TEXT,__text) external _XML_SetEncoding
000000018e977e88 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
000000018e977ed0 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
000000018e977e40 (__TEXT,__text) external _XML_SetEndElementHandler
000000018e977f0c (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
000000018e977f78 (__TEXT,__text) external _XML_SetEntityDeclHandler
000000018e977f24 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
000000018e977f30 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
000000018e977fb8 (__TEXT,__text) external _XML_SetHashSalt
000000018e977ef4 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
000000018e977f18 (__TEXT,__text) external _XML_SetNotStandaloneHandler
000000018e977ee8 (__TEXT,__text) external _XML_SetNotationDeclHandler
000000018e977f90 (__TEXT,__text) external _XML_SetParamEntityParsing
000000018e977e58 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
