00007ff80cc9b3f0 (__TEXT,__const) non-external _A1_Table
00007ff80c4566c0 (__TEXT,__text) non-external _ARGB16UtoPlanar16U
00007ff80c4565c0 (__TEXT,__text) non-external _ARGB8888toPlanar16Q12
00007ff80c1302e0 (__TEXT,__text) non-external _ARGB8888toPlanar8
00007ff80c139720 (__TEXT,__text) non-external _ARGBFFFFtoPlanarF
00007ff840d0dda0 (__DATA_CONST,__const) non-external (was a private external) _AccumulateResult
00007ff840d0de20 (__DATA_CONST,__const) non-external (was a private external) _AccumulateResult_perm
00007ff80c457f60 (__TEXT,__text) non-external _AddAlphaPass_Print16
00007ff80c457f00 (__TEXT,__text) non-external _AddAlphaPass_Print8
00007ff80c457fc0 (__TEXT,__text) non-external _AddAlphaPass_PrintF
00007ff80c441920 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky16UAlphaFirst
00007ff80c441900 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky16UAlphaLast
00007ff80c4418e0 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky8AlphaFirst
00007ff80c4418c0 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky8AlphaLast
00007ff80c441970 (__TEXT,__text) non-external (was a private external) _AddAlpha_ChunkyFAlphaFirst
00007ff80c441940 (__TEXT,__text) non-external (was a private external) _AddAlpha_ChunkyFAlphaLast
00007ff80c11ecb0 (__TEXT,__text) non-external (was a private external) _AddPassesToList
00007ff80cc9b490 (__TEXT,__const) non-external _Ainv
00007ff80c449160 (__TEXT,__text) non-external _Alpha8ConvertPass_Print
00007ff80cc9e3c4 (__TEXT,__const) non-external _AlphaChannelIsFirst.AlphaChannelIsFirstTable
00007ff80cc9e3bc (__TEXT,__const) non-external _AlphaChannelIsLast.AlphaChannelIsLastTable
00007ff840d11110 (__DATA_CONST,__const) non-external _AlphaName.AlphaNameTable
00007ff80c1217d0 (__TEXT,__text) non-external _AnyToAnyBlock
00007ff80c1218a0 (__TEXT,__text) non-external _AnyToAnyBlockInternal
00007ff80cc9b440 (__TEXT,__const) non-external _B
00007ff80c19a6c0 (__TEXT,__text) non-external _BoxConvolve16F_GCDWork
00007ff80c241f60 (__TEXT,__text) non-external _BoxConvolve8888_GCDWork
00007ff80c241110 (__TEXT,__text) non-external _BoxConvolve8_GCDWork
00007ff80c241c10 (__TEXT,__text) non-external (was a private external) _BoxConvolve_ARGB8888
00007ff843bbf4c0 (__DATA,__bss) non-external _BoxConvolve_ARGB8888.vBoxARGB8888_Int32Acc
00007ff80c240dc0 (__TEXT,__text) non-external (was a private external) _BoxConvolve_Planar8
00007ff843bbf4b8 (__DATA,__bss) non-external _BoxConvolve_Planar8.vBoxPlanar8_Int32Acc
00007ff80c11ece0 (__TEXT,__text) non-external _BringOddballFormatsToMainstream
00007ff843754e00 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_CopyToCVPixelBuffer
00007ff843754df8 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_GetSize
00007ff843754df0 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_Init
00007ff843754de8 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitForCopyFromCVPixelBuffer
00007ff843754de0 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitForCopyToCVPixelBuffer
00007ff843754dd8 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitWithCGImage
00007ff843754dd0 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitWithCVPixelBuffer
00007ff840d11150 (__DATA_CONST,__const) non-external _ByteOrderName.ByteOrderNameTable
00007ff80c11dbc0 (__TEXT,__text) non-external _CGBitmapInfoIsValid
00007ff843754dc8 (__DATA_DIRTY,__data) non-external (was a private external) _CGImageFormat_GetComponentCount
00007ff843754dc0 (__DATA_DIRTY,__data) non-external (was a private external) _CGImageFormat_IsEqual
00007ff843754f50 (__DATA_DIRTY,__common) non-external (was a private external) _CGInterfaces_loaded
00007ff80c39c3e0 (__TEXT,__text) non-external (was a private external) _CVConvertPass_Print
00007ff843754db8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Copy
00007ff843754db0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CopyChannelDescription
00007ff843754da8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CopyConversionMatrix
00007ff843754da0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Create
00007ff843754d98 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CreateWithCVPixelBuffer
00007ff843754d90 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetAlphaHint
00007ff843754d88 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChannelCount
00007ff843754d80 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChannelDescription
00007ff843754d78 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChannelNames
00007ff843754d70 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChromaSiting
00007ff843754d68 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetColorSpace
00007ff843754d60 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetConversionMatrix
00007ff843754d58 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetFormatCode
00007ff843754d50 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetUserData
00007ff843754d48 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_InitvImageCGImageFormat
00007ff843754d40 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Print
00007ff843754d38 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Release
00007ff843754d30 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Retain
00007ff843754d28 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetAlphaHint
00007ff843754d20 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetChromaSiting
00007ff843754d18 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetColorSpace
