                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) weak external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __exit (from libSystem)
                 (undefined) external _accept (from libSystem)
                 (undefined) external _access (from libSystem)
00007ffb1fa3a642 (__TEXT,__text) external _apr__SHA256_Data
00007ffb1fa3a573 (__TEXT,__text) external _apr__SHA256_End
00007ffb1fa3a456 (__TEXT,__text) external _apr__SHA256_Final
00007ffb1fa3a11b (__TEXT,__text) external _apr__SHA256_Init
00007ffb1fa3a156 (__TEXT,__text) external _apr__SHA256_Transform
00007ffb1fa3a387 (__TEXT,__text) external _apr__SHA256_Update
00007ffb1fa328a5 (__TEXT,__text) external _apr_allocator_alloc
00007ffb1fa3276d (__TEXT,__text) external _apr_allocator_create
00007ffb1fa327dd (__TEXT,__text) external _apr_allocator_destroy
00007ffb1fa32a5e (__TEXT,__text) external _apr_allocator_free
00007ffb1fa3283f (__TEXT,__text) external _apr_allocator_max_free_set
00007ffb1fa32821 (__TEXT,__text) external _apr_allocator_mutex_get
00007ffb1fa32817 (__TEXT,__text) external _apr_allocator_mutex_set
00007ffb1fa32835 (__TEXT,__text) external _apr_allocator_owner_get
00007ffb1fa3282b (__TEXT,__text) external _apr_allocator_owner_set
00007ffb1fa34c8e (__TEXT,__text) external _apr_app_initialize
00007ffb1fa2c6d9 (__TEXT,__text) external _apr_array_append
00007ffb1fa2c527 (__TEXT,__text) external _apr_array_cat
00007ffb1fa2c452 (__TEXT,__text) external _apr_array_clear
00007ffb1fa2c5f4 (__TEXT,__text) external _apr_array_copy
00007ffb1fa2c6a0 (__TEXT,__text) external _apr_array_copy_hdr
00007ffb1fa2c3d0 (__TEXT,__text) external _apr_array_make
00007ffb1fa2c45f (__TEXT,__text) external _apr_array_pop
00007ffb1fa2c735 (__TEXT,__text) external _apr_array_pstrcat
00007ffb1fa2c489 (__TEXT,__text) external _apr_array_push
00007ffb1fa2a88e (__TEXT,__text) external _apr_atoi64
00007ffb1fa2dec7 (__TEXT,__text) external _apr_atomic_add32
00007ffb1fa2defc (__TEXT,__text) external _apr_atomic_cas32
00007ffb1fa2df15 (__TEXT,__text) external _apr_atomic_casptr
00007ffb1fa2deeb (__TEXT,__text) external _apr_atomic_dec32
