                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
00007ffb1942557e (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffb19425d90 (__TEXT,__const) external _libopenpam
00007ffb19425990 (__TEXT,__text) external _misc_conv
00007ffb1942573f (__TEXT,__text) external _pam_acct_mgmt
00007ffb19425673 (__TEXT,__text) external _pam_authenticate
00007ffb194257a5 (__TEXT,__text) external _pam_chauthtok
00007ffb19425869 (__TEXT,__text) external _pam_close_session
00007ffb1942561d (__TEXT,__text) external _pam_end
00007ffb19425b41 (__TEXT,__text) external _pam_get_data
00007ffb1942592b (__TEXT,__text) external _pam_get_item
00007ffb19425cfd (__TEXT,__text) external _pam_get_pass
00007ffb19425c19 (__TEXT,__text) external _pam_get_user
00007ffb19425aa8 (__TEXT,__text) external _pam_getenv
00007ffb19425af7 (__TEXT,__text) external _pam_getenvlist
00007ffb1942580c (__TEXT,__text) external _pam_open_session
00007ffb19425c7e (__TEXT,__text) external _pam_prompt
00007ffb19425a52 (__TEXT,__text) external _pam_putenv
00007ffb19425ba6 (__TEXT,__text) external _pam_set_data
00007ffb194258c6 (__TEXT,__text) external _pam_set_item
00007ffb194256d9 (__TEXT,__text) external _pam_setcred
00007ffb194255aa (__TEXT,__text) external _pam_start
00007ffb19425a03 (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ffb1942550a (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
00007ffb1942551f (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
00007ffb19425576 (__TEXT,__text) external _xlate_pam_shim_item_type
00007ffb19425553 (__TEXT,__text) external _xlate_pam_shim_retval
00007ffb19425536 (__TEXT,__text) external _xlate_pam_shim_session_flags
00007ffb19425546 (__TEXT,__text) external _xlate_pam_shim_setcred_flags
