                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationMakeExternalForm (from Security)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayContainsValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryRemoveValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
00007ffc1a3a047c (__TEXT,__text) external _PFCheckNATRule
00007ffc1a39dc9d (__TEXT,__text) external _PFCheckRule
00007ffc1a39cd38 (__TEXT,__text) external _PFFindStatesByDescriptor
00007ffc1a39d0d1 (__TEXT,__text) external _PFGetDescriptorStateDetails
00007ffc1a3a0fb5 (__TEXT,__text) external _PFManagerAddUser
00007ffc1a39db6d (__TEXT,__text) external _PFManagerCheckUserExists
00007ffc1a39da83 (__TEXT,__text) external _PFManagerCreate
00007ffc1a39d8a3 (__TEXT,__text) external _PFManagerDebugLog
00007ffc1a39d59f (__TEXT,__text) external _PFManagerErrorLog
00007ffc1a39d4db (__TEXT,__text) external _PFManagerGetExternalAuthorizationObject
00007ffc1a39d957 (__TEXT,__text) external _PFManagerGetQueue
00007ffc1a39d7ef (__TEXT,__text) external _PFManagerInfoLog
00007ffc1a39d699 (__TEXT,__text) external _PFManagerLogOpen
00007ffc1a39d73e (__TEXT,__text) external _PFManagerNoticeLog
00007ffc1a3a10e1 (__TEXT,__text) external _PFManagerRelease
00007ffc1a3a1053 (__TEXT,__text) external _PFManagerReleaseUser
00007ffc1a39dbd3 (__TEXT,__text) external _PFManagerSendMessage
00007ffc1a39ca9d (__TEXT,__text) external _PFQueryGatewayAddrAndPortForDescriptor
00007ffc1a39cfbe (__TEXT,__text) external _PFStateQueryAppendTrafficDescriptor
00007ffc1a39b624 (__TEXT,__text) external _PFTableAddAddress
00007ffc1a39b44a (__TEXT,__text) external _PFTableBegin
00007ffc1a39bb52 (__TEXT,__text) external _PFTableClear
00007ffc1a39b7c8 (__TEXT,__text) external _PFTableCommit
00007ffc1a39b2c0 (__TEXT,__text) external _PFTableCreate
00007ffc1a39bcc5 (__TEXT,__text) external _PFTableDelete
00007ffc1a39a01c (__TEXT,__text) external _PFUserAddRule
00007ffc1a399de7 (__TEXT,__text) external _PFUserBeginRules
00007ffc1a39a628 (__TEXT,__text) external _PFUserClearRules
00007ffc1a39c35e (__TEXT,__text) external _PFUserClearStates
00007ffc1a39a280 (__TEXT,__text) external _PFUserCommitRules
00007ffc1a39c1a8 (__TEXT,__text) external _PFUserCopyRules_S
00007ffc1a399908 (__TEXT,__text) external _PFUserCreate
00007ffc1a39b04e (__TEXT,__text) external _PFUserDeleteRule
00007ffc1a39a78f (__TEXT,__text) external _PFUserDeleteRules
00007ffc1a39bf5f (__TEXT,__text) external _PFUserGetRules
00007ffc1a39ab2d (__TEXT,__text) external _PFUserInsertRule
00007ffc1a39ae0f (__TEXT,__text) external _PFUserInsertRule_S
00007ffc1a39c5bf (__TEXT,__text) external _PFUserNATLook
00007ffc1a39c87a (__TEXT,__text) external _PFUserNATLook_S
00007ffc1a39a9f0 (__TEXT,__text) external _PFUserRelease
00007ffc1a3a0d70 (__TEXT,__text) external _PFXPCCleanup
00007ffc1a3a0a24 (__TEXT,__text) external _PFXPCGetResponse
00007ffc1a3a0a31 (__TEXT,__text) external _PFXPCSetupAndSend
00007ffc1a3a13b8 (__TEXT,__const) external _PacketFilterVersionNumber
00007ffc1a3a1380 (__TEXT,__const) external _PacketFilterVersionString
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __CFRuntimeCreateInstance (from CoreFoundation)
                 (undefined) external __CFRuntimeRegisterClass (from CoreFoundation)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffc1a39e632 (__TEXT,__text) non-external ___PFAddressCheck
00007ffc1a39fa76 (__TEXT,__text) non-external ___PFAllowOptsCheck
00007ffc1a39e479 (__TEXT,__text) non-external ___PFDirCheck
00007ffc1a39fd10 (__TEXT,__text) non-external ___PFDummyNetCheck
00007ffc1a3a0345 (__TEXT,__text) non-external ___PFDummyNetConsistencyCheck
00007ffc1a39fadb (__TEXT,__text) non-external ___PFExtFilterCheck
00007ffc1a39fb4f (__TEXT,__text) non-external ___PFExtMapCheck
00007ffc1a39e5a1 (__TEXT,__text) non-external ___PFFamilyCheck
00007ffc1a39fe37 (__TEXT,__text) non-external ___PFFilterConsistencyCheck
00007ffc1a39ce0d (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke
00007ffc1a39ce93 (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke_2
00007ffc1a39cf06 (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke_3
00007ffc1a39ee1a (__TEXT,__text) non-external ___PFFlagsCheck
00007ffc1a39f1cb (__TEXT,__text) non-external ___PFGroupCheck
00007ffc1a39f5a2 (__TEXT,__text) non-external ___PFICMPCheck
00007ffc1a3a061a (__TEXT,__text) non-external ___PFIPAddressCheck
00007ffc1a3a0594 (__TEXT,__text) non-external ___PFInterfaceExists
00007ffc1a39f42e (__TEXT,__text) non-external ___PFLogCheck
00007ffc423268f0 (__DATA_CONST,__const) non-external ___PFManagerClass
00007ffc1a39d650 (__TEXT,__text) non-external ___PFManagerCreateAuthorization
00007ffc1a39d6f6 (__TEXT,__text) non-external ___PFManagerLogCreate
00007ffc1a3a10f3 (__TEXT,__text) non-external ___PFManagerLogCreate.cold.1
00007ffc1a39d9bc (__TEXT,__text) non-external ___PFManagerQueueCreate
00007ffc1a39dc12 (__TEXT,__text) non-external ___PFManagerRegister
00007ffc1a39dc2b (__TEXT,__text) non-external ___PFManagerRelease
00007ffc1a3a112b (__TEXT,__text) non-external ___PFManagerRelease.cold.1
