00007ff841ae9dd0 (__DATA,__data) external _NDR_record
00007ff800414e6e (__TEXT,__text) non-external __Xexception_raise
00007ff800414f16 (__TEXT,__text) non-external __Xexception_raise_state
00007ff800415008 (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff800406a90 (__TEXT,__text) external _____sigwait_nocancel
00007ff8004258c8 (__TEXT,__const) external ____kernelVersionNumber
00007ff800425890 (__TEXT,__const) external ____kernelVersionString
00007ff800406aa8 (__TEXT,__text) external ___abort_with_payload
00007ff8004031d0 (__TEXT,__text) external ___accept
00007ff800406ac0 (__TEXT,__text) external ___accept_nocancel
00007ff800406ad8 (__TEXT,__text) external ___access_extended
00007ff800406af0 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff8004026cc (__TEXT,__text) external ___bind
00007ff8003ff3d0 (__TEXT,__text) external ___bsdthread_create
00007ff8003fdb4c (__TEXT,__text) external ___bsdthread_ctl
00007ff800400eb4 (__TEXT,__text) external ___bsdthread_register
00007ff8003fe804 (__TEXT,__text) external ___bsdthread_terminate
00007ff800407fee (__TEXT,__text) non-external ___bzero
00007ff800406447 (__TEXT,__text) external ___carbon_delete
00007ff800406b08 (__TEXT,__text) external ___channel_get_info
00007ff800406b20 (__TEXT,__text) external ___channel_get_opt
00007ff800406b38 (__TEXT,__text) external ___channel_open
00007ff800406b50 (__TEXT,__text) external ___channel_set_opt
00007ff800406b68 (__TEXT,__text) external ___channel_sync
00007ff8003ff360 (__TEXT,__text) external ___chmod
00007ff800400a48 (__TEXT,__text) external ___chmod_extended
00007ff8003fd804 (__TEXT,__text) external ___close_nocancel
00007ff800406b80 (__TEXT,__text) external ___coalition
00007ff800406b98 (__TEXT,__text) external ___coalition_info
00007ff800406bb0 (__TEXT,__text) external ___coalition_ledger
00007ff8003fdc16 (__TEXT,__text) external ___commpage_gettimeofday
00007ff8003fdc1d (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff8003ffaac (__TEXT,__text) external ___connect
00007ff8003ff934 (__TEXT,__text) external ___connect_nocancel
00007ff800406bc8 (__TEXT,__text) external ___copyfile
00007ff800406be0 (__TEXT,__text) external ___crossarch_trap
00007ff8003fcbe0 (__TEXT,__text) external ___csrctl
00007ff80040e247 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff800406bf8 (__TEXT,__text) external ___debug_syscall_reject
00007ff800406c10 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff800406460 (__TEXT,__text) external ___delete
00007ff8003fe7ec (__TEXT,__text) external ___disable_threadsignal
00007ff8003fcb48 (__TEXT,__text) external ___error
00007ff800406c28 (__TEXT,__text) external ___execve
00007ff8004021f0 (__TEXT,__text) external ___exit
00007ff8003ffcc0 (__TEXT,__text) external ___fchmod
00007ff800400b7c (__TEXT,__text) external ___fchmod_extended
00007ff8003fcdf4 (__TEXT,__text) external ___fcntl
00007ff8003ff904 (__TEXT,__text) external ___fcntl_nocancel
00007ff800402534 (__TEXT,__text) external ___fork
00007ff800406c40 (__TEXT,__text) external ___fs_snapshot
00007ff800400b64 (__TEXT,__text) external ___fstat64_extended
00007ff800406c58 (__TEXT,__text) external ___fstat_extended
00007ff800406c70 (__TEXT,__text) external ___fsync_nocancel
00007ff800403d65 (__TEXT,__text) external ___get_remove_counter
00007ff8003fcb60 (__TEXT,__text) external ___getattrlist
00007ff8003fdad4 (__TEXT,__text) external ___getdirentries64
00007ff800400a18 (__TEXT,__text) external ___gethostuuid
00007ff800405f44 (__TEXT,__text) external ___getlogin
00007ff8003ffbb0 (__TEXT,__text) external ___getpeername
00007ff8003fc79c (__TEXT,__text) external ___getpid
00007ff8003fdfec (__TEXT,__text) external ___getrlimit
00007ff800406c88 (__TEXT,__text) external ___getsgroups
00007ff8004025d4 (__TEXT,__text) external ___getsockname
00007ff8003fd9e0 (__TEXT,__text) external ___gettid
00007ff8003ff415 (__TEXT,__text) external ___gettimeofday
00007ff8003ff400 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff800406ca0 (__TEXT,__text) external ___getwgroups
00007ff800406cb8 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff8003ff048 (__TEXT,__text) external ___guarded_open_np
00007ff800406cd0 (__TEXT,__text) external ___identitysvc
00007ff8003ff228 (__TEXT,__text) external ___inc_remove_counter
00007ff800405f2c (__TEXT,__text) external ___initgroups
00007ff8003ffa94 (__TEXT,__text) external ___ioctl
00007ff8003ffd20 (__TEXT,__text) external ___iopolicysys
00007ff800406ce8 (__TEXT,__text) external ___kdebug_trace
00007ff8003fe678 (__TEXT,__text) external ___kdebug_trace64
00007ff800406d00 (__TEXT,__text) external ___kdebug_trace_string
00007ff800400c4c (__TEXT,__text) external ___kdebug_typefilter
00007ff800425938 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff800425900 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff800402c78 (__TEXT,__text) external ___kill
00007ff8004013e4 (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff800400bdc (__TEXT,__text) external ___lchown
00007ff800400c63 (__TEXT,__text) external ___libkernel_init
00007ff8004081ad (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff8004080fd (__TEXT,__text) external ___libkernel_init_late
00007ff800400ea3 (__TEXT,__text) external ___libkernel_platform_init
00007ff8003fc78f (__TEXT,__text) external ___libkernel_voucher_init
00007ff8004031b8 (__TEXT,__text) external ___listen
00007ff800406d18 (__TEXT,__text) external ___log_data
00007ff8003fd860 (__TEXT,__text) external ___lseek
00007ff800400a60 (__TEXT,__text) external ___lstat64_extended
00007ff800406d30 (__TEXT,__text) external ___lstat_extended
00007ff800406d48 (__TEXT,__text) external ___mac_execve
00007ff800406d60 (__TEXT,__text) external ___mac_get_fd
00007ff800406d78 (__TEXT,__text) external ___mac_get_file
00007ff800406d90 (__TEXT,__text) external ___mac_get_link
00007ff800406da8 (__TEXT,__text) external ___mac_get_mount
00007ff800406dc0 (__TEXT,__text) external ___mac_get_pid
00007ff800406dd8 (__TEXT,__text) external ___mac_get_proc
00007ff800406df0 (__TEXT,__text) external ___mac_getfsstat
00007ff800406e08 (__TEXT,__text) external ___mac_mount
00007ff800406e20 (__TEXT,__text) external ___mac_set_fd
00007ff800406e38 (__TEXT,__text) external ___mac_set_file
00007ff800406e50 (__TEXT,__text) external ___mac_set_link
00007ff800403170 (__TEXT,__text) external ___mac_set_proc
00007ff8003fd8f8 (__TEXT,__text) external ___mac_syscall
00007ff800406e68 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff800406e80 (__TEXT,__text) external ___mach_eventlink_signal
00007ff800406e98 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff800406eb0 (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff800406ec8 (__TEXT,__text) external ___map_with_linking_np
00007ff800406ee0 (__TEXT,__text) external ___memorystatus_available_memory
00007ff800406ef8 (__TEXT,__text) external ___microstackshot
00007ff800406f10 (__TEXT,__text) external ___mkdir_extended
00007ff800406f28 (__TEXT,__text) external ___mkfifo_extended
00007ff8003fceec (__TEXT,__text) external ___mmap
00007ff8003ff3e8 (__TEXT,__text) external ___mprotect
00007ff800406f40 (__TEXT,__text) external ___msgctl
00007ff800406f58 (__TEXT,__text) external ___msgrcv_nocancel
00007ff800406f70 (__TEXT,__text) external ___msgsnd_nocancel
00007ff800406f88 (__TEXT,__text) external ___msgsys
00007ff800401398 (__TEXT,__text) external ___msync
00007ff800406fa0 (__TEXT,__text) external ___msync_nocancel
00007ff8003ff134 (__TEXT,__text) external ___munmap
00007ff800406fb8 (__TEXT,__text) external ___nexus_create
00007ff800406fd0 (__TEXT,__text) external ___nexus_deregister
00007ff800406fe8 (__TEXT,__text) external ___nexus_destroy
00007ff800407000 (__TEXT,__text) external ___nexus_get_opt
00007ff800407018 (__TEXT,__text) external ___nexus_open
00007ff800407030 (__TEXT,__text) external ___nexus_register
00007ff800407048 (__TEXT,__text) external ___nexus_set_opt
00007ff8003fcb90 (__TEXT,__text) external ___open
00007ff800400b4c (__TEXT,__text) external ___open_dprotected_np
00007ff800406418 (__TEXT,__text) external ___open_extended
00007ff8003fce3c (__TEXT,__text) external ___open_nocancel
00007ff8003fd81c (__TEXT,__text) external ___openat
00007ff800407060 (__TEXT,__text) external ___openat_dprotected_np
00007ff800400c0c (__TEXT,__text) external ___openat_nocancel
00007ff841ae9e98 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00007ff8004125b0 (__TEXT,__text) external ___os_nexus_flow_add
00007ff800412619 (__TEXT,__text) external ___os_nexus_flow_del
00007ff80041273b (__TEXT,__text) external ___os_nexus_get_llink_info
00007ff800412435 (__TEXT,__text) external ___os_nexus_ifattach
00007ff80041251b (__TEXT,__text) external ___os_nexus_ifdetach
00007ff8003ff4b8 (__TEXT,__text) external ___persona
00007ff8004013b0 (__TEXT,__text) external ___pipe
00007ff800407078 (__TEXT,__text) external ___poll_nocancel
00007ff800401f54 (__TEXT,__text) external ___posix_spawn
00007ff800407090 (__TEXT,__text) external ___pread_nocancel
00007ff8004070a8 (__TEXT,__text) external ___preadv_nocancel
00007ff8003fd458 (__TEXT,__text) external ___proc_info
00007ff8004070c0 (__TEXT,__text) external ___proc_info_extended_id
00007ff800402638 (__TEXT,__text) external ___process_policy
00007ff8004011e4 (__TEXT,__text) external ___pselect
00007ff8004070d8 (__TEXT,__text) external ___pselect_nocancel
00007ff8003fef88 (__TEXT,__text) external ___psynch_cvbroad
00007ff8003ff458 (__TEXT,__text) external ___psynch_cvclrprepost
00007ff800400044 (__TEXT,__text) external ___psynch_cvsignal
00007ff8003fef70 (__TEXT,__text) external ___psynch_cvwait
00007ff8003fe81c (__TEXT,__text) external ___psynch_mutexdrop
00007ff8003fe6e8 (__TEXT,__text) external ___psynch_mutexwait
00007ff8004070f0 (__TEXT,__text) external ___psynch_rw_downgrade
00007ff800407108 (__TEXT,__text) external ___psynch_rw_longrdlock
00007ff8004006e0 (__TEXT,__text) external ___psynch_rw_rdlock
00007ff8004006c8 (__TEXT,__text) external ___psynch_rw_unlock
00007ff800407120 (__TEXT,__text) external ___psynch_rw_unlock2
00007ff800407138 (__TEXT,__text) external ___psynch_rw_upgrade
00007ff8004006b0 (__TEXT,__text) external ___psynch_rw_wrlock
00007ff800407150 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00007ff80040618c (__TEXT,__text) external ___pthread_canceled
00007ff800401c58 (__TEXT,__text) external ___pthread_chdir
00007ff800401c40 (__TEXT,__text) external ___pthread_fchdir
00007ff800403140 (__TEXT,__text) external ___pthread_kill
00007ff800407168 (__TEXT,__text) external ___pthread_markcancel
00007ff800402194 (__TEXT,__text) external ___pthread_sigmask
00007ff80040353c (__TEXT,__text) external ___ptrace
00007ff800407180 (__TEXT,__text) external ___pwrite_nocancel
00007ff800407198 (__TEXT,__text) external ___pwritev_nocancel
00007ff8003fdcb4 (__TEXT,__text) external ___read_nocancel
00007ff8004071b0 (__TEXT,__text) external ___readv_nocancel
00007ff8004071c8 (__TEXT,__text) external ___reboot
00007ff8004071e0 (__TEXT,__text) external ___record_system_event
00007ff8003ffadc (__TEXT,__text) external ___recvfrom
00007ff8003ff9ac (__TEXT,__text) external ___recvfrom_nocancel
00007ff8003ffdf4 (__TEXT,__text) external ___recvmsg
00007ff8004071f8 (__TEXT,__text) external ___recvmsg_nocancel
00007ff8437ffec0 (__DATA_DIRTY,__bss) non-external ___remove_counter
00007ff8003ff210 (__TEXT,__text) external ___rename
00007ff800407210 (__TEXT,__text) external ___renameat
00007ff800407228 (__TEXT,__text) external ___renameatx_np
00007ff8003ff248 (__TEXT,__text) external ___rmdir
00007ff800406d48 (__TEXT,__text) external ___sandbox_me
00007ff800406e08 (__TEXT,__text) external ___sandbox_mm
00007ff8003fd8f8 (__TEXT,__text) external ___sandbox_ms
00007ff800403170 (__TEXT,__text) external ___sandbox_msp
00007ff8004052c0 (__TEXT,__text) external ___select
00007ff8003ff994 (__TEXT,__text) external ___select_nocancel
00007ff800403f44 (__TEXT,__text) external ___sem_open
00007ff800407240 (__TEXT,__text) external ___sem_wait_nocancel
00007ff800407258 (__TEXT,__text) external ___semctl
00007ff800407270 (__TEXT,__text) external ___semsys
00007ff8003fee3c (__TEXT,__text) external ___semwait_signal
00007ff8004021ac (__TEXT,__text) external ___semwait_signal_nocancel
00007ff800400c24 (__TEXT,__text) external ___sendmsg
00007ff8003ff9dc (__TEXT,__text) external ___sendmsg_nocancel
00007ff8003ffac4 (__TEXT,__text) external ___sendto
00007ff8003ff94c (__TEXT,__text) external ___sendto_nocancel
00007ff8003fef28 (__TEXT,__text) external ___setattrlist
00007ff800405f14 (__TEXT,__text) external ___setlogin
00007ff800402d00 (__TEXT,__text) external ___setpriority
00007ff800407288 (__TEXT,__text) external ___setregid
00007ff8004072a0 (__TEXT,__text) external ___setreuid
00007ff8003fe708 (__TEXT,__text) external ___setrlimit
00007ff8004072b8 (__TEXT,__text) external ___setsgroups
00007ff800403d70 (__TEXT,__text) external ___settid
00007ff8004072d0 (__TEXT,__text) external ___settid_with_pid
00007ff8004072e8 (__TEXT,__text) external ___settimeofday
00007ff800407300 (__TEXT,__text) external ___setwgroups
00007ff800403f9c (__TEXT,__text) external ___sfi_ctl
00007ff800407318 (__TEXT,__text) external ___sfi_pidctl
00007ff800407330 (__TEXT,__text) external ___shared_region_check_np
00007ff800407348 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00007ff8003fd7ec (__TEXT,__text) external ___shm_open
00007ff800407360 (__TEXT,__text) external ___shmctl
00007ff800407378 (__TEXT,__text) external ___shmsys
00007ff8004013fc (__TEXT,__text) external ___sigaction
