000000019f79f858 (__TEXT,__text) non-external +[Calculate _lock]
000000019f79f95c (__TEXT,__text) non-external +[Calculate _resetGlobals]
000000019f79f800 (__TEXT,__text) non-external +[Calculate _unlock]
000000019f792f08 (__TEXT,__text) non-external +[Calculate evaluate:options:]
000000019f7936f4 (__TEXT,__text) non-external +[Calculate evaluate:options:needsUpdate:]
000000019f792f5c (__TEXT,__text) non-external +[Calculate evaluate:options:resultHandler:]
000000019f793660 (__TEXT,__text) non-external +[CalculateRequest _lock]
000000019f793654 (__TEXT,__text) non-external +[CalculateRequest _unlock]
000000019f7935bc (__TEXT,__text) non-external +[CalculateRequest serialQueue]
000000019f79f67c (__TEXT,__text) non-external +[CalculateResult decimalNumberWithDecimal128:]
000000019f79f734 (__TEXT,__text) non-external +[CalculateResult defaultNumberFormatter]
000000019f79f124 (__TEXT,__text) non-external +[CalculateResult preferMeasurementSystemsForLocale:preferred:fallback:]
000000019f79f1f8 (__TEXT,__text) non-external +[CalculateResult resultWithResultTree:parseTree:locales:numberFormatter:unitsInfo:unitType:unitExponent:expression:isTrivial:localizeUnit:unitFormat:autoScientificNotation:flexibleFractionDigits:hasStaleCurrencyData:]
000000019f79afc4 (__TEXT,__text) non-external +[CalculateTerm termWithValue:units:result:]
000000019f7a0000 (__TEXT,__text) non-external +[CalculateToken tokenWithType:range:text:ranks:]
000000019f7a3698 (__TEXT,__text) non-external +[CalculateTokenizer displayNameExponent:]
000000019f7a3788 (__TEXT,__text) non-external +[CalculateTokenizer prepareString:]
000000019f7a3728 (__TEXT,__text) non-external +[CalculateTokenizer tokenizerWithUnits:]
000000019f79e6ac (__TEXT,__text) non-external +[CalculateUnit unitWithID:unitsInfo:exponent:]
000000019f7a846c (__TEXT,__text) non-external +[Converter currencyCacheLastRefreshDate]
000000019f7a84cc (__TEXT,__text) non-external +[Converter dispatchQueue]
000000019f7a8568 (__TEXT,__text) non-external +[Converter initialize]
000000019f7a8424 (__TEXT,__text) non-external +[Converter needsRefresh]
000000019f7a8394 (__TEXT,__text) non-external +[Converter refreshCurrencyCacheIfNeeded]
000000019f7a83dc (__TEXT,__text) non-external +[Converter refreshCurrencyCache]
000000019f77d520 (__TEXT,__text) non-external +[CurrencyCache shared]
000000019f78f520 (__TEXT,__text) non-external +[Localize availableLocaleNames]
000000019f78f12c (__TEXT,__text) non-external +[Localize formatString:withExponent:formatter:]
000000019f78f3e8 (__TEXT,__text) non-external +[Localize localizationForLocale:]
000000019f78f04c (__TEXT,__text) non-external +[Localize localizedStringForKey:value:table:localization:]
000000019f78efac (__TEXT,__text) non-external +[Localize localizedStringsForTable:localization:]
000000019f78f580 (__TEXT,__text) non-external +[Localize mainBundle]
000000019f78f748 (__TEXT,__text) non-external +[Localize systemLocale]
000000019f78f5c0 (__TEXT,__text) non-external +[Localize systemLocales]
000000019f792d74 (__TEXT,__text) non-external +[Trie enumerateCharactersInKey:range:usingBlock:]
000000019f7924c8 (__TEXT,__text) non-external +[TrieNode nodeWithTrie:node:offset:]
000000019f79007c (__TEXT,__text) non-external +[UnitRanks unitRanksWithUnitsInfo:]
000000019f792100 (__TEXT,__text) non-external +[UnitsInfo shouldSkipUnitName:]
000000019f7920a0 (__TEXT,__text) non-external +[UnitsInfo unitsInfoWithDictionary:]
000000019f7930bc (__TEXT,__text) non-external -[CalculateRequest .cxx_destruct]
000000019f79324c (__TEXT,__text) non-external -[CalculateRequest cancel]
000000019f79316c (__TEXT,__text) non-external -[CalculateRequest expression]
000000019f793174 (__TEXT,__text) non-external -[CalculateRequest finish]
000000019f793130 (__TEXT,__text) non-external -[CalculateRequest isCanceled]
000000019f793158 (__TEXT,__text) non-external -[CalculateRequest options]
000000019f793120 (__TEXT,__text) non-external -[CalculateRequest resultHandler]
000000019f793144 (__TEXT,__text) non-external -[CalculateRequest result]
000000019f793160 (__TEXT,__text) non-external -[CalculateRequest setExpression:]
000000019f793128 (__TEXT,__text) non-external -[CalculateRequest setIsCanceled:]
000000019f79314c (__TEXT,__text) non-external -[CalculateRequest setOptions:]
000000019f793138 (__TEXT,__text) non-external -[CalculateRequest setResult:]
000000019f793118 (__TEXT,__text) non-external -[CalculateRequest setResultHandler:]
000000019f793318 (__TEXT,__text) non-external -[CalculateRequest update]
000000019f79ba0c (__TEXT,__text) non-external -[CalculateResult .cxx_destruct]
000000019f79effc (__TEXT,__text) non-external -[CalculateResult _setConversions:]
000000019f79ef84 (__TEXT,__text) non-external -[CalculateResult _setExpression:]
000000019f79ef90 (__TEXT,__text) non-external -[CalculateResult _setInputValueAndUnit:]
000000019f79ee50 (__TEXT,__text) non-external -[CalculateResult _setTerms:]
000000019f79bbb0 (__TEXT,__text) non-external -[CalculateResult autoScientificNotation]
000000019f79ca78 (__TEXT,__text) non-external -[CalculateResult availableConversions]
000000019f79cb40 (__TEXT,__text) non-external -[CalculateResult bestConversion]
000000019f79eb40 (__TEXT,__text) non-external -[CalculateResult compare:]
000000019f79d8b4 (__TEXT,__text) non-external -[CalculateResult conversionsForMetric:US:UK:]
000000019f79bb68 (__TEXT,__text) non-external -[CalculateResult conversions]
000000019f79bc88 (__TEXT,__text) non-external -[CalculateResult convertedTo:]
000000019f79c00c (__TEXT,__text) non-external -[CalculateResult convertedTree:needsUpdate:]
000000019f79ed50 (__TEXT,__text) non-external -[CalculateResult dealloc]
000000019f79bbe8 (__TEXT,__text) non-external -[CalculateResult description]
000000019f79e7f8 (__TEXT,__text) non-external -[CalculateResult enableMeasurementSystemsForLocale:metric:US:UK:]
000000019f79bbe0 (__TEXT,__text) non-external -[CalculateResult expression]
000000019f79bba0 (__TEXT,__text) non-external -[CalculateResult flexibleFractionDigits]
000000019f79eacc (__TEXT,__text) non-external -[CalculateResult formattedExpression]
000000019f79e960 (__TEXT,__text) non-external -[CalculateResult formattedResult]
000000019f79bb60 (__TEXT,__text) non-external -[CalculateResult hasStaleCurrencyData]
000000019f79edd8 (__TEXT,__text) non-external -[CalculateResult init]
000000019f79bb70 (__TEXT,__text) non-external -[CalculateResult inputValueAndUnit]
000000019f79d74c (__TEXT,__text) non-external -[CalculateResult isAcceptableConversion:]
000000019f79ead0 (__TEXT,__text) non-external -[CalculateResult isEqual:]
000000019f79bb90 (__TEXT,__text) non-external -[CalculateResult isTrivial]
000000019f79bbc4 (__TEXT,__text) non-external -[CalculateResult locales]
000000019f79baf0 (__TEXT,__text) non-external -[CalculateResult localizeUnit]
000000019f79c214 (__TEXT,__text) non-external -[CalculateResult localizedConversions]
000000019f79dca4 (__TEXT,__text) non-external -[CalculateResult newUnit:]
000000019f79bbd8 (__TEXT,__text) non-external -[CalculateResult numberFormatter]
000000019f79bb24 (__TEXT,__text) non-external -[CalculateResult parent]
000000019f79bb10 (__TEXT,__text) non-external -[CalculateResult parseTree]
000000019f79bb00 (__TEXT,__text) non-external -[CalculateResult resultTree]
000000019f79bba8 (__TEXT,__text) non-external -[CalculateResult setAutoScientificNotation:]
000000019f79bb98 (__TEXT,__text) non-external -[CalculateResult setFlexibleFractionDigits:]
000000019f79bbb8 (__TEXT,__text) non-external -[CalculateResult setLocales:]
000000019f79bae8 (__TEXT,__text) non-external -[CalculateResult setLocalizeUnit:]
000000019f79bbcc (__TEXT,__text) non-external -[CalculateResult setNumberFormatter:]
000000019f79bb18 (__TEXT,__text) non-external -[CalculateResult setParent:]
000000019f79bb08 (__TEXT,__text) non-external -[CalculateResult setParseTree:]
000000019f79baf8 (__TEXT,__text) non-external -[CalculateResult setResultTree:]
000000019f79baa0 (__TEXT,__text) non-external -[CalculateResult setSingleUnitID:]
000000019f79bb50 (__TEXT,__text) non-external -[CalculateResult setSynchronous:]
