00007ffb1cb3835b (__TEXT,__text) external _AAAFSCGetMetadata
00007ffb1cb386e6 (__TEXT,__text) external _AAAFSCSetMetadata
00007ffb1cb3770c (__TEXT,__text) external _AAAFSCStreamOpen
00007ffb1cb37e43 (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
00007ffb1cb37f49 (__TEXT,__text) external _AAAFSCStreamOpenWithState
00007ffb1caca2df (__TEXT,__text) external _AAArchiveStreamCancel
00007ffb1caca2a8 (__TEXT,__text) external _AAArchiveStreamClose
00007ffb1cadf21a (__TEXT,__text) external _AAArchiveStreamProcess
00007ffb1caca25a (__TEXT,__text) external _AAArchiveStreamReadBlob
00007ffb1caca240 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007ffb1caca28e (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007ffb1caca274 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007ffb1cacb89c (__TEXT,__text) external _AAArchiveStreamWritePathList
00007ffb1cacf6ca (__TEXT,__text) external _AAAssetBuilderAddFilter
00007ffb1cacf600 (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
00007ffb1cacf554 (__TEXT,__text) external _AAAssetBuilderCreate
00007ffb1cacf5ef (__TEXT,__text) external _AAAssetBuilderDestroy
00007ffb1cb2d1b4 (__TEXT,__text) external _AAAssetBuilderGenerate
00007ffb1cacf768 (__TEXT,__text) external _AAAssetBuilderGetParameter
00007ffb1cacf6d5 (__TEXT,__text) external _AAAssetBuilderSetParameter
00007ffb1cacfdd1 (__TEXT,__text) external _AAAssetExtractorCreate
00007ffb1cad03e9 (__TEXT,__text) external _AAAssetExtractorDestroy
00007ffb1cad0dfa (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
00007ffb1cad0d82 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
00007ffb1cad08d2 (__TEXT,__text) external _AAAssetExtractorWrite
00007ffb1cb3f588 (__TEXT,__text) external _AAAsyncByteStreamCancel
00007ffb1cb3f59d (__TEXT,__text) external _AAAsyncByteStreamClose
00007ffb1cb3ef78 (__TEXT,__text) external _AAAsyncByteStreamGetRange
00007ffb1cb3f427 (__TEXT,__text) external _AAAsyncByteStreamProcess
