000000018ccdc4cc (__TEXT,__text) external _BZ2_bzBuffToBuffCompress
000000018ccdb434 (__TEXT,__text) external _BZ2_bzBuffToBuffDecompress
000000018ccdc7b8 (__TEXT,__text) external _BZ2_bzCompress
000000018ccdc944 (__TEXT,__text) external _BZ2_bzCompressEnd
000000018ccdc5d4 (__TEXT,__text) external _BZ2_bzCompressInit
000000018ccdb61c (__TEXT,__text) external _BZ2_bzDecompress
000000018ccdc448 (__TEXT,__text) external _BZ2_bzDecompressEnd
000000018ccdb544 (__TEXT,__text) external _BZ2_bzDecompressInit
000000018ccdf970 (__TEXT,__text) external _BZ2_bzRead
000000018ccdf8d8 (__TEXT,__text) external _BZ2_bzReadClose
000000018ccdfb78 (__TEXT,__text) external _BZ2_bzReadGetUnused
000000018ccdf754 (__TEXT,__text) external _BZ2_bzReadOpen
000000018ccdf3f0 (__TEXT,__text) external _BZ2_bzWrite
000000018ccdf538 (__TEXT,__text) external _BZ2_bzWriteClose
000000018ccdf548 (__TEXT,__text) external _BZ2_bzWriteClose64
000000018ccdf2b0 (__TEXT,__text) external _BZ2_bzWriteOpen
000000018ccdfee8 (__TEXT,__text) external _BZ2_bzclose
000000018ccdfe30 (__TEXT,__text) external _BZ2_bzdopen
000000018ccdffac (__TEXT,__text) external _BZ2_bzerror
000000018ccdfee0 (__TEXT,__text) external _BZ2_bzflush
000000018ccdee44 (__TEXT,__text) external _BZ2_bzlibVersion
000000018ccdfbec (__TEXT,__text) external _BZ2_bzopen
000000018ccdfe44 (__TEXT,__text) external _BZ2_bzread
000000018ccdfe94 (__TEXT,__text) external _BZ2_bzwrite
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strlcat_chk (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _ungetc (from libSystem)
