00000001e3b1db74 (__TEXT,__text) non-external _DiToMD5
00000001e3b1dee4 (__TEXT,__text) non-external _DiToSHA1
00000001e3b033c8 (__TEXT,__text) external _DriverExecutableMain
000000020fcfb518 (__AUTH_CONST,__const) external _IOBufferMemoryDescriptor_Class
000000020fcfb7d8 (__AUTH_CONST,__const) external _IOCommandPool_Class
000000020fcfb6e0 (__AUTH_CONST,__const) external _IOCommand_Class
000000020fcfb8d0 (__AUTH_CONST,__const) external _IODMACommand_Class
000000020fcfba80 (__AUTH_CONST,__const) external _IODataQueueDispatchSource_Class
00000001e3affbb4 (__TEXT,__text) external _IODelay
000000020fcfbc30 (__AUTH_CONST,__const) external _IODispatchQueue_Class
000000020fcfbde0 (__AUTH_CONST,__const) external _IODispatchSource_Class
00000001e3b03958 (__TEXT,__text) external _IODriverKitTest
00000001e3b2e3f0 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00000001e3b2e424 (__TEXT,__text) non-external _IODriverKitTest.cold.2
00000001e3b2e450 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00000001e3b2e484 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00000001e3b2e4b0 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00000001e3b2e4dc (__TEXT,__text) non-external _IODriverKitTest.cold.6
00000001e3b2e508 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00000001e3b2e534 (__TEXT,__text) non-external _IODriverKitTest.cold.8
000000020fcfbf90 (__AUTH_CONST,__const) external _IOEventLink_Class
00000001e3affb80 (__TEXT,__text) external _IOFree
00000001e3affba4 (__TEXT,__text) external _IOFreeData
00000001e3b03928 (__TEXT,__text) external _IOGetExecutableSDKVersion
000000020fcfc830 (__AUTH_CONST,__const) external _IOHistogramReporter_Class
000000020fcfc140 (__AUTH_CONST,__const) external _IOInterruptDispatchSource_Class
00000001e3affbc0 (__TEXT,__text) non-external (was a private external) _IOLibInit
00000001e3b02688 (__TEXT,__text) external _IOLockAlloc
00000001e3b026c8 (__TEXT,__text) external _IOLockAssert
00000001e3b2dcd0 (__TEXT,__text) non-external _IOLockAssert.cold.1
00000001e3b026ac (__TEXT,__text) external _IOLockFree
00000001e3b026bc (__TEXT,__text) external _IOLockLock
00000001e3b026c0 (__TEXT,__text) external _IOLockTryLock
00000001e3b026c4 (__TEXT,__text) external _IOLockUnlock
00000001e3affa58 (__TEXT,__text) external _IOLog
00000001e3aff8fc (__TEXT,__text) external _IOLogBuffer
00000001e3affa84 (__TEXT,__text) external _IOLogv
00000001e3affb60 (__TEXT,__text) external _IOMalloc
00000001e3affb84 (__TEXT,__text) external _IOMallocData
00000001e3affb74 (__TEXT,__text) external _IOMallocZero
00000001e3affb98 (__TEXT,__text) external _IOMallocZeroData
000000020fcfc2f0 (__AUTH_CONST,__const) external _IOMemoryDescriptor_Class
000000020fcfc4a0 (__AUTH_CONST,__const) external _IOMemoryMap_Class
00000001e3affc60 (__TEXT,__text) external _IOParseBootArgNumber
00000001e3b001b0 (__TEXT,__text) external _IOParseBootArgString
00000001e3b016fc (__TEXT,__text) external _IORPCMessageFromMach
00000001e3b2d9d8 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00000001e3b2da18 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00000001e3b02930 (__TEXT,__text) external _IORWLockAlloc
00000001e3b2de30 (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00000001e3b02974 (__TEXT,__text) external _IORWLockFree
00000001e3b029b8 (__TEXT,__text) external _IORWLockRead
00000001e3b2de5c (__TEXT,__text) non-external _IORWLockRead.cold.1
00000001e3b029f8 (__TEXT,__text) external _IORWLockUnlock
00000001e3b2deb4 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00000001e3b029d8 (__TEXT,__text) external _IORWLockWrite
00000001e3b2de88 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00000001e3b02750 (__TEXT,__text) external _IORecursiveConditionLockAlloc
00000001e3b0278c (__TEXT,__text) external _IORecursiveConditionLockFree
00000001e3b02874 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00000001e3b2ddac (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00000001e3b0279c (__TEXT,__text) external _IORecursiveConditionLockLock
00000001e3b2dcfc (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00000001e3b2dd28 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00000001e3b028b8 (__TEXT,__text) external _IORecursiveConditionLockTryLock
00000001e3b2ddd8 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00000001e3b2de04 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00000001e3b02804 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00000001e3b2dd54 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00000001e3b2dd80 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00000001e3b02708 (__TEXT,__text) external _IORecursiveLockAlloc
00000001e3b0272c (__TEXT,__text) external _IORecursiveLockFree
00000001e3b02748 (__TEXT,__text) external _IORecursiveLockHaveLock
00000001e3b0273c (__TEXT,__text) external _IORecursiveLockLock
00000001e3b0274c (__TEXT,__text) external _IORecursiveLockTryLock
00000001e3b02744 (__TEXT,__text) external _IORecursiveLockUnlock
000000020fcfc8d0 (__AUTH_CONST,__const) external _IOReportLegend_Class
000000020fcfc650 (__AUTH_CONST,__const) external _IOReporter_Class
000000020fcfcf00 (__AUTH_CONST,__const) external _IOServiceNotificationDispatchSource_Class
000000020fcfd0b0 (__AUTH_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
000000020fcfcd50 (__AUTH_CONST,__const) external _IOService_Class
000000020fcfc6f0 (__AUTH_CONST,__const) external _IOSimpleReporter_Class
00000001e3affba8 (__TEXT,__text) external _IOSleep
000000020fcfc790 (__AUTH_CONST,__const) external _IOStateReporter_Class
000000020fcfeeb0 (__AUTH_CONST,__const) external _IOThread_Class
000000020fcfd260 (__AUTH_CONST,__const) external _IOTimerDispatchSource_Class
000000020fcfd410 (__AUTH_CONST,__const) external _IOUserClient_Class
00000001e3b0341c (__TEXT,__text) external _IOUserServerMain
00000001e3b2e238 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00000001e3b2e3c4 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00000001e3b2e264 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00000001e3b2e290 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00000001e3b2e2bc (__TEXT,__text) non-external _IOUserServerMain.cold.4
00000001e3b2e2e8 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00000001e3b2e314 (__TEXT,__text) non-external _IOUserServerMain.cold.6
00000001e3b2e340 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00000001e3b2e36c (__TEXT,__text) non-external _IOUserServerMain.cold.8
00000001e3b2e398 (__TEXT,__text) non-external _IOUserServerMain.cold.9
000000020fcfd790 (__AUTH_CONST,__const) external _IOUserServer_Class
000000020ed817b0 (__DATA_DIRTY,__common) external _IOVMPageSize
000000020fcfd940 (__AUTH_CONST,__const) external _IOWorkGroup_Class
00000001e3b1dd48 (__TEXT,__text) external _MD5Final
00000001e3b1daac (__TEXT,__text) external _MD5Init
00000001e3b1dcd0 (__TEXT,__text) non-external _MD5ToDi
00000001e3b1dbe0 (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
000000020fcfdaf0 (__AUTH_CONST,__const) external _OSAction_Class
000000020fcfd4b0 (__AUTH_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
000000020fcfebf0 (__AUTH_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00000001e3b0d750 (__TEXT,__text) external _OSArrayAppendValue
00000001e3b0d3c4 (__TEXT,__text) external _OSArrayApply
00000001e3b0cff8 (__TEXT,__text) external _OSArrayCreate
00000001e3b0c564 (__TEXT,__text) external _OSArrayGetCount
00000001e3b0d7f8 (__TEXT,__text) external _OSArrayGetStringValue
00000001e3b0d8a8 (__TEXT,__text) external _OSArrayGetUInt64Value
00000001e3b0d784 (__TEXT,__text) external _OSArrayGetValue
00000001e3b0d748 (__TEXT,__text) external _OSArrayReplaceValue
00000001e3b0d824 (__TEXT,__text) external _OSArraySetStringValue
00000001e3b0d9b0 (__TEXT,__text) external _OSArraySetUInt64Value
00000001e3b0d570 (__TEXT,__text) external _OSArraySetValue
000000020fcfdca0 (__AUTH_CONST,__const) external _OSArray_Class
000000020fcfdd98 (__AUTH_CONST,__const) external _OSBoolean_Class
000000020fcfde90 (__AUTH_CONST,__const) external _OSBundle_Class
00000001e3b0b384 (__TEXT,__text) external _OSCollectionTypeID
00000001e3b2f1a8 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00000001e3b0b2b4 (__TEXT,__text) external _OSCollectionTypeName
00000001e3b2f150 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
000000020fcfdf88 (__AUTH_CONST,__const) external _OSCollection_Class
00000001e3b10940 (__TEXT,__text) external _OSCollectionsInitialize
000000020fcfe080 (__AUTH_CONST,__const) external _OSContainer_Class
00000001e3b0b40c (__TEXT,__text) external _OSCreateObjectFromSerialization
00000001e3b2f200 (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00000001e3b0e368 (__TEXT,__text) external _OSCreateSerializationFromBytes
