                 (undefined) external _CBAdvertisementDataIsConnectable (from CoreBluetooth)
                 (undefined) external _CBAdvertisementDataServiceDataKey (from CoreBluetooth)
                 (undefined) external _CBCentralManagerScanOptionAllowDuplicatesKey (from CoreBluetooth)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytes (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFNumberGetValue (from CoreFoundation)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _DNSServiceBrowse (from libSystem)
                 (undefined) external _DNSServiceCreateConnection (from libSystem)
                 (undefined) external _DNSServiceGetAddrInfo (from libSystem)
                 (undefined) external _DNSServiceReconfirmRecord (from libSystem)
                 (undefined) external _DNSServiceRefDeallocate (from libSystem)
                 (undefined) external _DNSServiceRegister (from libSystem)
                 (undefined) external _DNSServiceRegisterRecord (from libSystem)
                 (undefined) external _DNSServiceResolve (from libSystem)
                 (undefined) external _DNSServiceSetDispatchQueue (from libSystem)
                 (undefined) external _DNSServiceUpdateRecord (from libSystem)
                 (undefined) external _IOIteratorNext (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryGetParentEntry (from IOKit)
                 (undefined) external _IOServiceGetMatchingServices (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
00007ffb4186de28 (__DATA_CONST,__const) external _MTRArrayValueType
00007ffb0c2035cc (__TEXT,__text) external _MTRAttributeNameForID
00007ffb4186dda0 (__DATA_CONST,__const) external _MTRAttributePathKey
00007ffb4186ddf0 (__DATA_CONST,__const) external _MTRBooleanValueType
00007ffb0c202998 (__TEXT,__text) external _MTRClusterNameForID
00007ffb4186dda8 (__DATA_CONST,__const) external _MTRCommandPathKey
00007ffb4186ddd8 (__DATA_CONST,__const) external _MTRContextTagKey
00007ffb4186ddb8 (__DATA_CONST,__const) external _MTRDataKey
00007ffb4187edb0 (__DATA_CONST,__const) external _MTRDataVersionKey
00007ffb4187c868 (__DATA_CONST,__const) external _MTRDeviceControllerRegistrationControllerCompressedFabricIDKey
00007ffb4187c838 (__DATA_CONST,__const) external _MTRDeviceControllerRegistrationControllerContextKey
00007ffb4187c858 (__DATA_CONST,__const) external _MTRDeviceControllerRegistrationControllerIsRunningKey
00007ffb4187c850 (__DATA_CONST,__const) external _MTRDeviceControllerRegistrationControllerNodeIDKey
00007ffb4187c860 (__DATA_CONST,__const) external _MTRDeviceControllerRegistrationDeviceInternalStateKey
00007ffb4187c848 (__DATA_CONST,__const) external _MTRDeviceControllerRegistrationNodeIDKey
00007ffb4187c840 (__DATA_CONST,__const) external _MTRDeviceControllerRegistrationNodeIDsKey
00007ffb0c703fc9 (__TEXT,__text) external _MTRDeviceControllerStorageClasses
00007ffb4186de10 (__DATA_CONST,__const) external _MTRDoubleValueType
00007ffb4187c900 (__DATA_CONST,__const) external _MTRErrorDomain
00007ffb4186ddc0 (__DATA_CONST,__const) external _MTRErrorKey
00007ffb4186de58 (__DATA_CONST,__const) external _MTREventIsHistoricalKey
00007ffb0c20d0b4 (__TEXT,__text) external _MTREventNameForID
00007ffb4186de30 (__DATA_CONST,__const) external _MTREventNumberKey
00007ffb4186ddb0 (__DATA_CONST,__const) external _MTREventPathKey
00007ffb4186de38 (__DATA_CONST,__const) external _MTREventPriorityKey
