                 (undefined) external _OSSpinLockLock (from libsystem_platform)
                 (undefined) external _OSSpinLockUnlock (from libsystem_platform)
                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff80d94f13d (__TEXT,__text) external ___absvdi2
00007ff80d94f170 (__TEXT,__text) external ___absvsi2
00007ff80d94f199 (__TEXT,__text) external ___absvti2
00007ff80d94f1d9 (__TEXT,__text) external ___addvdi3
00007ff80d94f21f (__TEXT,__text) external ___addvsi3
00007ff80d94f261 (__TEXT,__text) external ___addvti3
00007ff80d94f2be (__TEXT,__text) external ___ashldi3
00007ff80d94f2ea (__TEXT,__text) external ___ashlti3
00007ff80d94f312 (__TEXT,__text) external ___ashrdi3
00007ff80d94f343 (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff80d94f5dc (__TEXT,__text) external ___atomic_compare_exchange
00007ff80d94fb1c (__TEXT,__text) external ___atomic_compare_exchange_1
00007ff80d94fb68 (__TEXT,__text) external ___atomic_compare_exchange_2
00007ff80d94fbb4 (__TEXT,__text) external ___atomic_compare_exchange_4
00007ff80d94fc00 (__TEXT,__text) external ___atomic_compare_exchange_8
00007ff80d94f81c (__TEXT,__text) external ___atomic_exchange
00007ff80d94fa4e (__TEXT,__text) external ___atomic_exchange_1
00007ff80d94fa84 (__TEXT,__text) external ___atomic_exchange_2
00007ff80d94fab8 (__TEXT,__text) external ___atomic_exchange_4
00007ff80d94fae8 (__TEXT,__text) external ___atomic_exchange_8
00007ff80d94fc4c (__TEXT,__text) external ___atomic_fetch_add_1
00007ff80d94fc84 (__TEXT,__text) external ___atomic_fetch_add_2
00007ff80d94fcb8 (__TEXT,__text) external ___atomic_fetch_add_4
00007ff80d94fcec (__TEXT,__text) external ___atomic_fetch_add_8
00007ff80d94fdfc (__TEXT,__text) external ___atomic_fetch_and_1
00007ff80d94fe74 (__TEXT,__text) external ___atomic_fetch_and_2
00007ff80d94fef4 (__TEXT,__text) external ___atomic_fetch_and_4
00007ff80d94ff64 (__TEXT,__text) external ___atomic_fetch_and_8
00007ff80d94ffe8 (__TEXT,__text) external ___atomic_fetch_or_1
00007ff80d950060 (__TEXT,__text) external ___atomic_fetch_or_2
00007ff80d9500e0 (__TEXT,__text) external ___atomic_fetch_or_4
00007ff80d950150 (__TEXT,__text) external ___atomic_fetch_or_8
00007ff80d94fd20 (__TEXT,__text) external ___atomic_fetch_sub_1
00007ff80d94fd58 (__TEXT,__text) external ___atomic_fetch_sub_2
00007ff80d94fd90 (__TEXT,__text) external ___atomic_fetch_sub_4
00007ff80d94fdc4 (__TEXT,__text) external ___atomic_fetch_sub_8
00007ff80d9501d4 (__TEXT,__text) external ___atomic_fetch_xor_1
00007ff80d95024c (__TEXT,__text) external ___atomic_fetch_xor_2
00007ff80d9502cc (__TEXT,__text) external ___atomic_fetch_xor_4
00007ff80d95033c (__TEXT,__text) external ___atomic_fetch_xor_8
00007ff80d94f374 (__TEXT,__text) external ___atomic_is_lock_free
00007ff80d94f3c8 (__TEXT,__text) external ___atomic_load
00007ff80d94f9c8 (__TEXT,__text) external ___atomic_load_1
00007ff80d94f9d9 (__TEXT,__text) external ___atomic_load_2
00007ff80d94f9eb (__TEXT,__text) external ___atomic_load_4
00007ff80d94f9f9 (__TEXT,__text) external ___atomic_load_8
00007ff80d94f4c4 (__TEXT,__text) external ___atomic_store
00007ff80d94fa08 (__TEXT,__text) external ___atomic_store_1
00007ff80d94fa1a (__TEXT,__text) external ___atomic_store_2
00007ff80d94fa2c (__TEXT,__text) external ___atomic_store_4
00007ff80d94fa3c (__TEXT,__text) external ___atomic_store_8
                 (indirect) external ___chkstk_darwin (for ____chkstk_darwin)
00007ff80d950470 (__TEXT,__text) external ___clear_cache
00007ff80d950471 (__TEXT,__text) external ___clzdi2
00007ff80d95048c (__TEXT,__text) external ___clzsi2
00007ff80d9504fc (__TEXT,__text) external ___clzti2
00007ff80d950515 (__TEXT,__text) external ___cmpdi2
00007ff80d950541 (__TEXT,__text) external ___cmpti2
00007ff80d9525a4 (__TEXT,__text) non-external (was a private external) ___compilerrt_abort_impl
00007ff80d950562 (__TEXT,__text) external ___ctzdi2
00007ff80d95057c (__TEXT,__text) external ___ctzsi2
00007ff80d9505e0 (__TEXT,__text) external ___ctzti2
00007ff80d9505f6 (__TEXT,__text) external ___divdc3
00007ff80d94f0b2 (__TEXT,__text) external ___divdi3
00007ff80d950c84 (__TEXT,__text) external ___divsc3
00007ff80d94f0ed (__TEXT,__text) external ___divti3
00007ff80d951230 (__TEXT,__text) external ___divxc3
00007ff80d95157d (__TEXT,__text) external ___enable_execute_stack
00007ff80d95159e (__TEXT,__text) external ___extendhfsf2
00007ff80d95160c (__TEXT,__text) external ___ffsdi2
00007ff80d951628 (__TEXT,__text) external ___ffsti2
00007ff80d951644 (__TEXT,__text) external ___fixdfdi
00007ff80d951665 (__TEXT,__text) external ___fixdfti
00007ff80d95171a (__TEXT,__text) external ___fixsfdi
00007ff80d951738 (__TEXT,__text) external ___fixsfti
00007ff80d94efa4 (__TEXT,__text) external ___fixunsdfdi
00007ff80d9517e5 (__TEXT,__text) external ___fixunsdfsi
00007ff80d951831 (__TEXT,__text) external ___fixunsdfti
00007ff80d9518b1 (__TEXT,__text) external ___fixunssfdi
00007ff80d9518f6 (__TEXT,__text) external ___fixunssfsi
00007ff80d951943 (__TEXT,__text) external ___fixunssfti
00007ff80d94efe7 (__TEXT,__text) external ___fixunsxfdi
00007ff80d9519bb (__TEXT,__text) external ___fixunsxfsi
00007ff80d951a31 (__TEXT,__text) external ___fixunsxfti
00007ff80d951aeb (__TEXT,__text) external ___fixxfdi
00007ff80d951b85 (__TEXT,__text) external ___fixxfti
00007ff80d951c68 (__TEXT,__text) external ___floatdidf
00007ff80d951c6e (__TEXT,__text) external ___floatdisf
00007ff80d951c74 (__TEXT,__text) external ___floatdixf
00007ff80d951c7e (__TEXT,__text) external ___floattidf
00007ff80d951d95 (__TEXT,__text) external ___floattisf
00007ff80d951e97 (__TEXT,__text) external ___floattixf
00007ff80d951fc8 (__TEXT,__text) external ___floatundidf
00007ff80d951ff4 (__TEXT,__text) external ___floatundisf
00007ff80d952020 (__TEXT,__text) external ___floatundixf
00007ff80d952036 (__TEXT,__text) external ___floatuntidf
00007ff80d95213e (__TEXT,__text) external ___floatuntisf
00007ff80d952206 (__TEXT,__text) external ___floatuntixf
00007ff80d95230c (__TEXT,__text) external ___gcc_personality_v0
00007ff80d9539b1 (__TEXT,__text) external ___gnu_f2h_ieee
00007ff80d951607 (__TEXT,__text) external ___gnu_h2f_ieee
00007ff80d9525bc (__TEXT,__text) external ___lshrdi3
00007ff80d9525ea (__TEXT,__text) external ___lshrti3
00007ff80d94f061 (__TEXT,__text) external ___moddi3
00007ff80d952612 (__TEXT,__text) external ___modti3
00007ff80d95267a (__TEXT,__text) external ___muldc3
00007ff80d952837 (__TEXT,__text) external ___muldi3
00007ff80d9528bc (__TEXT,__text) external ___mulodi4
00007ff80d95294a (__TEXT,__text) external ___mulosi4
00007ff80d9529c1 (__TEXT,__text) external ___muloti4
00007ff80d952adb (__TEXT,__text) external ___mulsc3
00007ff80d952c3f (__TEXT,__text) external ___multi3
00007ff80d952c9e (__TEXT,__text) external ___mulvdi3
00007ff80d952d9d (__TEXT,__text) external ___mulvsi3
00007ff80d952e79 (__TEXT,__text) external ___mulvti3
00007ff80d953000 (__TEXT,__text) external ___mulxc3
00007ff80d95335d (__TEXT,__text) external ___negdi2
00007ff80d953364 (__TEXT,__text) external ___negti2
00007ff80d953370 (__TEXT,__text) external ___negvdi2
00007ff80d95339f (__TEXT,__text) external ___negvsi2
00007ff80d9533c5 (__TEXT,__text) external ___negvti2
00007ff80d9533f7 (__TEXT,__text) external ___paritydi2
00007ff80d953426 (__TEXT,__text) external ___paritysi2
00007ff80d95344c (__TEXT,__text) external ___parityti2
00007ff80d95347e (__TEXT,__text) external ___popcountdi2
00007ff80d9534e0 (__TEXT,__text) external ___popcountsi2
00007ff80d953519 (__TEXT,__text) external ___popcountti2
00007ff80d9535a7 (__TEXT,__text) external ___powidf2
00007ff80d95360b (__TEXT,__text) external ___powisf2
00007ff80d95366a (__TEXT,__text) external ___powixf2
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
00007ff80d9536ba (__TEXT,__text) external ___subvdi3
00007ff80d953702 (__TEXT,__text) external ___subvsi3
00007ff80d953745 (__TEXT,__text) external ___subvti3
00007ff80d953799 (__TEXT,__text) external ___truncdfhf2
00007ff80d9538c5 (__TEXT,__text) external ___truncsfhf2
00007ff80d9539b6 (__TEXT,__text) external ___ucmpdi2
00007ff80d9539e2 (__TEXT,__text) external ___ucmpti2
00007ff80d94eea4 (__TEXT,__text) external ___udivdi3
00007ff80d953a03 (__TEXT,__text) external ___udivmoddi4
00007ff80d94ede4 (__TEXT,__text) external ___udivmodti4
00007ff80d94eddc (__TEXT,__text) external ___udivti3
00007ff80d94ef24 (__TEXT,__text) external ___umoddi3
00007ff80d953c28 (__TEXT,__text) external ___umodti3
00007ff80d9503c0 (__TEXT,__text) external _atomic_flag_clear
00007ff80d9503c5 (__TEXT,__text) external _atomic_flag_clear_explicit
00007ff80d9503d8 (__TEXT,__text) external _atomic_flag_test_and_set
00007ff80d9503e0 (__TEXT,__text) external _atomic_flag_test_and_set_explicit
00007ff80d950414 (__TEXT,__text) external _atomic_signal_fence
00007ff80d950440 (__TEXT,__text) external _atomic_thread_fence
                 (undefined) external _fmaxl (from libsystem_m)
00007ff8424ced80 (__DATA,__bss) non-external _locks
                 (undefined) external _logbl (from libsystem_m)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _mprotect (from libsystem_kernel)
00007ff80d9524a9 (__TEXT,__text) non-external _readEncodedPointer
                 (undefined) external _scalbnl (from libsystem_m)
00007ff80d954750 (__TEXT,__const) non-external two
00007ff80d954720 (__TEXT,__const) non-external twop52
00007ff80d954760 (__TEXT,__const) non-external twop64
00007ff80d954740 (__TEXT,__const) non-external twop84
